	eind/adv	immers/adv	William/name	Maurice/name	elektricien/noun	morgen/adv	aantal/noun	als/prep	na/prep	daarom/pp	daar/adv	eerder/noun	stelling/noun	werkwijze/noun	Guus/name	vrijdag/noun	gisteren/adv	lief/adj	burgemeester/noun	Wereldbank/name	sociaal-democraat/noun	zaterdag_avond/noun	Zoutleeuw/name	Eddy/name	Bush/name	inwoner/noun	namelijk/adv	Anderen/name	mening/noun	totnogtoe/adv	ook/adv	Ier/noun	maand_blad/noun	tegelijk/adj	atleet/noun	Erik/name	al/adv	Marc/name	passend/adj	volwassene/noun	sporter/noun	stad_bestuur/noun	kampioen/noun	Patrick/name	campus/noun	stad/noun	merendeel/noun	aandeelhouder_schap/noun	Koninklijke/name	zij/pron	weekend/noun	waarde/noun	Ann/name	goed/adj	ING/name	Dr./name	hierbij/pp	Veurne/name	wetenschapper/noun	KNVB/name	afdeling/noun	ondernemer/noun	voortaan/adv	kwel/noun	Kaplan/name	Orde/name	Lint/name	devies/noun	morgenavond/adv	vrijwilliger/noun	Raf/name	Deinze/name	Wesley/name	strategie/noun	Karel/name	gemeente_bestuur/noun	vasten/noun	premier/noun	discretie/noun	in/prep	ze/pron	credo/noun	Ajax/name	nadat/comp	tijdens/prep	sport_raad/noun	Academie/name	Gilde/name	ploeg/noun	bovendien/adv	u/noun	filosofie/noun	vandaag/adv	inzicht/noun	sport_vereniging/noun	omdat/comp	jaar/noun	student/noun	het/det	visie/noun	behalve/comp	numerus/noun	reder/noun	rij/noun	opvatting/noun	brandweerman/noun	laureaat/noun	haar/pron	gisteravond/adv	Belg/noun	VK/name	drie/num	wielrenner/noun	Uefa/name	zich/pron	misvatting/noun	daarin/pp	voorzitster/noun	Alfonso/name	vader/noun	Berlusconi/name	door/prep	Verhaegen/name	zienswijze/noun	Genève/name	Centrale/name	vrijwilliger_werk/noun	Jack/name	lid/noun	provincie/noun	held/noun	rit_winnaar/noun	winnaar/noun	zaterdag/noun	Stive/name	steeds/adv	minister/noun	kennelijk/adj	moraal/noun	principe/noun	ideaal/noun	supporter/noun	Rillaar/name	achteraf/pp	kommer/noun	J.J./name	voor/prep	zondag/noun	Spanjaard/noun	hij/pron	muze/noun	René/name	keer/noun	evenwel/adv	lang/adj	ANC/name	Oscar/name	persoon/noun	renner/noun	aanvankelijk/adj	beeldhouwer/noun	week/noun	sport_laureaat/noun	standpunt/noun	omroep/noun	PSV/name	WTC/name	officieel/adj	lijst/noun	medewerker/noun	maatschappij/noun	Zottegem/name	daarbij/pp	aanvoerder/noun	Van/name	mezelf/pron	sportman/noun	traditie/noun	wij/pron	overtuiging/noun	decor/noun	Lierse/name	speler/noun	judoka/noun
eind/adv	0.0	0.8120486	0.9168894	0.8581068	0.86244094	0.701578	0.8424345	0.92017984	0.77165216	0.82508135	0.86868143	0.7549189	0.91215646	0.89758146	0.8998808	0.6615387	0.71034366	0.95013005	0.80289733	0.84337616	0.8884804	0.7852891	0.80680156	0.88632256	0.8808775	0.8304277	0.8755017	0.8817997	0.9458646	0.78713953	0.91689885	0.8998567	0.8590537	0.884386	0.87074214	0.9313833	0.72806764	0.86910725	0.90029025	0.93353933	0.9146526	0.66619825	0.84337604	0.8618381	0.77915764	0.82744306	0.8791536	0.9154652	0.8701782	0.8543645	0.6899245	0.9372518	0.8760283	0.93000895	0.84397537	0.9025569	0.9011374	0.7745081	0.9146343	0.86224157	0.82517457	0.8990174	0.8036778	0.9013573	0.8801273	0.88736564	0.85525745	0.91431063	0.79476595	0.86904436	0.87464	0.81627685	0.899226	0.90254855	0.87409765	0.71133006	0.9136409	0.8580824	0.9008461	0.689225	0.88294023	0.9143385	0.87908506	0.6665014	0.7879369	0.7844994	0.83056957	0.82237476	0.872512	0.88839805	0.907483	0.9447533	0.65367424	0.954642	0.85194445	0.85213786	0.66736495	0.8859173	0.8448976	0.93470967	0.9319684	0.9105568	0.87180907	0.928704	0.96503305	0.8427802	0.79219794	0.92836607	0.782054	0.8831503	0.88710165	0.8261438	0.8846344	0.8275105	0.92311037	0.9500086	0.8845074	0.8256749	0.9229476	0.9210783	0.8670622	0.84910995	0.87588024	0.89955467	0.762566	0.8625509	0.8967912	0.9224854	0.8329109	0.8120007	0.94774157	0.91267633	0.8562614	0.7306356	0.8883239	0.9385959	0.8607462	0.9586912	0.95443815	0.8743005	0.95300186	0.8955474	0.88510776	0.9060075	0.9177916	0.926738	0.83159196	0.7180965	0.92900586	0.80340344	0.92353433	0.892527	0.8801001	0.82962954	0.8957147	0.87615365	0.9214933	0.8899767	0.8760253	0.8536141	0.8863667	0.6546774	0.846628	0.8870427	0.87846965	0.9021477	0.86141366	0.6819215	0.84625876	0.8447686	0.89781606	0.82576215	0.9228971	0.9047307	0.9121441	0.95947284	0.86944216	0.9423149	0.8941529	0.964456	0.92400676	0.8332616	0.8957994	0.8770116
immers/adv	0.8120486	0.0	0.93982965	0.91261476	0.86221457	0.8134079	0.7382551	0.7379682	0.853399	0.60254544	0.78075945	0.83239156	0.77893794	0.72900355	0.89099306	0.90905	0.84878147	0.80983496	0.88819975	0.80780196	0.7717662	0.8174193	0.8600446	0.9342846	0.8409687	0.808643	0.3753062	0.7444718	0.7799159	0.6152425	0.64910126	0.85322344	0.8524958	0.69250417	0.7685846	0.94558924	0.7043725	0.9460529	0.7678696	0.810762	0.7047988	0.73783803	0.8575805	0.9403761	0.814105	0.790005	0.76397866	0.805395	0.9039523	0.6274662	0.7742499	0.7365955	0.91465455	0.7485496	0.8381302	0.90857434	0.699987	0.86308795	0.76237893	0.82879734	0.84432405	0.7087404	0.5951866	0.831557	0.83902663	0.8921168	0.87078834	0.77025557	0.8128109	0.7709972	0.9084671	0.84726965	0.9105604	0.7269498	0.93922096	0.73758125	0.8320209	0.89340806	0.76829755	0.83423245	0.71232986	0.81378406	0.8412431	0.82370657	0.87267977	0.8187467	0.89764524	0.85292286	0.724774	0.38423598	0.9042786	0.7818545	0.8171227	0.72519946	0.76090145	0.5646925	0.8523946	0.7949158	0.7673645	0.75604427	0.74937785	0.85859805	0.76143634	0.85008585	0.7261572	0.8461652	0.86091584	0.82660043	0.85361683	0.7987648	0.89687854	0.81368	0.84116703	0.78643066	0.7665954	0.7571253	0.71960294	0.8818312	0.887809	0.90519345	0.782181	0.7622434	0.8822921	0.7464911	0.845832	0.8783583	0.72980857	0.9335841	0.8515241	0.78180444	0.8543708	0.8849444	0.84381104	0.8923417	0.90992785	0.6614808	0.90595317	0.66032445	0.7303324	0.6089635	0.7602442	0.81458366	0.8784306	0.77726394	0.83651793	0.92658794	0.64880955	0.8640958	0.8427005	0.7646961	0.8556567	0.93284225	0.8344403	0.54335374	0.8067217	0.7901627	0.93689203	0.789001	0.78284895	0.7093368	0.87497705	0.81706876	0.9025443	0.77428854	0.7552142	0.8312877	0.8522643	0.77717125	0.80178285	0.8725318	0.67686665	0.86134094	0.6914232	0.8820315	0.9683471	0.7880211	0.77952814	0.7778762	0.5982084	0.73620474	0.816888	0.81519705	0.7448913	0.79352486
William/name	0.9168894	0.93982965	0.0	0.5752731	0.85504186	0.9035168	0.94823253	0.7386682	0.92589784	0.9457471	0.93925285	0.847078	0.8937975	0.8853378	0.72180074	0.88522756	0.78212386	0.9226284	0.76952875	0.88356376	0.8645066	0.86991584	0.8432568	0.6226091	0.7969159	0.9328426	0.92910683	0.89980346	0.9256831	0.88918334	0.9389918	0.6849912	0.8198453	0.8971899	0.8876515	0.6301495	0.93077326	0.61135674	0.89676994	0.92175627	0.9147433	0.9401117	0.84797156	0.6010853	0.91575205	0.9277598	0.9129011	0.96018875	0.87009525	0.8949067	0.91837525	0.9493341	0.6559582	0.94559616	0.89844006	0.5602279	0.9211203	0.8578369	0.77909243	0.904198	0.8907558	0.9050193	0.9318019	0.923052	0.7414917	0.80207115	0.7828736	0.8828428	0.84455866	0.933069	0.674603	0.78704804	0.71084297	0.91264147	0.6004435	0.9444744	0.940888	0.8029247	0.9138137	0.8718804	0.91690993	0.83336353	0.88917357	0.8335791	0.9068367	0.8925457	0.85743636	0.8702488	0.9059819	0.9495687	0.8127859	0.87377065	0.8725023	0.9481177	0.9400544	0.9418536	0.93645424	0.8972763	0.92366993	0.8839582	0.8137409	0.97039294	0.8627866	0.95717645	0.89701694	0.8476001	0.794372	0.8750458	0.83041036	0.84058654	0.8026122	0.931453	0.7964439	0.91141564	0.92669016	0.90927273	0.8664352	0.81111556	0.7775126	0.7091583	0.84828377	0.8048522	0.7215066	0.9059295	0.83801687	0.8923895	0.9142603	0.46339464	0.8967448	0.9448204	0.7213155	0.88628477	0.84912527	0.88217926	0.8372306	0.9444223	0.82826495	0.91122496	0.8883029	0.96476233	0.903251	0.90934926	0.7969229	0.9172509	0.9348113	0.744732	0.9384233	0.8991131	0.85695267	0.84128344	0.77596337	0.57485497	0.9588662	0.93054867	0.9694498	0.89087945	0.64215404	0.9375633	0.9000891	0.88525224	0.6682905	0.9342443	0.91863596	0.9130944	0.9076811	0.89227575	0.8698848	0.88638306	0.92900187	0.8192655	0.93640983	0.78107655	0.9410108	0.7734408	0.665871	0.95800644	0.8481973	0.88082796	0.95626783	0.9162624	0.83781314	0.880645	0.91888046	0.8719668
Maurice/name	0.8581068	0.91261476	0.5752731	0.0	0.825356	0.8728638	0.92549187	0.80068207	0.87501085	0.92796713	0.9376754	0.8538921	0.888429	0.90050745	0.6981099	0.87362856	0.77542734	0.908905	0.6372529	0.88820684	0.8625232	0.8199853	0.7826305	0.4525373	0.87719584	0.8763888	0.92375505	0.8881582	0.92314	0.8607288	0.93487746	0.7584573	0.83646667	0.924665	0.8126117	0.5251992	0.9263847	0.45834917	0.90519726	0.91538763	0.89066476	0.86413527	0.76379615	0.50144625	0.87647337	0.90426904	0.8880826	0.9283638	0.8393247	0.87828374	0.8644449	0.9387131	0.5845087	0.9392819	0.86769754	0.671062	0.8966244	0.76395524	0.85949075	0.89361596	0.8773414	0.8670528	0.88944614	0.9016554	0.81396234	0.8390028	0.72520036	0.8756087	0.8077662	0.90051466	0.56060386	0.6963213	0.6609361	0.91480863	0.5012231	0.8787413	0.9421179	0.8403668	0.922274	0.8803509	0.8850883	0.8696088	0.84894663	0.8233676	0.8967639	0.8032269	0.8424132	0.794072	0.8573397	0.94222975	0.7640453	0.9144697	0.8577739	0.95068395	0.9005553	0.925858	0.87895447	0.91134554	0.922008	0.9229117	0.8626348	0.97779346	0.863029	0.9208952	0.93821394	0.80292344	0.72157615	0.8812494	0.80939114	0.7639756	0.7612153	0.8778132	0.7283685	0.8794307	0.9358114	0.92799306	0.8904607	0.74513996	0.80930054	0.7100668	0.84984887	0.844009	0.593457	0.89702547	0.8640303	0.8870353	0.9002741	0.66505915	0.8784082	0.9095077	0.8389167	0.836236	0.7886645	0.8533521	0.76383626	0.94918066	0.8132913	0.9331766	0.9208508	0.95101666	0.9398498	0.88406825	0.75088155	0.87937784	0.91911256	0.77201355	0.9202461	0.852594	0.83332264	0.8210671	0.8199363	0.45277625	0.92811537	0.89913136	0.94864637	0.8904801	0.63990724	0.8968616	0.83385706	0.911437	0.68998736	0.89304465	0.886343	0.9163178	0.9131174	0.8539268	0.84372586	0.87827057	0.8732908	0.8005052	0.94913477	0.6877693	0.9475159	0.73529947	0.55379045	0.9423329	0.8195098	0.9365015	0.9245939	0.9279255	0.90071696	0.8092709	0.88739645	0.8216958
elektricien/noun	0.86244094	0.86221457	0.85504186	0.825356	0.0	0.90179634	0.8915458	0.8431485	0.8968207	0.8728621	0.84084535	0.88611746	0.9158584	0.9014672	0.8626485	0.8995254	0.8705282	0.8758878	0.85586965	0.894862	0.90430605	0.8546717	0.8561418	0.84610635	0.933433	0.8468025	0.86350214	0.84608847	0.91856205	0.86824256	0.8721697	0.89132285	0.9092002	0.87236047	0.86536586	0.8809348	0.86497134	0.8465721	0.8892899	0.87302625	0.864861	0.8710605	0.88813436	0.85721636	0.8616951	0.85372597	0.87531775	0.9268188	0.92149013	0.83793604	0.88187295	0.92005336	0.86655366	0.8963108	0.9033988	0.85158515	0.8843322	0.85529816	0.85705936	0.89274305	0.8875516	0.8175222	0.8511564	0.90105516	0.86719227	0.93651134	0.8447667	0.8878789	0.8895236	0.8261914	0.8751206	0.86503273	0.875385	0.931589	0.8687079	0.8721694	0.90105844	0.9126252	0.9033161	0.8421785	0.8266156	0.8674866	0.90010935	0.8253101	0.9170263	0.8841473	0.8897638	0.89085007	0.8940677	0.86437565	0.90417457	0.89334357	0.9022237	0.9369368	0.8756522	0.8412838	0.8655893	0.8215393	0.8861797	0.92626494	0.87100387	0.9296628	0.8596268	0.92257994	0.9290124	0.77079344	0.8563091	0.8529739	0.88663995	0.8308555	0.9130085	0.88007313	0.8384668	0.90308636	0.9169487	0.89665264	0.92826426	0.8676989	0.8836291	0.7736348	0.9126077	0.8253676	0.84561723	0.88845867	0.8819318	0.91562414	0.8634201	0.8547342	0.8775338	0.8888236	0.8886254	0.89582896	0.90155673	0.905054	0.9006306	0.90313375	0.92077684	0.88167906	0.8986757	0.9261536	0.90802836	0.88678473	0.879736	0.9055418	0.91014665	0.9179354	0.8768121	0.8965156	0.89300925	0.8227977	0.87563586	0.8188942	0.892762	0.8789916	0.89348096	0.90971935	0.8796247	0.8581526	0.8684637	0.8866995	0.79835284	0.8872518	0.9409516	0.93959576	0.8997065	0.9004582	0.8700848	0.9015631	0.93905747	0.8127786	0.90763545	0.8670702	0.8938121	0.87626183	0.87498903	0.9059005	0.8645425	0.92582077	0.8657251	0.91354823	0.9039513	0.9012678	0.8898465	0.8667671
morgen/adv	0.701578	0.8134079	0.9035168	0.8728638	0.90179634	0.0	0.9202812	0.855611	0.7249609	0.8168274	0.7630712	0.7295866	0.88465637	0.8753921	0.82050896	0.47841972	0.557011	0.8571703	0.8103881	0.861061	0.8295641	0.5506265	0.82284415	0.8765589	0.82032967	0.8605743	0.85824263	0.8482714	0.8896912	0.8117707	0.8526235	0.8346187	0.86170405	0.85390985	0.82023364	0.869328	0.8454134	0.87886006	0.88816303	0.89275	0.87602174	0.7907698	0.71651983	0.8718107	0.83282626	0.83735055	0.9064411	0.92590743	0.7748022	0.8224008	0.5142628	0.9380413	0.87728155	0.8895324	0.85467356	0.8706626	0.848968	0.8091997	0.89911646	0.76135683	0.8320188	0.90222055	0.8036611	0.8710679	0.87651134	0.8634105	0.82056475	0.87906855	0.43245375	0.88957393	0.84973574	0.7351868	0.823688	0.88271296	0.8661701	0.8037188	0.8979188	0.7890391	0.88165826	0.70558774	0.8285214	0.8876443	0.71851933	0.73802954	0.6680572	0.7898795	0.8145618	0.782753	0.73059654	0.88233554	0.781479	0.91422	0.26367068	0.94432956	0.8662145	0.86834097	0.8694439	0.89247155	0.8308965	0.9223191	0.7903788	0.9296752	0.9010262	0.8061869	0.9081367	0.855072	0.7950022	0.87258226	0.5257468	0.8183714	0.8014213	0.83846414	0.843359	0.7024009	0.8621972	0.92938405	0.8168915	0.8445477	0.8661115	0.90594465	0.809623	0.85552335	0.85622364	0.8820922	0.6972555	0.8328289	0.89055073	0.8781825	0.85861003	0.8622006	0.8651214	0.84475094	0.7343885	0.469405	0.8902936	0.8970603	0.8341397	0.8960215	0.9260213	0.87763315	0.92598504	0.7490084	0.842503	0.87524843	0.8832892	0.88396615	0.8094442	0.47592503	0.8201503	0.79386616	0.87488985	0.87682354	0.7971409	0.78051865	0.8894203	0.8911348	0.91012293	0.93033826	0.8175166	0.8036381	0.89289623	0.56579876	0.86002284	0.8380716	0.87411314	0.7166445	0.8512739	0.68172586	0.8644525	0.8771832	0.91933835	0.775138	0.8901206	0.7707139	0.8924516	0.90642214	0.8608541	0.9204986	0.8215234	0.92005837	0.8781607	0.7220595	0.7741326	0.78135586
aantal/noun	0.8424345	0.7382551	0.94823253	0.92549187	0.8915458	0.9202812	0.0	0.79523516	0.821235	0.81668645	0.9046393	0.831479	0.8744475	0.81823826	0.9350758	0.939276	0.8758758	0.9136214	0.93474257	0.81052524	0.8784345	0.88859105	0.8579898	0.9628056	0.91473466	0.7798524	0.74424505	0.8224396	0.86354506	0.71760523	0.7942739	0.9052917	0.8666845	0.79986537	0.86759937	0.9558246	0.84038186	0.9660996	0.82465225	0.85621834	0.8055009	0.82293767	0.93709445	0.960441	0.82229644	0.84544945	0.5992806	0.8125783	0.90048015	0.8164132	0.88737303	0.70587957	0.93379915	0.884872	0.79912204	0.9197512	0.7426419	0.8832357	0.8002094	0.87019277	0.85232365	0.75229114	0.72124225	0.89099056	0.8848429	0.91471577	0.8994374	0.8645302	0.9151213	0.7965736	0.9426261	0.92841923	0.9527423	0.8390164	0.94514936	0.8114692	0.89893633	0.9383912	0.8461583	0.8436487	0.89897704	0.90023494	0.9186891	0.80687255	0.8645088	0.861603	0.9182714	0.90126735	0.9030121	0.67119026	0.95417076	0.8828892	0.8956771	0.81846076	0.7944193	0.7661302	0.8130836	0.76053214	0.8351952	0.8595611	0.78599536	0.8260412	0.8203318	0.8799238	0.847666	0.82978237	0.88666767	0.92088956	0.8879066	0.87014127	0.9733081	0.7080405	0.9094663	0.8698671	0.8473605	0.84566534	0.8254517	0.91106045	0.91780615	0.9090495	0.8811298	0.75385463	0.93833244	0.8581636	0.87757283	0.9021607	0.76972425	0.9376782	0.87321866	0.84252435	0.9232204	0.9471798	0.91609746	0.95559466	0.9551983	0.741344	0.9397693	0.8594848	0.8674237	0.81544167	0.8861064	0.91165805	0.9282498	0.8829968	0.92489046	0.92197615	0.73753893	0.9484896	0.9127333	0.8943393	0.9211446	0.94682115	0.9317787	0.77693725	0.8943494	0.85546005	0.94592077	0.7738787	0.9045321	0.82699215	0.9082033	0.8717173	0.9406337	0.85734653	0.857827	0.9177018	0.8657251	0.85089445	0.76136553	0.8299304	0.7762083	0.93030924	0.7535683	0.9543305	0.97919	0.93695587	0.87444454	0.8961812	0.87007403	0.8814283	0.8968036	0.94178987	0.88391596	0.89455986
als/prep	0.92017984	0.7379682	0.7386682	0.80068207	0.8431485	0.855611	0.79523516	0.0	0.88822263	0.80897063	0.88354725	0.8049526	0.7998609	0.7696384	0.73858416	0.9403214	0.8246891	0.81087303	0.854239	0.8209053	0.76811165	0.8696499	0.9003307	0.82206774	0.78310496	0.92477876	0.75620663	0.78392494	0.8343868	0.78600675	0.78831166	0.83714354	0.82901734	0.7634875	0.8220604	0.7961833	0.8850755	0.82824063	0.7512093	0.82077837	0.7703649	0.9124602	0.84502137	0.815793	0.8909482	0.8865613	0.7783821	0.91245025	0.8820184	0.7652799	0.898985	0.8428886	0.8533034	0.8000696	0.8515155	0.80333376	0.78376716	0.917398	0.761384	0.8167726	0.8500358	0.79089713	0.77757496	0.88362217	0.80713093	0.8878492	0.8701527	0.8052596	0.81580496	0.84630835	0.8250313	0.90741897	0.87193274	0.80873805	0.8044541	0.8992278	0.90610397	0.804352	0.8273391	0.86020523	0.854443	0.7638061	0.8044278	0.8074833	0.88020486	0.8661292	0.8633781	0.87416375	0.8270011	0.78725314	0.92697376	0.78527313	0.8597975	0.81400526	0.8489133	0.7997019	0.92266774	0.8295002	0.8457464	0.77157396	0.7053664	0.939845	0.8720733	0.87957066	0.74746263	0.8495409	0.82215786	0.842358	0.81964487	0.8254098	0.9295138	0.83269835	0.81541944	0.8375138	0.79399043	0.81429744	0.77247155	0.8444216	0.816778	0.794798	0.7696849	0.7552123	0.843421	0.8327434	0.85262585	0.8925213	0.80253994	0.7492043	0.85006124	0.89355934	0.7047384	0.9072689	0.81896913	0.93295395	0.93001497	0.78758174	0.86775553	0.754369	0.76104164	0.82113016	0.76855016	0.8764649	0.90392387	0.8447681	0.91040426	0.85199606	0.7275425	0.9282882	0.84103173	0.76720834	0.7547989	0.77533364	0.888157	0.8222586	0.9292439	0.80588967	0.8289748	0.8558639	0.8472723	0.798143	0.78046244	0.91565037	0.92203283	0.82932687	0.8228204	0.82558656	0.8608972	0.79595774	0.77272546	0.81674266	0.8018297	0.9092603	0.809664	0.8139734	0.8783894	0.8617964	0.7413895	0.8092685	0.83699405	0.79547334	0.7859573	0.88365364	0.79644614	0.81032884
na/prep	0.77165216	0.853399	0.92589784	0.87501085	0.8968207	0.7249609	0.821235	0.88822263	0.0	0.9006004	0.90471077	0.734835	0.89341354	0.910324	0.84501266	0.7827216	0.71930814	0.93155694	0.89848846	0.8992419	0.85540336	0.6579077	0.8529762	0.89751554	0.8488911	0.8739767	0.9087483	0.8492311	0.9433052	0.81121135	0.93566036	0.809101	0.9197797	0.8830936	0.8196263	0.8890907	0.711253	0.8903868	0.89914125	0.9028288	0.86715794	0.8753853	0.77253544	0.88638806	0.86185396	0.90743977	0.89656043	0.9367212	0.9155749	0.8864982	0.7532724	0.92989546	0.9016111	0.89437425	0.8929484	0.9197186	0.89627403	0.82423663	0.90890115	0.8409156	0.8862587	0.92367333	0.9105397	0.8614708	0.858032	0.9295438	0.8148753	0.89689153	0.7404647	0.88105273	0.86235553	0.7812433	0.80321497	0.90986437	0.9088628	0.8908568	0.8762384	0.8474685	0.90524006	0.7613827	0.88350207	0.907795	0.713037	0.5241199	0.5187942	0.88759446	0.90941966	0.90268236	0.689095	0.90095264	0.8486302	0.94020736	0.7735788	0.93843263	0.90021867	0.8371577	0.7410846	0.8894015	0.85108095	0.95015	0.886966	0.94437045	0.8886769	0.7190615	0.9377321	0.79561996	0.8454938	0.90668386	0.65019405	0.82366675	0.8037722	0.6692189	0.846776	0.7854899	0.91933876	0.9223134	0.9069175	0.9056803	0.84668195	0.87117964	0.8340887	0.7626569	0.80439305	0.9152754	0.82018995	0.9273664	0.89678395	0.9112601	0.8856178	0.92592937	0.86384314	0.83139074	0.77243286	0.7651944	0.8796462	0.9136826	0.92106783	0.91314477	0.9130585	0.9190596	0.923543	0.8072856	0.80744714	0.8354306	0.8905342	0.93449277	0.7485917	0.758081	0.77939844	0.78147	0.9076719	0.893932	0.7139121	0.75637406	0.75137407	0.85952204	0.9020002	0.85775864	0.75989175	0.8172165	0.9259419	0.6471357	0.9077241	0.93535763	0.9318614	0.68939185	0.83506876	0.7722386	0.88912934	0.873634	0.9286686	0.7951819	0.8951313	0.75578105	0.8827385	0.9402349	0.85747457	0.9179028	0.9003974	0.9346192	0.89167	0.71027243	0.74094677	0.7808181
daarom/pp	0.82508135	0.60254544	0.9457471	0.92796713	0.8728621	0.8168274	0.81668645	0.80897063	0.9006004	0.0	0.7909701	0.78955853	0.7797787	0.7135422	0.8744022	0.9079799	0.7969753	0.7360089	0.8150623	0.7922634	0.7674722	0.92439747	0.86972386	0.9427653	0.79328114	0.85472333	0.6252719	0.6431267	0.78356326	0.73625046	0.6263702	0.8928828	0.8601918	0.6800522	0.8471537	0.95185953	0.81483275	0.9460506	0.7539841	0.8185725	0.7538438	0.63443106	0.9581777	0.9297479	0.86038905	0.8472655	0.8444163	0.8494257	0.9291309	0.57057416	0.88821507	0.8323696	0.91776496	0.7725305	0.8155029	0.91591847	0.6879287	0.8709547	0.77573603	0.7132717	0.8630376	0.70522755	0.62250626	0.8989995	0.83580184	0.8753784	0.88418883	0.78846425	0.8700902	0.769261	0.9353684	0.9076041	0.94611126	0.70175064	0.92551875	0.61864054	0.8421161	0.82679486	0.7444942	0.93017995	0.6271332	0.8251293	0.88375354	0.82987547	0.91279423	0.75733924	0.91219383	0.8496048	0.86672443	0.5268842	0.92906517	0.8139675	0.7964063	0.78084546	0.7897853	0.48307467	0.89930236	0.80186045	0.81454384	0.76263	0.833659	0.82742214	0.79962707	0.95548236	0.7811309	0.86058587	0.90969115	0.72222054	0.8584013	0.8805545	0.9654722	0.9148164	0.88475037	0.77220726	0.72560155	0.81052166	0.7158821	0.844266	0.9140073	0.8974559	0.79410756	0.791185	0.87866515	0.7540519	0.8562224	0.8529675	0.73608947	0.9333151	0.8389593	0.79121673	0.90257716	0.94705987	0.93486637	0.95141006	0.913215	0.6967915	0.8170971	0.65232253	0.78415203	0.70892787	0.81426734	0.8418128	0.9079965	0.7110696	0.9088947	0.93025947	0.72286916	0.9377054	0.911001	0.67677224	0.8856423	0.9232956	0.8787049	0.616863	0.8367143	0.80043197	0.96163386	0.85340714	0.8726326	0.69422626	0.90741724	0.82740355	0.93268883	0.73227745	0.7705617	0.89532036	0.90353125	0.82695824	0.84873104	0.85534596	0.74984515	0.92604053	0.703599	0.9218503	0.9571941	0.6938789	0.80468196	0.86110294	0.5095842	0.7956904	0.88088095	0.8895259	0.80904734	0.82943773
daar/adv	0.86868143	0.78075945	0.93925285	0.9376754	0.84084535	0.7630712	0.9046393	0.88354725	0.90471077	0.7909701	0.0	0.85532755	0.88738024	0.8988185	0.87475157	0.8883601	0.8653655	0.7101683	0.9297896	0.9052086	0.9007171	0.8093981	0.8543754	0.96260506	0.92041975	0.846878	0.7328434	0.6951221	0.8759185	0.82347786	0.69125277	0.8667275	0.9202761	0.7901173	0.8547259	0.96500075	0.79091173	0.97416806	0.86635673	0.84010553	0.8433531	0.8764197	0.9317868	0.9745614	0.78837514	0.76662433	0.82276475	0.9355261	0.9454687	0.7258957	0.7833215	0.9275025	0.9281801	0.80862665	0.93623585	0.90838903	0.85050863	0.87650996	0.882622	0.9157058	0.8954344	0.8749591	0.80989647	0.86509335	0.86051047	0.9460346	0.8959405	0.8438652	0.82294196	0.84251547	0.94129694	0.8967227	0.93319035	0.92457247	0.94223076	0.86898506	0.8924741	0.9436082	0.85562015	0.6990733	0.5678327	0.8599286	0.88517416	0.81661785	0.8473798	0.9057152	0.8944472	0.9051202	0.88889164	0.77684045	0.9303122	0.88378114	0.81223977	0.8830506	0.8561814	0.76497704	0.90039283	0.8291909	0.8291216	0.92920744	0.7809026	0.9447551	0.85199356	0.8757183	0.8936211	0.8078202	0.93057483	0.74033976	0.8472409	0.8525341	0.957564	0.86698437	0.8901717	0.90239966	0.8273471	0.855472	0.79547656	0.9207059	0.8975731	0.8229259	0.90215623	0.8650409	0.9147144	0.89545363	0.8202571	0.93596846	0.838071	0.9282627	0.9464438	0.8697087	0.86573744	0.9265624	0.9420192	0.8852918	0.9135029	0.76644266	0.97032845	0.771096	0.85930586	0.86788183	0.8731229	0.8209844	0.8979223	0.7771565	0.86262	0.91882193	0.86973506	0.87828684	0.87667626	0.68793917	0.84875137	0.939564	0.83131397	0.82091284	0.84689415	0.8932234	0.9524891	0.8872399	0.86733294	0.8330291	0.9035841	0.83788025	0.95890826	0.92326736	0.9243693	0.8984693	0.8271479	0.8807659	0.9074021	0.9044938	0.86921215	0.90645134	0.8236994	0.9299613	0.9786711	0.75029075	0.85885644	0.8862207	0.689441	0.8662052	0.82193065	0.9010821	0.86062366	0.8585768
