	ven/noun	mogelijk/adj	momenteel/adj	na/prep	enigszins/adv	dit/det	patiënt/noun	helemaal/adv	nog/adv	Kralj/name	tijdig/adj	weg/noun	gisteren/adv	hiervan/pp	Brecht/name	Roda/name	installatie/noun	reputatie/noun	consumentenvertrouwen/noun	geraakt/adj	onafhankelijkheid/noun	geleidelijk/adj	functie/noun	economie/noun	net/adv	binnen/prep	samenleving/noun	samenwerking/noun	balans/noun	Esser/name	om/comp	vanmiddag/adv	woning/noun	Rocky/name	doelman/noun	leiding/noun	geloofwaardigheid/noun	spier/noun	grasland/noun	stad_bestuur/noun	echter/adv	gisterenavond/adv	vervolgens/adv	patiënte/noun	fonds/noun	ziekenhuis/noun	knap/adj	daarna/pp	contact/noun	populatie/noun	krachtig/adj	goed/adj	nadien/pp	rechtsorde/noun	zuiverheid/noun	liberalisme/noun	paars_wit/adj	snel/adj	euvel/noun	daarna/adv	thuisploeg/noun	en/vg	veiligheid/noun	geheel/adj	technologie_aandeel/noun	normaal/adj	klimaat/noun	laat/adj	Geeroms/name	voldoende/adj	kerk_toren/noun	kost/adv	in/prep	elektriciteit/noun	opdat/comp	ze/pron	niet/adv	nadat/comp	pas/adv	ploeg/noun	Dimitri/name	golfer/noun	weer/adv	daarmee/pp	natuur/noun	aandeel/noun	begin/adv	toestand/noun	gebouw/noun	als/comp	voldoende/adv	thuis/adv	door/comp	het/det	rust/noun	waardoor/pp	eveneens/adv	gezag/noun	huisstijl/noun	men/pron	opnieuw/adv	thuis_reputatie/noun	democratie/noun	voetpad/noun	water_kwaliteit/noun	middenvelder/noun	intussen/adv	zich/pron	sluit_post/noun	olie_prijs/noun	meteen/adv	tijdelijk/adj	evenwicht/noun	weeg/verb	kraan/noun	aandeel_beurs/noun	Gino/name	Kevin/name	bezoeker/noun	fout_DIM/noun	licht/adj	vanzelf/adv	Roeselare/name	terwijl/comp	wegdek/noun	volledig/adj	dat/det	monarchie/noun	breuk/noun	orde/noun	waarschijnlijk/adj	relatie/noun	situatie/noun	van/prep	hij/pron	allicht/adv	we/pron	dak/noun	bestuur/noun	geloof/noun	Bayer/name	zodat/comp	overheid/noun	ons/pron	wonderbaarlijk/adj	LOMMEL/name	Estland/name	vanochtend/adv	VN/name	volgens/prep	schade/noun	effect_beurs/noun	voorlopig/adj	wat/adv	eerst/adv	gemeente/noun	driepunters/noun	misser/noun	eventueel/adj	enkel_blessure/noun	gistermiddag/adv	vertrouwen/noun	Van/name	iets/adv	onmiddellijk/adj	traditie/noun	leger/noun	wij/pron	nauwelijks/adv	politie_agent/noun	automatiseerder/noun	ondanks/prep	cabaretier/noun	scheur/noun	autonomie/noun
ven/noun	0.0	0.8899471	0.87501776	0.8948037	0.8872318	0.88647246	0.88529927	0.9017368	0.89299893	0.9421064	0.89667845	0.8763827	0.8689558	0.87689567	0.85653585	0.91183245	0.8726995	0.91630685	0.9052015	0.87348914	0.9060656	0.85270715	0.887583	0.88005793	0.91851336	0.8715035	0.87979996	0.89291453	0.8858704	0.9163229	0.87637514	0.8626008	0.8797202	0.87745833	0.8923382	0.90510726	0.882873	0.8639473	0.7879868	0.8697401	0.87172395	0.86129254	0.85883707	0.9017536	0.8924049	0.897583	0.89662516	0.86668676	0.91554886	0.8285399	0.8615035	0.90709496	0.8734167	0.9081525	0.8627747	0.89940387	0.89077616	0.871012	0.8900972	0.8779132	0.90062374	0.78479636	0.8884415	0.8838789	0.8870882	0.8934031	0.88392305	0.91631275	0.90232897	0.8836828	0.84958756	0.920484	0.8534868	0.87772447	0.86822444	0.8706493	0.9235133	0.8867515	0.9017566	0.9044721	0.88531303	0.8925247	0.87926096	0.8640434	0.78502226	0.90028226	0.9053274	0.8622982	0.8498026	0.9028876	0.87189114	0.9124253	0.86291564	0.84823716	0.9089467	0.8192076	0.8610181	0.89835083	0.9009324	0.8887679	0.8647752	0.90113294	0.89597046	0.8622438	0.8477037	0.9016568	0.87077224	0.87195504	0.9149093	0.8903049	0.8918315	0.8894012	0.88732874	0.9056099	0.891368	0.9029753	0.88756055	0.89726436	0.87172675	0.8939575	0.884534	0.87446845	0.8902165	0.84822994	0.84797645	0.88013005	0.90799564	0.8776198	0.8713646	0.92940223	0.8833462	0.88909405	0.88602686	0.8021115	0.890458	0.8734498	0.8906636	0.86724806	0.8855535	0.89191145	0.89655626	0.8381024	0.8890775	0.89744973	0.85768217	0.90581125	0.91602784	0.8762328	0.91650504	0.8730678	0.89386773	0.91317445	0.91022605	0.8796797	0.8761033	0.87857753	0.9149194	0.8922916	0.88913816	0.89478636	0.87887615	0.89347285	0.90099156	0.87974507	0.89007133	0.8908681	0.9127628	0.890019	0.86661196	0.88587415	0.89591736	0.88794273	0.8948879	0.86686873	0.8729775
mogelijk/adj	0.8899471	0.0	0.80260676	0.8269559	0.79740053	0.8121127	0.7231785	0.87130296	0.8188764	0.8837943	0.6874522	0.8144532	0.8776871	0.7339196	0.929095	0.92109185	0.7886695	0.8917794	0.8674331	0.8508752	0.8266359	0.740018	0.8197181	0.8259903	0.8891394	0.7752234	0.7990227	0.7645682	0.82988036	0.8945504	0.6162697	0.8547552	0.8589547	0.9177186	0.92045903	0.8896105	0.7914898	0.81165445	0.8637919	0.772895	0.70198965	0.84849536	0.78591657	0.82889885	0.80938643	0.87349266	0.9080276	0.8444512	0.78958094	0.80814755	0.77853507	0.79537326	0.83153033	0.7962811	0.82243884	0.8308744	0.88556087	0.69525695	0.7760674	0.8399492	0.8861794	0.765978	0.7595648	0.8114691	0.87542903	0.7775245	0.7790531	0.9122226	0.9312239	0.6886846	0.89661413	0.79362094	0.88483137	0.80312496	0.64998925	0.8071029	0.81308913	0.836045	0.8850167	0.891616	0.9689165	0.9095819	0.8419601	0.78104526	0.7986924	0.87938833	0.8979934	0.7947289	0.84921134	0.8007934	0.81013125	0.8879462	0.6458867	0.8197043	0.8872902	0.6386489	0.8192104	0.8299104	0.89256954	0.7267667	0.80219877	0.9280992	0.7975089	0.83347666	0.8174979	0.9147842	0.7833141	0.8292038	0.90839356	0.8275275	0.81662035	0.7109798	0.8111527	0.8503022	0.8585056	0.84477884	0.952049	0.96850103	0.87411577	0.81179696	0.8279511	0.83144253	0.94873947	0.8535991	0.82286453	0.74781597	0.81852764	0.81972355	0.8499818	0.8402687	0.6534285	0.8353677	0.77778226	0.7455305	0.8454775	0.77165556	0.73196536	0.90831786	0.8193927	0.85133404	0.8689118	0.6077099	0.72143424	0.8115338	0.8249068	0.97529685	0.8949161	0.8558016	0.78877187	0.8137884	0.7594827	0.88437253	0.71590817	0.8190162	0.7488462	0.7702836	0.93589234	0.8379615	0.43683022	0.9038631	0.88522184	0.8390419	0.9835795	0.84797794	0.7499622	0.8917405	0.82811713	0.7331996	0.8085756	0.8515744	0.8681309	0.74731123	0.93092287	0.8454945	0.7695678
momenteel/adj	0.87501776	0.80260676	0.0	0.84571415	0.87959194	0.8280299	0.75570494	0.8793252	0.7224981	0.8821184	0.8154566	0.88549215	0.79111236	0.77197194	0.8503833	0.8404201	0.7493408	0.86129034	0.8587398	0.80129063	0.87012255	0.8370379	0.8214885	0.7920077	0.8664749	0.7465746	0.87059313	0.7509998	0.8573109	0.87376994	0.7612772	0.79379463	0.76379	0.88114905	0.83951205	0.7891542	0.8735186	0.8394278	0.8457949	0.70293546	0.8230499	0.7139486	0.8189813	0.8432039	0.7568988	0.77149326	0.8543357	0.79734653	0.8374232	0.779335	0.87544805	0.80701965	0.7503791	0.8892947	0.8977171	0.8879555	0.80889887	0.86369413	0.83597267	0.79315716	0.86764234	0.729705	0.84471864	0.8247378	0.8323106	0.809643	0.8597653	0.87846094	0.87066376	0.7963215	0.82340825	0.85687184	0.7245072	0.7955191	0.7701193	0.8277205	0.8790414	0.83932555	0.8611565	0.7262627	0.84403425	0.8204456	0.8553234	0.79830694	0.8722349	0.7736779	0.7669216	0.8096654	0.7447222	0.8709958	0.8402597	0.81769663	0.822456	0.80584353	0.851942	0.76942664	0.69509816	0.86161995	0.81395143	0.79133844	0.71271396	0.8342077	0.86636686	0.8190213	0.8574344	0.79231995	0.59041846	0.8290214	0.88457745	0.847086	0.8799847	0.71658814	0.8821223	0.7686957	0.827381	0.82831866	0.8412005	0.85602015	0.7915156	0.867464	0.860342	0.89856714	0.80362046	0.7445145	0.83086175	0.77261907	0.8933238	0.87668216	0.88818914	0.91591996	0.8444784	0.8539724	0.83323216	0.75952715	0.83708537	0.7892121	0.770694	0.8690859	0.7721158	0.9216337	0.7947264	0.7480273	0.7676308	0.85042036	0.8684128	0.8817709	0.8041047	0.8126804	0.83506775	0.807177	0.835218	0.8463859	0.70455754	0.8827367	0.73640835	0.6605211	0.8531914	0.84026223	0.7582247	0.84283006	0.79802686	0.8665675	0.8894369	0.8764891	0.8824336	0.89134043	0.84574133	0.77160144	0.80604386	0.79669315	0.78687906	0.8446345	0.88224137	0.87692404	0.848639
na/prep	0.8948037	0.8269559	0.84571415	0.0	0.8436811	0.8530982	0.8702315	0.91444534	0.8134419	0.82117254	0.85089606	0.8953259	0.71930814	0.88682926	0.8379135	0.7103738	0.91080505	0.9144756	0.859915	0.82192016	0.88848907	0.826172	0.9101405	0.9161956	0.78423977	0.80435777	0.9405433	0.8854663	0.8339431	0.88922745	0.88794076	0.74966735	0.8815943	0.8590444	0.70637345	0.8103575	0.89116424	0.87441	0.9166042	0.8753853	0.81688154	0.7030229	0.7888598	0.8362026	0.8881467	0.8298638	0.71697736	0.595978	0.9188133	0.87114376	0.87620467	0.89437425	0.5988114	0.91693074	0.9212055	0.91994214	0.7317193	0.7991766	0.844969	0.66817856	0.63152397	0.84218764	0.9522951	0.87667227	0.86605704	0.8883219	0.9146603	0.54204977	0.8489336	0.8634293	0.8745326	0.8611814	0.7613827	0.90258175	0.85122347	0.88350207	0.94426423	0.5241199	0.59096915	0.689095	0.85324556	0.8635539	0.7857571	0.8447814	0.9138231	0.87720215	0.7653876	0.9001528	0.9088853	0.86804175	0.8635264	0.7668388	0.8559292	0.85108095	0.63161916	0.78504765	0.7753979	0.90970814	0.8965571	0.93319654	0.67979026	0.8563407	0.89748013	0.89349705	0.9307308	0.7573942	0.7980771	0.91933876	0.8883179	0.86824495	0.6693951	0.85591614	0.80898625	0.8612288	0.89659655	0.8231108	0.80748427	0.8328452	0.7346659	0.81470823	0.8357193	0.8854873	0.762905	0.8551167	0.89211416	0.85502213	0.9379918	0.8883901	0.830045	0.9115387	0.795656	0.87873447	0.9350144	0.756516	0.78147	0.7379437	0.8339766	0.9057014	0.88023305	0.92565066	0.76860195	0.8162637	0.9374188	0.91557664	0.8108242	0.88839346	0.7854971	0.75960994	0.87657005	0.9240749	0.8948739	0.8502706	0.8204381	0.8906663	0.80946565	0.9063569	0.78908646	0.74015844	0.7281302	0.73660517	0.6698512	0.88815016	0.8827385	0.9175729	0.7396436	0.9179028	0.851686	0.9003974	0.87530047	0.8207146	0.8301677	0.6405833	0.8886753	0.86725783	0.91835016
enigszins/adv	0.8872318	0.79740053	0.87959194	0.8436811	0.0	0.7859044	0.8391202	0.72474694	0.803702	0.84287626	0.80409986	0.8982617	0.86719114	0.80338037	0.912285	0.8904526	0.8778337	0.7895417	0.7476556	0.81030685	0.8626585	0.71913195	0.8744617	0.77336794	0.8626779	0.86382234	0.78476644	0.88228005	0.75604594	0.88767135	0.77519166	0.8467493	0.90515393	0.8608073	0.87499815	0.8705589	0.77041066	0.77957237	0.8858023	0.90591466	0.65059096	0.8635727	0.80238986	0.83283645	0.8072178	0.93491876	0.8155359	0.8420088	0.89411104	0.7704586	0.7548284	0.7540021	0.80817676	0.83327466	0.80417526	0.83630186	0.8337017	0.74593693	0.7684339	0.8127102	0.7930145	0.7823326	0.8714074	0.71438825	0.7611624	0.8031893	0.75559586	0.87487686	0.9183101	0.7567302	0.8156024	0.8289008	0.86130655	0.8833777	0.7771375	0.73660856	0.7126885	0.8588035	0.8558738	0.8400354	0.9420299	0.8929712	0.72434604	0.72934085	0.8053857	0.85982925	0.92123574	0.76812625	0.873155	0.75423586	0.84371567	0.8734989	0.6830952	0.81387866	0.8217575	0.70065457	0.8066136	0.8511067	0.8421208	0.7192031	0.7785138	0.8765675	0.82634586	0.86559844	0.85381377	0.8924194	0.8061891	0.77000535	0.8892863	0.7464726	0.7911523	0.8587972	0.77965987	0.89128506	0.8568722	0.7752948	0.9216984	0.9471202	0.83003	0.8331181	0.69568324	0.7500018	0.9341861	0.78284657	0.83575517	0.7799863	0.6956268	0.78628176	0.8287051	0.8530406	0.7751384	0.82764477	0.70684016	0.8349137	0.7468743	0.7867888	0.77206993	0.8922063	0.9026456	0.83325523	0.8743684	0.7256837	0.857074	0.7345396	0.7665358	0.951635	0.8758949	0.8191772	0.88350487	0.8657675	0.8213474	0.7930019	0.80361444	0.5426174	0.8280126	0.90582204	0.9035114	0.79876983	0.8250529	0.8500344	0.8586412	0.8137722	0.9584514	0.6485274	0.8447524	0.8296671	0.9049953	0.76911783	0.64574254	0.8862468	0.8371352	0.7029797	0.87164265	0.8404961	0.85991323
dit/det	0.88647246	0.8121127	0.8280299	0.8530982	0.7859044	0.0	0.8571985	0.83886653	0.7983907	0.8866486	0.8333421	0.93071806	0.8230435	0.7830639	0.9197402	0.91500425	0.859874	0.8603772	0.8116647	0.89380914	0.85199136	0.8296516	0.8667922	0.82778215	0.8822008	0.8098144	0.8348189	0.8070665	0.8477439	0.8976288	0.7656169	0.8331998	0.9344311	0.8983512	0.9253027	0.896339	0.8312128	0.8930063	0.8875147	0.809304	0.6785972	0.8583416	0.8656305	0.87993747	0.83623695	0.9558538	0.8319693	0.88369083	0.9274967	0.82779616	0.8361348	0.78781766	0.8683942	0.84749943	0.8413373	0.8470779	0.8351809	0.8344799	0.8037632	0.86521775	0.8876825	0.913925	0.86251664	0.7872424	0.84399456	0.8034465	0.85276145	0.80386114	0.93614984	0.817756	0.89995706	0.87353516	0.82280815	0.9005661	0.8162031	0.83398885	0.7494872	0.8452398	0.7363832	0.8429809	0.95679903	0.86424387	0.8588778	0.73348343	0.83723354	0.85778123	0.7868546	0.85064197	0.898691	0.7984559	0.8657884	0.9047613	0.78624934	0.5398189	0.9124487	0.79731506	0.8065939	0.8731279	0.8605999	0.763103	0.7900204	0.87481904	0.83668315	0.89744014	0.83366	0.92994016	0.82108384	0.869222	0.90337545	0.8022273	0.8170366	0.8535755	0.8833057	0.8851539	0.92593	0.8483649	0.9450838	0.95855236	0.86228544	0.8616067	0.8841813	0.8461032	0.91295695	0.8853387	0.89878124	0.8088419	0.44587457	0.82417786	0.84888583	0.9035703	0.7137035	0.88212234	0.7978326	0.7912669	0.80951273	0.7665789	0.742738	0.9481435	0.87111014	0.86332506	0.8747914	0.82107496	0.81226695	0.7897825	0.7968946	0.96921104	0.892483	0.85151273	0.8467686	0.8069899	0.8810705	0.88248897	0.77702194	0.8617516	0.8407037	0.8327925	0.93366045	0.83615637	0.81323135	0.8937206	0.8755751	0.8774997	0.9803665	0.82398856	0.8682542	0.8616042	0.9204776	0.7299404	0.8083774	0.9275712	0.81279624	0.80201447	0.89267844	0.89451915	0.82579464
patiënt/noun	0.88529927	0.7231785	0.75570494	0.8702315	0.8391202	0.8571985	0.0	0.897619	0.8390857	0.90983546	0.7283156	0.9058392	0.9096577	0.7376596	0.93414676	0.9384918	0.8437006	0.88524175	0.87984747	0.8503014	0.8790552	0.860032	0.8211783	0.83886355	0.91000444	0.8297436	0.7880648	0.83400035	0.8447016	0.9083389	0.7141241	0.8894525	0.81257415	0.9180233	0.93367374	0.8955227	0.8357134	0.7387092	0.8887247	0.84348774	0.77367574	0.8890158	0.7827573	0.5423527	0.79187423	0.571192	0.93448627	0.85810184	0.7591724	0.72037035	0.8574397	0.8204634	0.8430564	0.83276904	0.8463218	0.8726117	0.89460707	0.82193553	0.8007431	0.83669364	0.908109	0.77274746	0.7866261	0.8337386	0.8645127	0.8030554	0.8285384	0.88594234	0.9422986	0.7761376	0.9012177	0.88517785	0.875031	0.82073057	0.7409189	0.70749295	0.8083489	0.8429112	0.8797853	0.901483	0.9745561	0.8427906	0.89486504	0.8358561	0.83916646	0.8597948	0.9139566	0.7358643	0.8665807	0.78740203	0.84001386	0.8307704	0.7348889	0.866493	0.9049112	0.71856344	0.81893617	0.8397268	0.8911278	0.7238128	0.8694046	0.9375577	0.83590055	0.8827845	0.83123666	0.9296483	0.7975027	0.81765765	0.89790994	0.8670051	0.86789286	0.778461	0.86272407	0.8065898	0.8847248	0.88495547	0.94271356	0.97692364	0.7609967	0.84761494	0.8607584	0.84843194	0.94123113	0.8072762	0.8682542	0.836737	0.81518626	0.8753423	0.83564657	0.9023501	0.7916214	0.7992478	0.7684312	0.82545197	0.78071	0.87380254	0.7889746	0.9276371	0.8839316	0.8587388	0.87713003	0.74179864	0.7211623	0.79909307	0.87284875	0.96331763	0.9101955	0.89394426	0.82461905	0.83010644	0.74701583	0.938337	0.8499689	0.86942816	0.78529316	0.7598066	0.92504	0.8311107	0.7285909	0.87054574	0.8566352	0.86660004	0.9763859	0.853023	0.82034206	0.9071722	0.8643685	0.7532057	0.7841138	0.7579261	0.8800294	0.8344039	0.880198	0.84456354	0.8254082
helemaal/adv	0.9017368	0.87130296	0.8793252	0.91444534	0.72474694	0.83886653	0.897619	0.0	0.7004587	0.8736781	0.7900047	0.85242665	0.94248205	0.87195396	0.94163513	0.9236657	0.88976866	0.88350576	0.9246115	0.8381696	0.943165	0.8192772	0.9126456	0.9158667	0.7966656	0.90690005	0.8782057	0.9221501	0.87631154	0.92738444	0.7963533	0.91228384	0.9159679	0.897725	0.90057206	0.90395737	0.8826223	0.8150054	0.89555347	0.91618615	0.6790743	0.8967057	0.78360236	0.87328863	0.9345966	0.9637773	0.87297416	0.7786494	0.9183048	0.8818469	0.8923156	0.7402402	0.80052567	0.9148202	0.86758083	0.86434495	0.88207114	0.7361596	0.8514038	0.70794594	0.855327	0.85286933	0.9392642	0.6255211	0.89058566	0.8190085	0.88187313	0.898087	0.92822564	0.8287225	0.84906256	0.8641519	0.9103067	0.8784617	0.8060726	0.62926185	0.5088724	0.88952506	0.80962527	0.8692522	0.9648582	0.9050371	0.6583354	0.8058006	0.86125255	0.9595221	0.9115383	0.8682876	0.86292714	0.5883711	0.8890234	0.80064374	0.8100757	0.84612197	0.8720027	0.78363496	0.8746767	0.9086211	0.88481027	0.70480275	0.81144905	0.9024308	0.88502073	0.8650019	0.90244246	0.92667115	0.7929703	0.813356	0.89870715	0.93201214	0.7196682	0.8872972	0.8746104	0.9112829	0.8167725	0.89488447	0.9365739	0.96939105	0.8917976	0.8388315	0.8790068	0.6991334	0.9439553	0.8141234	0.8395889	0.60047555	0.64003646	0.86495596	0.9062185	0.93283886	0.81029844	0.90291166	0.8353673	0.93774706	0.71377563	0.7850652	0.6304497	0.835026	0.9379304	0.847216	0.93408513	0.7162851	0.91127175	0.6991511	0.83284867	0.96488893	0.91906583	0.9203156	0.94761056	0.91090286	0.9115548	0.92922115	0.78081024	0.7069465	0.7871718	0.9376377	0.9284226	0.87366796	0.9002374	0.87619066	0.9155683	0.86243767	0.98398125	0.7413365	0.8314998	0.8946639	0.94436026	0.6493342	0.7564462	0.92731375	0.91637576	0.8933916	0.9041316	0.86406416	0.92438895
nog/adv	0.89299893	0.8188764	0.7224981	0.8134419	0.803702	0.7983907	0.8390857	0.7004587	0.0	0.82835186	0.8141012	0.88880414	0.88376963	0.815195	0.92227626	0.8642617	0.91086626	0.9002424	0.8883556	0.8479744	0.9014137	0.83352965	0.8907044	0.88203603	0.7661386	0.8508876	0.89635396	0.8900542	0.8408623	0.8984908	0.7330708	0.83813727	0.890404	0.9013122	0.8391562	0.901627	0.872437	0.81688386	0.8824547	0.8620888	0.638106	0.8239269	0.8298073	0.8715443	0.8798753	0.92794067	0.840265	0.77254826	0.88573074	0.85133475	0.8853968	0.7358352	0.73738253	0.90783787	0.8777771	0.87737316	0.78522503	0.7679615	0.7992725	0.7009622	0.7704431	0.87867916	0.9268453	0.8801486	0.8529081	0.7884847	0.884991	0.72333837	0.90084255	0.7444813	0.8757239	0.8551041	0.88790286	0.89053136	0.7819533	0.6492572	0.62379766	0.8323974	0.70195866	0.77341545	0.9395921	0.8676452	0.63024056	0.82868713	0.86699665	0.89497936	0.8604994	0.86574924	0.89260185	0.6912065	0.85509694	0.76319623	0.8185734	0.8662062	0.79152775	0.77894497	0.8313931	0.8890503	0.87988794	0.6700474	0.7167133	0.8162344	0.88797593	0.88569176	0.8806904	0.8514097	0.69345796	0.8499035	0.89689547	0.8799509	0.787104	0.8831779	0.85086155	0.8568405	0.87680596	0.8350997	0.9082793	0.938376	0.802753	0.7996112	0.8408918	0.7769775	0.90986276	0.7774852	0.88246137	0.8475777	0.7170427	0.8745607	0.8875365	0.88222164	0.731076	0.9091228	0.83261603	0.9255433	0.68227196	0.68361425	0.5301435	0.91623634	0.8871209	0.8730481	0.87466186	0.7063707	0.8764895	0.7126617	0.8530739	0.9488783	0.86798894	0.86381334	0.9145256	0.9095876	0.8353204	0.8873004	0.7051389	0.6750878	0.6626221	0.8771986	0.883649	0.8191913	0.80397666	0.8097315	0.8772182	0.81732345	0.96657866	0.73875797	0.8860862	0.9161341	0.9343148	0.6414759	0.7196984	0.8944672	0.8593193	0.84663284	0.89775455	0.85833097	0.88163584
Kralj/name	0.9421064	0.8837943	0.8821184	0.82117254	0.84287626	0.8866486	0.90983546	0.8736781	0.82835186	0.0	0.8629002	0.93357784	0.8561414	0.9090128	0.88694733	0.72994155	0.9349099	0.91395015	0.8857358	0.8097139	0.87721974	0.89634615	0.9085925	0.9022448	0.8501829	0.9123722	0.9298387	0.9115275	0.90209705	0.88494176	0.8509454	0.88781273	0.92755824	0.9036503	0.7057094	0.8866606	0.9104649	0.85896057	0.9168288	0.9192019	0.8053948	0.8541282	0.8341258	0.89969903	0.9126598	0.93821037	0.82083714	0.83217746	0.91816425	0.917041	0.9068341	0.8512241	0.8083305	0.88420045	0.9017117	0.91534173	0.8060036	0.87357426	0.84699863	0.8262762	0.8095475	0.87823075	0.9395073	0.8725355	0.89702016	0.8920115	0.928315	0.8617343	0.8673066	0.87289643	0.9252674	0.8986983	0.9057433	0.92534745	0.9010503	0.84477633	0.8600706	0.81264067	0.83388543	0.7784666	0.87291455	0.8947396	0.8275534	0.86608076	0.926167	0.9147228	0.8994173	0.918726	0.92550576	0.8726636	0.9001596	0.8854004	0.85719687	0.90896577	0.80582815	0.8511906	0.8360883	0.8977619	0.9071781	0.8797821	0.7916712	0.9009827	0.89038426	0.9359503	0.92896736	0.7196213	0.8492512	0.8837174	0.84177005	0.8879274	0.8490361	0.8975737	0.91086787	0.9261633	0.92104816	0.87278926	0.85698575	0.8480421	0.8835123	0.8454499	0.87255996	0.88790023	0.88564336	0.86808515	0.9169945	0.87012964	0.8744206	0.879812	0.85021806	0.92116046	0.8424572	0.9315143	0.9015578	0.8947447	0.7998307	0.7570087	0.81382716	0.93305254	0.9092301	0.9278037	0.83253026	0.8621598	0.9040545	0.8564295	0.87326825	0.8920396	0.8526206	0.888493	0.90426534	0.9353546	0.9198048	0.9020761	0.84468657	0.87089884	0.8410244	0.9147177	0.89727414	0.8268634	0.86485827	0.7360016	0.86293393	0.8951521	0.8828586	0.90227324	0.89282584	0.93661326	0.8798041	0.83598983	0.87587035	0.9050915	0.8891936	0.8490748	0.9092225	0.8804083	0.90296227
tijdig/adj	0.89667845	0.6874522	0.8154566	0.85089606	0.80409986	0.8333421	0.7283156	0.7900047	0.8141012	0.8629002	0.0	0.8201867	0.83312345	0.7489017	0.8712185	0.90216774	0.79360586	0.9074293	0.919107	0.7990762	0.8931387	0.80311584	0.86392605	0.8862075	0.84655744	0.82998466	0.87910354	0.8734158	0.83581185	0.907163	0.63140804	0.83792007	0.79932606	0.8991221	0.84159267	0.8830924	0.8539551	0.81205624	0.8746557	0.72684515	0.7511602	0.788744	0.67473245	0.8386648	0.8370573	0.8132713	0.8776094	0.7700668	0.8523031	0.8436364	0.8351433	0.8042664	0.7327223	0.8548937	0.8971421	0.9010904	0.8557519	0.61156917	0.7521724	0.7351947	0.8392597	0.7893293	0.7715039	0.82480407	0.889984	0.79991007	0.8863702	0.8400487	0.8958178	0.6994525	0.85901445	0.8285061	0.8777759	0.7758013	0.6696919	0.71364355	0.7384782	0.76089364	0.7720126	0.86146903	0.91367155	0.9058038	0.77744234	0.79175615	0.8670388	0.88952863	0.8247156	0.8107261	0.80989563	0.7492682	0.8456825	0.82669246	0.70145	0.8494375	0.83964086	0.71023726	0.77924603	0.8532606	0.90045834	0.7269181	0.7368907	0.9009455	0.8820761	0.79733104	0.8699131	0.87522006	0.7019159	0.8140957	0.88945246	0.8914905	0.6823361	0.7400423	0.8384832	0.8875043	0.78303415	0.8727997	0.8867465	0.9206681	0.8454857	0.8183041	0.8481279	0.80205905	0.8909061	0.8221024	0.7602385	0.69265544	0.8174752	0.8830485	0.86460644	0.8604965	0.8132286	0.88626677	0.816401	0.8258122	0.7594227	0.7815759	0.73341495	0.7862458	0.83228135	0.91104543	0.86094683	0.58907497	0.73355806	0.77577424	0.84249943	0.93181515	0.8927357	0.83766633	0.8255547	0.84909374	0.79014814	0.9120224	0.77989346	0.8610312	0.6967961	0.7469071	0.91017795	0.8551989	0.6518613	0.8134401	0.8073487	0.8407741	0.942777	0.8820346	0.6212885	0.9367887	0.84614956	0.73451436	0.78294295	0.80594534	0.8559895	0.8579473	0.9260061	0.8201958	0.86591303
weg/noun	0.8763827	0.8144532	0.88549215	0.8953259	0.8982617	0.93071806	0.9058392	0.85242665	0.88880414	0.93357784	0.8201867	0.0	0.8971237	0.89378977	0.8654633	0.9535295	0.84033304	0.9062095	0.9288079	0.8683216	0.8985046	0.8117089	0.88609695	0.9052938	0.8691401	0.9015434	0.88743854	0.8878779	0.875265	0.93185425	0.8132789	0.8761208	0.79809684	0.9182424	0.90496916	0.88325363	0.8880681	0.8684642	0.7881218	0.85857314	0.86496127	0.856566	0.7580938	0.89377075	0.9053425	0.8680973	0.91165143	0.77738786	0.87760186	0.8708217	0.8888531	0.90512383	0.78877217	0.91665024	0.89299244	0.9020706	0.89471066	0.78066236	0.84962827	0.7834511	0.86744416	0.78215086	0.83990127	0.86688435	0.89613855	0.8598255	0.8879575	0.8952607	0.9281081	0.8872444	0.7851423	0.86831754	0.8466108	0.80725163	0.78748244	0.80619586	0.90702647	0.8390235	0.9054004	0.8905241	0.95041573	0.9159556	0.77429724	0.86334896	0.8319289	0.94088846	0.9066938	0.86499447	0.7896242	0.8610388	0.91709226	0.90962726	0.8184905	0.79977894	0.893516	0.7197429	0.85680795	0.8936507	0.9206441	0.8435233	0.8197973	0.94078636	0.87120456	0.5489621	0.87146544	0.93831885	0.8364522	0.89025384	0.9145516	0.91851324	0.84499395	0.8402215	0.8617673	0.832952	0.75306773	0.9110444	0.93865013	0.95440036	0.86333543	0.87624955	0.8610622	0.83072007	0.90454715	0.795208	0.59064674	0.7915459	0.9176778	0.8962182	0.8959881	0.8936206	0.8712778	0.9049108	0.87385	0.8804212	0.8417547	0.87189776	0.8361821	0.7451493	0.9121535	0.89458543	0.9401802	0.67529094	0.88868356	0.894236	0.8867769	0.9755602	0.9238748	0.865281	0.9324356	0.9394255	0.8854832	0.9275849	0.8698322	0.85069996	0.8140746	0.84360796	0.92974526	0.8652124	0.85739386	0.910409	0.846395	0.90401834	0.97988385	0.85790545	0.84701216	0.89541316	0.89889294	0.88040745	0.87968975	0.8613541	0.93648034	0.89743334	0.9539468	0.7994715	0.88592815
