	steun/verb	Albanees/noun	word/verb	winkel/verb	baas/noun	joods/adj	vrijheid/noun	inmiddels/adv	hoe/adj	tv/noun	Anthuenis/noun	vergadering/noun	wreed/adj	prostituee/noun	klus/noun	nuchterheid/noun	prietpraat/noun	13-jarige/adj	begin/noun	Amerikaan/noun	in/adv	journalist/noun	on_versneden/adj	Arabier/noun	ultra_orthodox/adj	jodendom/noun	moeder/noun	alles/noun	platteland/noun	heb_lief/verb	namelijk/adv	waarom/adv	verrekt/adj	kunst/noun	liberaal/adj	woord/noun	leer/verb	Duitser/noun	islam/noun	systeem/noun	meute/noun	dagelijks/adj	varken/noun	zelfs/adv	grinnik/verb	type/noun	hoe/noun	overigens/adv	politiek/noun	super_held/noun	kind/noun	luister/adj	Syriër/noun	ga/verb	evenzeer/adv	intens/adj	oorlog/noun	religieus/adj	stad/noun	verlies/verb	schop/verb	bemin/verb	soort/noun	zal/verb	lach/verb	regel_DIM/noun	Javaan/noun	diep/adj	zo/adv	vraag_af/verb	kater/noun	namaak/noun	talentvol/adj	vrede/noun	hartstochtelijk/adj	eigenlijk/adj	moslim/noun	meest/adj	begin/verb	land/noun	Waal/noun	pas/noun	zeg/verb	onderwijs/noun	laconiek/adj	Tutsi/noun	opgesloten/adj	draadloos/adj	liefde/noun	las/verb	onderonsje/noun	ding/noun	vijand/noun	erg/adj	hartgrondig/adj	premier/noun	geit/noun	eeuwig/adj	hoezeer/adv	realiteit/noun	tegenstander/noun	vervloek/verb	destijds/adv	tevoren/adv	verdwaal/verb	nooit/adv	niet/adv	computer_spel_DIM/noun	tennis/noun	man/noun	gelijkelijk/adv	maandag/noun	vrouw/noun	middelmaat/noun	criticus/noun	armband/noun	toestand/noun	film/noun	ons/noun	etiket/noun	koop/verb	oprichter/noun	stuk_DIM/noun	toch/adv	opzettelijk/adj	geweld/noun	persoonlijk/adj	medium/noun	reden/noun	tegenwoordig/adj	heel/adj	soms/adv	wereld/noun	modern/adj	trend/noun	genocide_wet/noun	Democraat/noun	gezeik/verb	allebei/adv	vader/noun	aartsvijand/noun	romantisch/adj	mens/noun	misschien/adv	volk/noun	intellectueel/adj	ras/noun	tuig/noun	perfectie/noun	gewoon/adj	ander/adj	voordracht/noun	steeds/adv	dirigent/noun	waarschijnlijk/adj	zeur/verb	gevoel/noun	hier/adv	staat/noun	ongelijkheid/noun	voetbal/noun	wantrouw/verb	natuurlijk/adj	pest/noun	schoen/noun	ander/noun	verhuis/verb	strafschop/noun	huis_werk/noun	Kosovo_crisis/noun	Engelsman/noun	vecht/verb	oud/adj	baan_DIM/noun	kerst/noun	allemaal/adv	pop_ster/noun	fel/adj	boek/noun	regelrecht/adj	duif_liefhebber/noun	feite/adv	vraag/verb	sprookje/noun	Nederlander/noun	zwart/adj	Iraans/adj	president/noun
steun/verb	0.0	0.63529897	0.7679484	0.95265037	0.8810254	0.5772308	0.6528328	0.7101589	0.8327228	0.7518738	0.8125557	0.8112435	0.67837703	0.9099276	0.9356377	0.89550954	0.8808549	0.9560508	0.6843933	0.4972989	0.8515804	0.762692	0.7684874	0.59688044	0.72889197	0.67276657	0.824249	0.8647104	0.79348296	0.7300563	0.80713916	0.7539542	0.9290474	0.80799955	0.58164734	0.77625155	0.7774342	0.7243309	0.6309764	0.79551923	0.8853645	0.84265876	0.96294755	0.7246769	0.9536626	0.9229496	0.8270036	0.7887957	0.528198	0.88623834	0.88112164	0.9269959	0.78398573	0.9448327	0.78002036	0.77836424	0.58081555	0.6447792	0.79960674	0.7685115	0.83785915	0.70279616	0.87373513	0.72748166	0.7264548	0.9520911	0.8437753	0.8338522	0.799213	0.7766618	0.9192704	0.8527925	0.8435635	0.48414958	0.7332057	0.86968106	0.53355265	0.5885867	0.80754447	0.5385256	0.86982375	0.98710775	0.7177521	0.80008924	0.7311293	0.69743264	0.89641106	0.9892434	0.75810707	0.87762755	0.76441824	0.87049	0.6115967	0.76722556	0.81006926	0.47722745	0.9915047	0.8020785	0.6777036	0.8499748	0.57221866	0.71160233	0.75727034	0.81240475	0.9639153	0.857328	0.8859504	0.93338984	0.96188736	0.79375225	0.68167603	0.7905765	0.7709951	0.9028634	0.77145517	0.85407615	0.76981133	0.88054717	0.6654543	0.9210559	0.86813426	0.9097569	0.9636721	0.90150815	0.83938986	0.6056142	0.7749771	0.70798945	0.8344671	0.77099943	0.9229268	0.88013613	0.78834325	0.82003665	0.89069694	0.7584374	0.55379206	0.9140513	0.8783194	0.81021976	0.59178305	0.8446328	0.8303339	0.8516512	0.53046393	0.71853733	0.8265666	0.930827	0.7967719	0.8145542	0.7917361	0.81219625	0.72870076	0.8909941	0.76082516	0.94991136	0.7758731	0.825331	0.5634248	0.8901137	0.8762024	0.7209971	0.78936046	0.7931279	0.89155626	0.8130673	0.9056504	0.9547423	0.96594906	0.76515776	0.75185746	0.49000627	0.85190696	0.9726868	0.8207082	0.8142992	0.9452304	0.5955345	0.9119478	0.8192095	0.81109416	0.8166026	0.76442504	0.89959866	0.81869715	0.76903415	0.59495366	0.4382475
Albanees/noun	0.63529897	0.0	0.5839759	0.9265201	0.87786335	0.8159876	0.76477593	0.8092926	0.927601	0.8337923	0.9709158	0.88369286	0.8042201	0.88349146	0.8285269	0.96685034	0.95654553	0.92988837	0.6665698	0.7221384	0.87630284	0.7045063	0.89658296	0.72105324	0.8290025	0.93717563	0.8895793	0.92486763	0.86502576	0.81123	0.7676087	0.88101935	0.8909551	0.886856	0.87304187	0.8550657	0.8829595	0.83005965	0.76742625	0.92198837	0.7624793	0.82114375	0.9650507	0.8261813	0.97432166	0.8941416	0.8851169	0.91478246	0.73879504	0.8618732	0.8225864	0.95655125	0.69644356	0.8960161	0.80481315	0.9274385	0.53429615	0.7767316	0.85247624	0.9348315	0.93537414	0.9635056	0.8929363	0.7234859	0.95556396	0.94022524	0.868134	0.8543929	0.93495977	0.9303379	0.9325615	0.977561	0.95039546	0.63184345	0.9246289	0.9408483	0.5847427	0.82503957	0.8382425	0.54891455	0.84043205	0.99419504	0.9243373	0.83645386	0.9613662	0.37785834	0.86297333	0.9879952	0.8306699	0.9289707	0.9732887	0.9543069	0.76335883	0.93421084	0.9109639	0.75642794	0.9630212	0.82051814	0.85268915	0.9385357	0.7158271	0.8191149	0.85938036	0.8492766	0.9737951	0.80488765	0.9263033	0.9107902	0.9048954	0.80595315	0.61496866	0.90918756	0.84275043	0.9231908	0.8699919	0.94707847	0.8658248	0.9092593	0.69009113	0.91695297	0.9042726	0.88908505	0.93838555	0.9284185	0.8681977	0.46050215	0.90075094	0.7379625	0.89422876	0.8816554	0.8302872	0.8896587	0.84682477	0.90748584	0.8876929	0.950159	0.6759917	0.855198	0.929651	0.862215	0.6547146	0.9492201	0.86479354	0.9189639	0.75925535	0.86963624	0.7553358	0.8634277	0.9722207	0.90562683	0.82260746	0.9461165	0.7783407	0.8752589	0.8587711	0.86372024	0.8757876	0.8530687	0.6158259	0.81237864	0.94387776	0.59982777	0.9205131	0.9504316	0.98403525	0.9348394	0.8738746	0.9188602	0.9420005	0.5845814	0.83060735	0.56138873	0.8837328	0.86337715	0.8030854	0.9205111	0.88377297	0.8342785	0.9442505	0.848212	0.9878219	0.8167368	0.8583641	0.97119004	0.7034943	0.79315937	0.7925425	0.6932473
word/verb	0.7679484	0.5839759	0.0	0.90849876	0.8061012	0.8581146	0.78865856	0.7960467	0.74782807	0.8273267	0.88822424	0.8038682	0.6950925	0.8381521	0.83204776	0.9200596	0.8326178	0.79667425	0.7189503	0.6764977	0.90329623	0.72177655	0.85758066	0.7414929	0.9273839	0.984392	0.7226435	0.79894865	0.80387133	0.57724404	0.77806175	0.7322099	0.91712695	0.70981085	0.83675945	0.84423155	0.7726133	0.8260312	0.82692546	0.77922	0.9078205	0.7942127	0.87574536	0.70405763	0.9127852	0.8496807	0.7906816	0.818765	0.6045111	0.8975924	0.7617517	0.8884324	0.7900457	0.85601324	0.7051534	0.7293228	0.7663999	0.8905978	0.87508297	0.7786137	0.7012989	0.73945564	0.75589246	0.6116978	0.8387114	0.89570963	0.8488209	0.7378894	0.71413577	0.8055521	0.9690265	0.8808578	0.9225912	0.8334934	0.71257544	0.79373485	0.7507553	0.73034096	0.730361	0.6631701	0.8343898	0.9302156	0.90516055	0.92775875	0.91338325	0.56235385	0.8048023	0.8755417	0.70634925	0.7911849	0.8294142	0.817225	0.76256615	0.75443375	0.6766376	0.68365085	0.7542662	0.704993	0.77706057	0.8377119	0.64635074	0.71577674	0.7467417	0.786909	0.89437497	0.7814777	0.7951952	0.7868341	0.88700986	0.6082519	0.7589117	0.8334315	0.63453627	0.9232335	0.8216615	0.9288573	0.748569	0.85533816	0.81899023	0.80069566	0.85925215	0.9270822	0.8851256	0.8490331	0.7753522	0.6355421	0.8405249	0.6980952	0.82957125	0.73249936	0.78819114	0.748165	0.7139077	0.8527194	0.74796665	0.8061244	0.7200848	0.8952781	0.80993116	0.69283867	0.8067515	0.8304306	0.6673012	0.81094265	0.7919104	0.84594464	0.73231167	0.86092925	0.87178504	0.8142952	0.7865094	0.896282	0.62903374	0.8822291	0.71982753	0.85564476	0.6794894	0.8184625	0.761818	0.875024	0.8895534	0.62793803	0.7897816	0.8408979	0.8671764	0.68161446	0.8311545	0.9278906	0.92850184	0.5919177	0.80239683	0.69854033	0.7706661	0.8667625	0.86129797	0.8039781	0.78991145	0.78508455	0.8547282	0.8035962	0.8613653	0.8452785	0.8268281	0.89417005	0.68345845	0.79321796	0.8616595	0.7322985
winkel/verb	0.95265037	0.9265201	0.90849876	0.0	0.8918764	0.8880186	0.9059927	0.9186123	0.81464773	0.8381058	0.9515506	0.98054576	0.9196596	0.84597725	0.8932039	0.91963905	0.8946787	0.94010484	0.97871315	0.8527186	0.93159115	0.9309208	0.9194669	0.9143813	0.9148686	0.9535859	0.6892515	0.7963766	0.8348154	0.8861118	0.822608	0.7979834	0.8734942	0.8613541	0.9642656	0.92339754	0.8276068	0.8629229	0.94672513	0.8827689	0.86734194	0.8383813	0.90592843	0.87660223	0.8588478	0.8201733	0.8431929	0.8318479	0.8939455	0.93868214	0.66323686	0.8986311	0.9000224	0.46081007	0.9373326	0.8877486	0.96462435	0.8793498	0.6910827	0.8863078	0.91888404	0.88215756	0.8954574	0.83625615	0.8541029	0.79040194	0.94803303	0.85208505	0.7592603	0.9215825	0.8690853	0.8761612	0.9233048	0.9293242	0.9301429	0.8203237	0.88731396	0.83239913	0.85606945	0.9562295	0.92544043	0.9624105	0.9040722	0.9052176	0.9461538	0.97855556	0.85769755	0.61900413	0.918676	0.9064616	0.9638028	0.75012666	0.9544616	0.8201256	0.95126796	0.99877065	0.90125656	0.89441544	0.8937967	0.908611	0.99293566	0.9017585	0.91255355	0.8941955	0.5758661	0.7704174	0.7019805	0.8158671	0.94251066	0.81544214	0.94091666	0.9608686	0.75118613	0.9326559	0.90125537	0.8309672	0.92868006	0.93381053	0.8217209	0.74590635	0.5543811	0.9857684	0.8142005	0.6977062	0.9737852	0.9424322	0.9342094	0.9330825	0.9236412	0.6808521	0.85334104	0.8313067	0.88468903	0.8523546	0.650227	0.96717983	0.9726442	0.870764	0.7712349	0.81794363	0.9789959	0.90237486	0.67246306	0.8437653	0.9227792	0.8943381	0.91172004	0.8453163	0.96226877	0.6345566	0.8403277	0.9824221	0.74644935	0.9296	0.77762425	0.6234659	0.8541752	0.54883975	0.97681326	0.9271223	0.9433515	0.8805628	0.75651145	0.9226339	0.7459096	0.90093607	0.8274356	0.95352995	0.88315094	0.9640094	0.9027311	0.8775918	0.7939148	0.8840502	0.45330465	0.78236854	0.80145794	0.97992146	0.8788469	0.9217985	0.85192114	0.8714696	0.7996182	0.9399892	0.7077681	0.845734	0.86493695	0.98640615
baas/noun	0.8810254	0.87786335	0.8061012	0.8918764	0.0	0.9259243	0.91095847	0.73200727	0.82337826	0.8523278	0.9442682	0.9930624	0.7751507	0.9303592	0.9298856	0.9304585	0.8865596	0.8205591	0.9621556	0.81981725	0.863689	0.77506393	0.9810489	0.89303035	0.94873506	0.94898796	0.8025618	0.7792662	0.9041251	0.87815225	0.8860013	0.7442581	0.9065635	0.8623025	0.92417043	0.8707386	0.8760549	0.84901774	0.7890732	0.87492895	0.874775	0.8367775	0.9253952	0.7659494	0.7495771	0.7809551	0.7940809	0.9723449	0.72463936	0.9454454	0.8109625	0.9694644	0.9614515	0.8789064	0.8616433	0.8888762	0.87951505	0.8631109	0.9024643	0.89582604	0.7312342	0.8575363	0.8358688	0.90673786	0.74982613	0.8798653	0.9468299	0.8383434	0.74708384	0.917605	0.7903906	0.8811409	0.83467233	0.95229095	0.9179581	0.8339316	0.83000946	0.86030567	0.75611025	0.9105402	0.86659026	0.93951917	0.779426	0.96471864	0.8660421	0.86497915	0.9607624	0.92833155	0.8682833	0.82229793	0.88469195	0.82895315	0.82865703	0.8870586	0.75979996	0.8648039	0.92214	0.83632684	0.9115538	0.9203038	0.8161386	0.66807103	0.6995934	0.86497885	0.80892915	0.81163806	0.84072983	0.8437617	0.85893124	0.6794729	0.8248965	0.9851006	0.7703231	0.94587487	0.79761404	0.9520365	0.9188687	0.8890826	0.88105845	0.8691919	0.8701477	0.6057012	0.9227547	0.8041494	0.87724954	0.8983728	0.88685226	0.82796264	0.81909186	0.81853104	0.8020287	0.77664477	0.77160245	0.87176394	0.8932092	0.912862	0.8410279	0.76224744	0.88024044	0.7201228	0.9278875	0.93700874	0.76760614	0.75147283	0.8073253	0.8175296	0.9034927	0.8804338	0.86342573	0.83242726	0.9018779	0.9823696	0.7954993	0.7294333	0.88017726	0.75000286	0.9477473	0.8038925	0.8937507	0.92738444	0.87671643	0.8314079	0.8642002	0.9435923	0.7806043	0.78947586	0.9226497	0.9460863	0.7640404	0.9390246	0.8700077	0.876495	0.7915427	0.69618344	0.8912701	0.8725935	0.77139586	0.91241974	0.88537294	0.954595	0.8825889	0.84776175	0.85349834	0.88966155	0.8457291	0.87235034	0.9527033	0.8657707
joods/adj	0.5772308	0.8159876	0.8581146	0.8880186	0.9259243	0.0	0.6525851	0.7367806	0.8308768	0.9530014	0.9698365	0.9301511	0.732172	0.7214966	0.97800034	0.8906044	0.8686098	0.7514562	0.85850084	0.6664951	0.9006471	0.74416816	0.9277726	0.35651213	0.36382377	0.37543553	0.62949705	0.9406328	0.8000066	0.80025715	0.8803482	0.8255322	0.9051388	0.7888119	0.5655582	0.8625971	0.7460055	0.72148824	0.39685208	0.78504884	0.82276654	0.8947251	0.9093628	0.8066711	0.90703034	0.8693983	0.9308661	0.89172405	0.70349646	0.92088574	0.74704945	0.870982	0.7953332	0.9705461	0.79908115	0.8598848	0.5513357	0.39755344	0.72494555	0.81022507	0.8859305	0.8701545	0.81827486	0.8302699	0.7982511	0.9471434	0.6117983	0.7491476	0.91828066	0.86261356	0.9333289	0.806528	0.841817	0.49470514	0.78665304	0.9273486	0.44338125	0.58619165	0.9078569	0.61909664	0.8162397	0.94455534	0.8033828	0.75652766	0.9335044	0.79055566	0.709005	0.9900265	0.76745045	0.8602825	0.80663985	0.9066359	0.64253676	0.88173443	0.8395771	0.7124251	0.97605854	0.8069442	0.75275666	0.9138398	0.8077745	0.8123877	0.69823945	0.9115102	0.84811985	0.8732477	0.95357376	0.91288894	0.94426936	0.76635796	0.7886566	0.90399516	0.70750713	0.9203313	0.7668078	0.9140937	0.8987963	0.91312206	0.80395824	0.76628804	0.8850981	0.8874163	0.9620123	0.9637771	0.8036102	0.53743285	0.8167431	0.81234145	0.8450005	0.7256309	0.8877305	0.88864917	0.7179514	0.71752703	0.93933827	0.9384084	0.75533557	0.84068215	0.8536083	0.64882386	0.79272544	0.89824027	0.85179746	0.9240196	0.49803263	0.7334098	0.60760736	0.8924889	0.8999812	0.78941584	0.6380271	0.79437184	0.7819507	0.8039108	0.7862079	0.86913204	0.7349665	0.8131608	0.36536872	0.8168038	0.9536574	0.7128655	0.8595269	0.86044955	0.90200704	0.86665803	0.75548124	0.9584621	0.91371787	0.89841044	0.7909653	0.6345167	0.6918217	0.90888065	0.83926743	0.8898394	0.84395576	0.74938226	0.78765744	0.8782275	0.9759592	0.8336879	0.8027034	0.83529687	0.6911888	0.7424387	0.5952439	0.73901975
vrijheid/noun	0.6528328	0.76477593	0.78865856	0.9059927	0.91095847	0.6525851	0.0	0.8110132	0.74027044	0.90997016	0.92062986	0.7944145	0.7168906	0.90193355	0.9766959	0.83691144	0.7606236	0.97778666	0.8485255	0.7384249	0.85016435	0.6861429	0.81941736	0.64214456	0.73998743	0.73028314	0.8516639	0.7400696	0.76132333	0.5575313	0.82398486	0.8206778	0.8696694	0.5643885	0.72760034	0.68867195	0.64250267	0.7992535	0.56781805	0.7533505	0.9369102	0.7908434	0.9569745	0.7944844	0.9055182	0.72949064	0.80693454	0.8682613	0.597583	0.80350196	0.79566044	0.83762664	0.7273437	0.8523903	0.642858	0.5336553	0.6107768	0.53530073	0.84845376	0.8636515	0.89546746	0.6227673	0.7360926	0.81140715	0.76981306	0.7492704	0.8424816	0.6704718	0.75196326	0.8447912	0.89804476	0.8990804	0.90214276	0.5310418	0.59928775	0.7572721	0.52371025	0.6877023	0.8507252	0.5652269	0.812414	0.98800874	0.834257	0.5997961	0.92790085	0.81927776	0.73995113	0.9586289	0.56869555	0.87516	0.7174715	0.73510444	0.5801294	0.77835745	0.841095	0.8043301	0.91153	0.64453727	0.62963575	0.8598137	0.7828481	0.7723206	0.8928425	0.874611	0.801102	0.79282117	0.84820956	0.89225674	0.9461785	0.7150396	0.8254515	0.8622863	0.6864357	0.8085965	0.7525778	0.94462144	0.80972093	0.81713396	0.74845934	0.7886885	0.8989886	0.9565617	0.8228159	0.8082599	0.8569001	0.701034	0.6029241	0.68935466	0.7729485	0.7695389	0.7994594	0.6941408	0.6420884	0.65933585	0.82509786	0.9830718	0.8924949	0.7819879	0.7153331	0.7911168	0.7805002	0.7325592	0.64557964	0.78234506	0.5370484	0.6022198	0.7821068	0.7426009	0.84288406	0.6745564	0.7319622	0.8544348	0.6689218	0.91124225	0.9189518	0.82054514	0.5223634	0.73564196	0.6366285	0.6090493	0.89825195	0.74029434	0.7614522	0.7920251	0.94572514	0.6498422	0.9899153	0.96625936	0.90739864	0.7850639	0.7554278	0.5201827	0.7975186	0.8848232	0.8301944	0.7492882	0.866469	0.7814652	0.7622498	0.79365706	0.8371012	0.8204566	0.857318	0.84158456	0.8795165	0.87284625	0.6081914	0.75491333
inmiddels/adv	0.7101589	0.8092926	0.7960467	0.9186123	0.73200727	0.7367806	0.8110132	0.0	0.7203974	0.8072138	0.93048185	0.788432	0.91265106	0.83879477	0.8969768	0.89667463	0.9510678	0.6819804	0.66725665	0.7040572	0.8448452	0.5853872	0.944694	0.76636267	0.96758604	0.96714085	0.7694429	0.9340088	0.7653208	0.8750615	0.849504	0.77468634	0.91760945	0.8890289	0.84936553	0.89158106	0.76218486	0.7221345	0.9386687	0.80415875	0.90542245	0.670403	0.94278073	0.7468499	0.87793213	0.9355724	0.87789893	0.7469531	0.7556975	0.9585397	0.8095752	0.9642056	0.91948676	0.92821234	0.89643496	0.942132	0.78981423	0.8908103	0.8238603	0.8434932	0.86801124	0.8154152	0.87942314	0.8724078	0.63180345	0.96382856	0.65779775	0.96988237	0.76087874	0.75712144	0.98474264	0.93220466	0.874184	0.8484467	0.90995884	0.74859905	0.66014564	0.72364306	0.8526569	0.7818284	0.8684461	0.9618763	0.6695623	0.94812584	0.87087476	0.8985379	0.91665447	0.95995104	0.8815797	0.93267965	0.86998963	0.76485705	0.8748232	0.75987506	0.9337772	0.793277	0.93431765	0.8797224	0.786539	0.9470898	0.8305042	0.79891276	0.5591044	0.87552357	0.9521787	0.9200551	0.9702101	0.870802	0.9284614	0.7951446	0.8177093	0.7443247	0.79467106	0.97928435	0.9124755	0.9668428	0.8741455	0.8794565	0.82703006	0.9205511	0.89466685	0.83189344	0.8921274	0.8034533	0.9178238	0.80813324	0.77015275	0.81410635	0.89541787	0.8302747	0.8713366	0.79663986	0.762851	0.89809746	0.9206933	0.8713767	0.80386925	0.89537406	0.71294963	0.68777704	0.91532755	0.92315435	0.7887782	0.8755167	0.8504106	0.882157	0.93914014	0.9334016	0.8481266	0.7210727	0.7116476	0.94364405	0.739972	0.8254753	0.5671162	0.87623	0.816106	0.8045218	0.95759404	0.95375836	0.9481395	0.8537752	0.8163943	0.79159	0.89446944	0.8521739	0.6340216	0.9778852	0.9146706	0.88242084	0.5950662	0.697103	0.71874636	0.7656922	0.87881786	0.75488126	0.8548861	0.84027	0.83723783	0.9092432	0.9628977	0.8885617	0.88163435	0.9318163	0.6887629	0.86833555	0.86484283	0.793915
hoe/adj	0.8327228	0.927601	0.74782807	0.81464773	0.82337826	0.8308768	0.74027044	0.7203974	0.0	0.81127894	0.8003756	0.9067224	0.65229857	0.8527857	0.9101493	0.8411823	0.75706744	0.8646502	0.93571377	0.8358489	0.76770335	0.64525884	0.83831596	0.8031786	0.9220804	0.89409965	0.7022463	0.67319614	0.7720511	0.55722505	0.7208667	0.39744687	0.71695507	0.71665955	0.8616575	0.7667913	0.48696607	0.79420984	0.8345985	0.790331	0.8130934	0.71876657	0.9454603	0.7611718	0.8607281	0.82322896	0.48078	0.70411	0.79209846	0.8497833	0.6479852	0.6586107	0.7127378	0.6584971	0.7554357	0.69386566	0.80575925	0.8234943	0.9134038	0.8073025	0.8660829	0.6438561	0.7299595	0.8394266	0.61207235	0.80404127	0.7806209	0.7427628	0.46436477	0.6952129	0.8305327	0.8758143	0.8445084	0.8030232	0.664449	0.5437779	0.79274404	0.70066845	0.72891724	0.8101144	0.8390776	0.976241	0.76997733	0.8930782	0.84609324	0.92569125	0.8721571	0.9329741	0.63390046	0.8241422	0.87101644	0.5032158	0.7410388	0.63899374	0.8671422	0.92340654	0.8805987	0.7862154	0.68303835	0.7353864	0.9184265	0.6901673	0.7497195	0.84418863	0.78969383	0.687812	0.7097595	0.76793706	0.8420868	0.72811365	0.86268276	0.89830995	0.718984	0.8825419	0.7310368	0.9179897	0.80015635	0.80352175	0.6381558	0.9152325	0.8275459	0.9107335	0.881994	0.56208444	0.8144041	0.8224924	0.7623384	0.73629963	0.9342151	0.7165238	0.7384428	0.5426106	0.6932816	0.7935588	0.9275014	0.9410748	0.86882305	0.83062357	0.7513392	0.6631589	0.92256427	0.7933717	0.4981085	0.6376184	0.7436342	0.825263	0.8824095	0.85323703	0.8669626	0.6540859	0.79418874	0.8501116	0.6079569	0.9054162	0.83808863	0.7309942	0.686401	0.6075525	0.8963268	0.9070219	0.81590855	0.70700586	0.6199374	0.76975447	0.8997561	0.6779754	0.82861114	0.954608	0.8365945	0.8923688	0.7925803	0.75881565	0.7313609	0.8028497	0.81207967	0.56847477	0.7860312	0.8949166	0.82261795	0.8127162	0.88024414	0.71039104	0.71874094	0.74545026	0.78948677	0.83821136	0.86839384	0.93338
tv/noun	0.7518738	0.8337923	0.8273267	0.8381058	0.8523278	0.9530014	0.90997016	0.8072138	0.81127894	0.0	0.7976866	0.85845685	0.76092	0.8954549	0.9093818	0.94487673	0.8338628	0.95650643	0.74925137	0.8066501	0.9174688	0.7315358	0.84757185	0.8781918	0.94675535	0.97934234	0.92365354	0.7545333	0.92301327	0.8674704	0.80369866	0.7370299	0.8792426	0.7736876	0.8543433	0.86091495	0.7115706	0.8347399	0.9170879	0.77564967	0.86981416	0.52985555	0.94904256	0.77009267	0.8623464	0.87206984	0.8171594	0.8476418	0.6628397	0.8323584	0.7474319	0.886721	0.8933711	0.8259244	0.85415083	0.88028616	0.8474702	0.8149911	0.94945544	0.86029935	0.7791152	0.80091846	0.7301414	0.9224209	0.8166192	0.9216652	0.9071953	0.9060991	0.7549277	0.8106023	0.9393459	0.93432975	0.88996273	0.9101726	0.88276917	0.75761086	0.8564267	0.79058653	0.7997087	0.8936116	0.85992897	0.98544955	0.8500365	0.92421776	0.87355566	0.9503597	0.90971625	0.6363865	0.7903418	0.8096711	0.9026162	0.7826177	0.94664085	0.7766992	0.94865495	0.81767255	0.985137	0.94543475	0.6437975	0.68145585	0.81479734	0.78846234	0.75739515	0.82134426	0.94216686	0.8567831	0.86096907	0.47637796	0.66293	0.9112082	0.8311596	0.9263969	0.88712054	0.84595853	0.8696401	0.95695484	0.80442786	0.6135678	0.7818596	0.8555648	0.72295916	0.9694146	0.8332816	0.77302504	0.90262973	0.7177808	0.8763638	0.52022654	0.87666166	0.5496166	0.9263952	0.7739853	0.8150066	0.7073158	0.71897453	0.96887773	0.9073602	0.9125904	0.80629903	0.9209006	0.8863369	0.8265904	0.769403	0.8191552	0.8161957	0.7494712	0.9214548	0.91983545	0.83603185	0.7943015	0.8309505	0.902392	0.7152885	0.90412486	0.81691945	0.8413065	0.83540833	0.81429625	0.94662505	0.9700231	0.5479677	0.85897154	0.808644	0.833946	0.9243867	0.87161076	0.91672057	0.9468097	0.61957526	0.79352593	0.8162779	0.8601217	0.89168537	0.8371919	0.77625334	0.7567278	0.86323476	0.9105075	0.78930634	0.89621514	0.87615114	0.91979396	0.8071386	0.9218221	0.86796933	0.93464684	0.81024814	0.8619169
Anthuenis/noun	0.8125557	0.9709158	0.88822424	0.9515506	0.9442682	0.9698365	0.92062986	0.93048185	0.8003756	0.7976866	0.0	0.95862097	0.84871244	0.99128443	0.98133403	0.7523632	0.8427139	0.9242961	0.99622995	0.92144656	0.9353868	0.88321996	0.93631864	0.96264344	0.9631427	0.9722411	0.9021229	0.87120014	0.90086925	0.89529115	0.8049111	0.8170854	0.8326517	0.9453436	0.9590999	0.79121417	0.8855178	0.8721278	0.96761006	0.9505551	0.97723556	0.93263346	0.98316455	0.8486542	0.8938443	0.9015991	0.9391563	0.6812599	0.9093054	0.93934256	0.9233554	0.8740894	0.87124074	0.90887254	0.58135307	0.6889429	0.92093766	0.91391355	0.97773725	0.7107275	0.8730833	0.83612585	0.8332602	0.9064199	0.6602026	0.9597395	0.94561666	0.7771461	0.80917424	0.89548767	0.88681674	0.90769494	0.5253195	0.94780767	0.90324235	0.8345548	0.944833	0.7835258	0.9007469	0.92650783	0.9487747	0.9791394	0.6891339	0.8963247	0.5400535	0.97789353	0.9124966	0.925229	0.86673534	0.9164097	0.9619348	0.73600924	0.92389613	0.6947927	0.91543996	0.87113774	0.9526298	0.96872014	0.94848186	0.9148385	0.9219592	0.9196053	0.8779896	0.8886706	0.9414607	0.7632787	0.77207714	0.91086787	0.845781	0.9459783	0.98359114	0.9782097	0.9307597	0.84113926	0.93910104	0.9494815	0.7804884	0.8980533	0.84030116	0.91931283	0.9279704	0.8518504	0.98268574	0.8247726	0.929551	0.94469756	0.749058	0.8765073	0.79725933	0.89740646	0.87864125	0.75041115	0.9595232	0.93930167	0.9613282	0.97156054	0.8884765	0.96877766	0.6990744	0.9132027	0.95389944	0.89663136	0.84177893	0.76209635	0.9272105	0.90940815	0.9775468	0.9931194	0.96253455	0.8988775	0.86538506	0.8566545	0.8179463	0.78876114	0.9053461	0.9180188	0.7571856	0.8556975	0.9574285	0.8860673	0.68657655	0.86782235	0.72703195	0.89441705	0.97431004	0.93136543	0.97865087	0.94979626	0.94696796	0.94723064	0.86096203	0.9087729	0.971663	0.9695517	0.9210497	0.8972784	0.92930764	0.9285398	0.9583487	0.8970394	0.9272147	0.8813221	0.8584238	0.9182103	0.91000974	0.9066635	0.9209664	0.9272864
