	riek/verb	word/verb	pijnlijk/adj	vroeger/adv	alleen/adj	carrière/noun	blijf/adj	hoe/adj	eiland/noun	nog/adv	gozer/noun	voor_woord/noun	muur/noun	bepaald/adj	gisteren/adv	bar/noun	lief/adj	gespannen/adj	kerst_avond/noun	maar/adv	plek/noun	alles/noun	versregel/noun	kunstenares/noun	inwoner/noun	plaquette/noun	hoofd_redactie/noun	ook/adv	bitter/adj	staal_industrie/noun	dagelijks/adj	zelfs/adv	altijd/adv	niets/noun	gesprek/noun	feit/noun	niets/adv	er/noun	alleen/adv	producer/noun	zal/verb	gebeur/verb	zo/adv	lezer/noun	acht_baan/noun	geweeklaag/noun	goed/adj	echt/adv	amper/adv	moment/noun	nota/noun	commotie/noun	tijd/noun	gebeuren/noun	verrot/adj	Merksemse/adj	iemand/noun	tv_kijker/noun	periode/noun	tekst/noun	schilderij/noun	vroeg/adj	Ten/adv	kan/verb	graag/adv	schoonheid/noun	niet/adv	iets/noun	man/noun	weer/adv	wanneer/adv	gras/noun	context/noun	onraad/noun	midden/noun	ons/noun	plaat_zaak/noun	visser_dorp/noun	kast/noun	mooi/adj	atmosfeer/noun	jeugd/noun	lui/adj	vooral/adv	meer/adv	ingeslagen/adj	zomer/noun	meisje/noun	duur_voort/adj	sarcastisch/adj	mens/noun	misschien/adv	vervallen/adj	plaat/noun	partij_genoot/noun	protestants/adj	voorts/adv	homeopathisch/adj	correct/adj	herkomst/noun	bloed_heet/adj	jongeman/noun	meen/verb	concert/noun	meer/adj	aangrijpend/adj	vorig/adj	heroïsch/adj	weinig/adj	gelukkig/adj	lang/adj	dag/noun	kiezer/noun	atlete/noun	oud/adj	verleden/noun	vaak/adj	politicus/noun	veld_slag/noun	voorzitter/noun	meneer/noun	ooit/adv	niks/noun	liefst/adj	detail/noun	veel/adj	het/adj	kwaad/noun	eens/adv
riek/verb	0.0	0.8105309	0.8388802	0.8105714	0.8042683	0.9112309	0.83881545	0.82077134	0.86414963	0.81401974	0.8236757	0.8737446	0.8221185	0.83051085	0.8732605	0.7695608	0.7211989	0.795486	0.83347476	0.7790618	0.83185565	0.8045875	0.88864005	0.8644269	0.8932315	0.90010905	0.86257267	0.79257447	0.7859546	0.9171193	0.81525683	0.7415464	0.75993586	0.84723383	0.8778225	0.8849243	0.8090178	0.838157	0.7670847	0.8900937	0.819931	0.81236386	0.778712	0.8269262	0.86193204	0.8369721	0.8524559	0.8177874	0.8947746	0.86925614	0.89345086	0.8203272	0.87883663	0.8668745	0.7973362	0.92442375	0.7216705	0.8482623	0.8932702	0.86662877	0.8808044	0.813398	0.83938867	0.7738483	0.7601797	0.8239866	0.8173444	0.77810425	0.793522	0.7585294	0.819034	0.73819095	0.853629	0.81306446	0.83585703	0.7919581	0.8784699	0.8671773	0.8035559	0.81360817	0.7824483	0.8167325	0.7283356	0.7826818	0.8108884	0.86948097	0.85536224	0.786443	0.7512145	0.82453895	0.77577394	0.777015	0.8118361	0.8591548	0.8774874	0.84078026	0.8465999	0.84408	0.84232235	0.8257102	0.8179904	0.81275797	0.8480366	0.9075523	0.8469802	0.8516966	0.90668213	0.82819	0.83052003	0.808148	0.856007	0.84188324	0.84263986	0.87313694	0.8163196	0.86607146	0.7133491	0.8212264	0.8587989	0.93465286	0.7662455	0.8362263	0.82977587	0.7374003	0.8509846	0.7684504	0.8624599	0.8065914	0.7838588
word/verb	0.8105309	0.0	0.8444333	0.89055604	0.7554846	0.8568107	0.76263225	0.8015737	0.8466227	0.8013977	0.9003474	0.85439473	0.84353393	0.7179901	0.77194977	0.84354985	0.8488791	0.8689701	0.7973	0.8603282	0.82040566	0.81660503	0.8944079	0.8309803	0.8364725	0.8665161	0.7778068	0.76245224	0.8849294	0.8340485	0.7796532	0.77920485	0.861929	0.8699677	0.8370552	0.75905246	0.88695264	0.8775379	0.8272835	0.8743334	0.56141293	0.781464	0.79920053	0.8016274	0.85468626	0.88786465	0.8510217	0.87942576	0.8852628	0.87789476	0.7584557	0.8318037	0.84640175	0.7973853	0.8429457	0.8500655	0.7009384	0.81521446	0.8196753	0.80378395	0.8400235	0.85015213	0.7065784	0.59605193	0.829126	0.8531655	0.784286	0.8466226	0.69669175	0.7883181	0.75796825	0.85749125	0.8120585	0.7971708	0.8760757	0.7554568	0.8624508	0.8797122	0.85069406	0.88821846	0.7789537	0.8579513	0.84569234	0.8451878	0.8149728	0.8331753	0.7821451	0.7880292	0.76471937	0.86972874	0.75483066	0.87188137	0.80040616	0.8300508	0.8530287	0.8026748	0.6791757	0.7905475	0.7303789	0.7771524	0.85476094	0.6766957	0.89466536	0.83935344	0.8429831	0.85447025	0.7636981	0.8400968	0.85986245	0.8603229	0.85283256	0.7868129	0.80165505	0.8064767	0.841424	0.81793284	0.73527145	0.80063534	0.827533	0.9217255	0.88299847	0.82756567	0.8977107	0.84129214	0.7816382	0.8331662	0.82769126	0.83291745	0.8248354
pijnlijk/adj	0.8388802	0.8444333	0.0	0.8251174	0.8227351	0.84245974	0.74631107	0.75472486	0.92790604	0.83404577	0.90505636	0.8590372	0.894481	0.81245786	0.84990364	0.9358418	0.8462239	0.694197	0.8892259	0.81642044	0.86681044	0.86410284	0.9146298	0.8738562	0.9453887	0.9056278	0.8732647	0.79182196	0.65655845	0.8721816	0.87202334	0.7999673	0.78164864	0.8568987	0.8552489	0.7884315	0.84909904	0.8577287	0.8196224	0.930216	0.80133307	0.8170208	0.7876705	0.7810379	0.8880507	0.8609051	0.8049533	0.89055634	0.90295637	0.7765008	0.85232544	0.76500237	0.86029065	0.83292687	0.86475515	0.9404006	0.8094443	0.84728694	0.81573594	0.8608669	0.8954225	0.86370444	0.8854194	0.83180034	0.82899994	0.7704979	0.84199214	0.8247218	0.88225704	0.8537395	0.85779065	0.88001597	0.7785037	0.9161191	0.9248624	0.83077276	0.93581176	0.91118395	0.9234296	0.7524928	0.8434894	0.83584154	0.8165803	0.80125076	0.893235	0.89848155	0.89603335	0.8829652	0.75346744	0.76682454	0.8320588	0.7734969	0.8988319	0.8945308	0.8802176	0.9040173	0.88844323	0.8725543	0.7872877	0.90744984	0.89897203	0.8674969	0.86274385	0.9294477	0.86459893	0.64765155	0.862198	0.73285985	0.7890096	0.7632098	0.8254055	0.9002979	0.8408629	0.89177805	0.8951851	0.7490088	0.6831243	0.8213668	0.8107823	0.9565281	0.8663448	0.8618979	0.86390585	0.86693025	0.7704601	0.7692897	0.8913851	0.7911928	0.83481663
vroeger/adv	0.8105714	0.89055604	0.8251174	0.0	0.826812	0.8687824	0.8596113	0.7966727	0.9310106	0.8206613	0.876508	0.8999887	0.8981613	0.87135684	0.9384822	0.8834527	0.79529196	0.86545014	0.8819376	0.7695101	0.8837943	0.831692	0.8796131	0.92174417	0.93918926	0.9021503	0.90802056	0.81310403	0.83834815	0.92228377	0.91897684	0.84441864	0.77515984	0.8483513	0.89046496	0.8980061	0.8172089	0.8190527	0.818718	0.89531344	0.8599156	0.8509376	0.8242318	0.85700136	0.8965388	0.89089996	0.8521099	0.8227518	0.9117814	0.8638172	0.9191474	0.88961405	0.87473583	0.8821748	0.87051976	0.93211764	0.81789863	0.8828689	0.8692863	0.8375404	0.8795912	0.82310253	0.90141714	0.82279235	0.83044845	0.8254163	0.84319055	0.8090075	0.8967242	0.8112875	0.8467869	0.88453114	0.85723317	0.91372806	0.9131038	0.831613	0.9226129	0.9000243	0.8872429	0.7989799	0.8481941	0.8295956	0.8543792	0.83401924	0.88016915	0.9140839	0.918743	0.87215114	0.8366716	0.8309864	0.8379936	0.78126657	0.8916019	0.85614	0.9194486	0.9015555	0.8865598	0.896456	0.8615253	0.90240264	0.9193941	0.9120249	0.89941746	0.8926009	0.8847307	0.82121444	0.9152764	0.82770467	0.8280141	0.83217406	0.8894545	0.9162285	0.8956811	0.9157522	0.84905803	0.82105625	0.8022749	0.87585133	0.87778085	0.93404686	0.8305499	0.83942044	0.84315234	0.8498232	0.81802464	0.791163	0.9152644	0.85400486	0.81411207
alleen/adj	0.8042683	0.7554846	0.8227351	0.826812	0.0	0.8798299	0.75763637	0.690938	0.8802147	0.73469543	0.84766376	0.87069064	0.9059032	0.70139515	0.90612686	0.87752557	0.6879624	0.85535556	0.88245004	0.6656547	0.8341067	0.73796993	0.8995436	0.8833145	0.8940375	0.91336805	0.8529937	0.5999581	0.8062463	0.8276933	0.78983015	0.7337383	0.624635	0.7128729	0.88289815	0.806853	0.72036266	0.7576208	0.37046838	0.8871213	0.6750319	0.8157779	0.7264876	0.75682646	0.8605104	0.8912785	0.7398288	0.6948036	0.8357146	0.83421063	0.854625	0.84897375	0.85675883	0.820016	0.8622792	0.92006904	0.68350434	0.830439	0.9056357	0.80799985	0.8918964	0.8661515	0.80666816	0.63122404	0.68820256	0.7839943	0.5624279	0.75141585	0.85996276	0.82509404	0.7404058	0.85481966	0.77353084	0.8601458	0.9348621	0.7091414	0.84316206	0.9003866	0.8875967	0.8257104	0.8550913	0.809156	0.7772192	0.60193264	0.62641555	0.86167705	0.9147308	0.8583911	0.7440355	0.8683549	0.72264063	0.7335024	0.86135674	0.85760576	0.9054313	0.8654422	0.75103384	0.7592552	0.7144561	0.79698694	0.9057878	0.8807053	0.86398363	0.91390646	0.7253739	0.8687798	0.94290394	0.8506791	0.69022983	0.7555881	0.8652129	0.8950374	0.78273666	0.879036	0.86775625	0.84215426	0.6391411	0.7856183	0.8769146	0.9664943	0.8250411	0.8111948	0.7349646	0.7550281	0.7579882	0.67216134	0.8209683	0.78041947	0.76723063
carrière/noun	0.9112309	0.8568107	0.84245974	0.8687824	0.8798299	0.0	0.87596	0.861879	0.92778087	0.8594872	0.9117356	0.8760343	0.91141045	0.89745903	0.8804205	0.92460626	0.8731522	0.8853715	0.86633366	0.8867027	0.89321136	0.86562586	0.903524	0.85073274	0.9455255	0.9116833	0.92324626	0.8790378	0.87690306	0.8852239	0.9163358	0.8602007	0.8626993	0.92579585	0.78945494	0.8918722	0.92260736	0.9047424	0.87602276	0.78096724	0.8543969	0.9140781	0.869644	0.8961502	0.86016417	0.9178568	0.81918436	0.9074936	0.8771648	0.8483221	0.8971099	0.87852407	0.82149017	0.794546	0.8714715	0.92156154	0.8854958	0.8980044	0.7479421	0.86981094	0.8703801	0.8840242	0.9089609	0.8712869	0.90335083	0.81256926	0.90510195	0.8845164	0.9048756	0.85507494	0.8976922	0.929893	0.8692807	0.9143636	0.88760966	0.9016645	0.9125992	0.921617	0.9121364	0.7893029	0.8778052	0.7932731	0.846046	0.8416085	0.8949592	0.8757256	0.783051	0.90898347	0.88856095	0.8836468	0.90227544	0.8812117	0.9081938	0.77661824	0.9171444	0.91702497	0.8881273	0.93951416	0.8921898	0.92322755	0.8961469	0.9116343	0.9184578	0.80190575	0.8883208	0.81850845	0.84024	0.8042443	0.8776399	0.8559687	0.8562323	0.8302231	0.91833115	0.7984599	0.8856474	0.7666753	0.8737675	0.8674504	0.79783076	0.9304465	0.9040375	0.7339965	0.9095615	0.85421586	0.8978461	0.8761574	0.8705442	0.92235434	0.9080347
blijf/adj	0.83881545	0.76263225	0.74631107	0.8596113	0.75763637	0.87596	0.0	0.829653	0.8631593	0.8457424	0.9354637	0.88773876	0.87283134	0.70380276	0.89104104	0.9151985	0.88124603	0.8055259	0.89833504	0.87391603	0.8547058	0.890671	0.91624904	0.8610116	0.8492663	0.8891853	0.8696083	0.7560329	0.80506927	0.7982172	0.8405932	0.8037914	0.8206249	0.873715	0.89290905	0.81865567	0.8584596	0.8552206	0.77630013	0.89860326	0.6918282	0.8760635	0.86647683	0.813887	0.9092002	0.89412063	0.8055339	0.905888	0.8808582	0.8800746	0.8589426	0.8227416	0.8541732	0.8010714	0.87093544	0.90385234	0.8406281	0.8726794	0.8453244	0.8851378	0.87655866	0.9009596	0.7512261	0.7355735	0.8477466	0.78073287	0.83119786	0.8541617	0.86459696	0.8773998	0.86298555	0.8961202	0.7864624	0.91689736	0.91322196	0.823321	0.8969827	0.8781377	0.9291953	0.8550271	0.78298205	0.78911895	0.8509075	0.682893	0.816458	0.8757437	0.91373926	0.8825245	0.6896746	0.9067194	0.78786105	0.8505469	0.83743685	0.9088098	0.90530676	0.8401145	0.7649394	0.8356284	0.81188536	0.7894514	0.92139804	0.84869885	0.8343854	0.9184626	0.7737097	0.8431209	0.8947028	0.8279231	0.7209243	0.83464617	0.87242734	0.9346209	0.80092233	0.87070835	0.8589326	0.8063199	0.75613976	0.8159939	0.8284478	0.9485192	0.92069286	0.86560893	0.89559376	0.9025711	0.8474823	0.73417366	0.8988216	0.8073527	0.91140044
hoe/adj	0.82077134	0.8015737	0.75472486	0.7966727	0.690938	0.861879	0.829653	0.0	0.9279607	0.7338762	0.80233395	0.8507544	0.9107355	0.79297656	0.9198877	0.91356957	0.7248734	0.7937316	0.87198883	0.676878	0.81999886	0.670611	0.87776035	0.87061715	0.9381128	0.90515214	0.87173396	0.6910059	0.82804084	0.8900513	0.8486476	0.81528145	0.6664238	0.768649	0.87801933	0.83974487	0.7655354	0.8008671	0.7708555	0.87630606	0.71552086	0.7759719	0.50494975	0.7294615	0.86730665	0.8780851	0.7148626	0.6877209	0.8913467	0.74097043	0.8615823	0.8563155	0.8460201	0.83350563	0.82377094	0.90947926	0.6282835	0.81736165	0.8686832	0.80136853	0.8514487	0.87265235	0.85205513	0.6301687	0.7800091	0.7809739	0.6894343	0.65860814	0.8495112	0.82258445	0.555068	0.8769251	0.7441394	0.8884025	0.9367293	0.7480091	0.9160659	0.8943498	0.89904225	0.76213044	0.8225049	0.82870555	0.7598802	0.78227407	0.8199755	0.8984126	0.9219176	0.82449305	0.77483505	0.82146525	0.6960495	0.6391009	0.89573485	0.8424714	0.91474044	0.910859	0.81531477	0.84232986	0.7239659	0.79779524	0.9241043	0.86662924	0.88691014	0.9352244	0.8349532	0.77080494	0.95449895	0.8227577	0.7652741	0.7368598	0.8487265	0.908926	0.8206507	0.9017124	0.88806874	0.78957224	0.68084276	0.8072636	0.8715893	0.9707606	0.76800996	0.725052	0.75201964	0.7942738	0.68569374	0.6745804	0.80527943	0.81327575	0.6483636
eiland/noun	0.86414963	0.8466227	0.92790604	0.9310106	0.8802147	0.92778087	0.8631593	0.9279607	0.0	0.91755843	0.93157077	0.9203522	0.83169997	0.90637016	0.86615366	0.7809081	0.88435894	0.8679533	0.84164333	0.93770075	0.69546705	0.9064908	0.8896664	0.8320605	0.7635943	0.9183147	0.9399675	0.9164582	0.88924026	0.8997994	0.83339274	0.8754181	0.88346183	0.9507809	0.93199444	0.94958824	0.9254545	0.9475998	0.8646554	0.92340416	0.8827566	0.94326264	0.92029524	0.91335404	0.8845654	0.9325074	0.9446111	0.94449973	0.88209796	0.8873503	0.9403691	0.91718644	0.91085035	0.86151564	0.87992454	0.9446609	0.9133839	0.8650519	0.8833355	0.91345614	0.8493428	0.8892888	0.8188243	0.9014965	0.8786726	0.8556718	0.9509934	0.9267123	0.8545651	0.8883991	0.9150155	0.8128802	0.90785986	0.91444325	0.79142445	0.8729324	0.8696285	0.67749476	0.8878188	0.860834	0.80320287	0.8576769	0.86879206	0.8230434	0.94108117	0.91097057	0.8056823	0.82488513	0.8692335	0.9240662	0.8393383	0.9334369	0.7687926	0.88866764	0.9511171	0.76671004	0.8575423	0.94127953	0.9531548	0.8494423	0.83061576	0.8610114	0.9560615	0.89378464	0.8933092	0.8885752	0.91556185	0.8450456	0.9237901	0.9293798	0.8676832	0.8330302	0.88210624	0.8464525	0.83867496	0.8926537	0.8755692	0.8774035	0.7833029	0.9586703	0.91068	0.8460828	0.95523924	0.8396492	0.9306213	0.89853793	0.90609324	0.9095986	0.94036657
nog/adv	0.81401974	0.8013977	0.83404577	0.8206613	0.73469543	0.8594872	0.8457424	0.7338762	0.91755843	0.0	0.84408176	0.91198003	0.9038229	0.8745233	0.88376963	0.88184047	0.76422906	0.82680565	0.8837533	0.58046776	0.8498827	0.7433792	0.8873929	0.91649115	0.8901371	0.9000332	0.8734862	0.66300976	0.8245768	0.88335127	0.8576794	0.7151254	0.63344884	0.7546615	0.8664392	0.848491	0.7795179	0.63650477	0.7409855	0.9168408	0.6611366	0.7244167	0.7352263	0.8184452	0.84384495	0.8865945	0.7358352	0.7383219	0.7071581	0.76767904	0.86667705	0.83395034	0.6749402	0.874205	0.8755294	0.91616154	0.7254205	0.8264001	0.7997899	0.8875746	0.896755	0.7853452	0.8334824	0.6669319	0.8241061	0.8696126	0.62379766	0.67371166	0.8751031	0.63024056	0.71126676	0.8422529	0.8780126	0.8933122	0.9130364	0.7646418	0.85980403	0.89488184	0.8596339	0.8263204	0.854444	0.85595876	0.8343806	0.8618364	0.6880547	0.8467405	0.82471347	0.8773121	0.8164962	0.86030966	0.7554861	0.648492	0.86813223	0.84666514	0.93999577	0.9331097	0.81443983	0.88457954	0.8585857	0.8654289	0.86345595	0.87360275	0.90813226	0.9072442	0.7338933	0.8823691	0.86548036	0.869575	0.7321367	0.68918246	0.71875834	0.74915075	0.84847873	0.8619779	0.88353395	0.8275608	0.75416213	0.8715618	0.86833525	0.9685317	0.8520282	0.7471734	0.7417432	0.81953526	0.783461	0.7267783	0.8295722	0.8588244	0.63230693
gozer/noun	0.8236757	0.9003474	0.90505636	0.876508	0.84766376	0.9117356	0.9354637	0.80233395	0.93157077	0.84408176	0.0	0.90208805	0.90403175	0.9275759	0.93960065	0.8534614	0.7979151	0.9036749	0.8879124	0.78170395	0.831169	0.82119924	0.92485714	0.91158134	0.9590003	0.9282554	0.904698	0.81607956	0.9131434	0.9468671	0.93004924	0.85343444	0.74815667	0.85759044	0.89269125	0.9195794	0.85694164	0.8293718	0.8667712	0.84519374	0.85969394	0.85494626	0.75025743	0.8666315	0.88962543	0.90627253	0.84304464	0.7842333	0.9104529	0.8258301	0.94885975	0.90104353	0.858963	0.90027446	0.8326071	0.92098236	0.6734657	0.8874768	0.9157634	0.8845707	0.89954734	0.8808135	0.93959516	0.8177734	0.834751	0.8748565	0.78433365	0.76041853	0.8072597	0.8148975	0.83131105	0.86554664	0.88414264	0.9046203	0.930766	0.7956884	0.894595	0.93303645	0.87659204	0.8153922	0.88287085	0.86928487	0.78979725	0.88819575	0.8779741	0.94240046	0.93190706	0.8334195	0.8756572	0.8789588	0.78185725	0.7504653	0.9219535	0.8177204	0.9203581	0.9234906	0.94550353	0.9259504	0.8897888	0.945361	0.9059007	0.8775472	0.90476847	0.9164726	0.9002077	0.87331337	0.94613147	0.8735457	0.89294916	0.81047285	0.9080459	0.91175634	0.9177411	0.8801606	0.89461607	0.9149326	0.8355697	0.87615454	0.91686976	0.92661667	0.7842011	0.8209289	0.77820253	0.8371161	0.8870248	0.8614724	0.8963117	0.8832991	0.796467
voor_woord/noun	0.8737446	0.85439473	0.8590372	0.8999887	0.87069064	0.8760343	0.88773876	0.8507544	0.9203522	0.91198003	0.90208805	0.0	0.9362567	0.8675415	0.78287685	0.9173073	0.86849606	0.8989166	0.87876266	0.90886587	0.9025487	0.895609	0.80312634	0.8363408	0.9224959	0.8635638	0.78724134	0.8384664	0.83711445	0.9294755	0.90017426	0.8552469	0.88362044	0.9185828	0.7869177	0.86343247	0.8817771	0.8995173	0.9055579	0.75614434	0.8940237	0.9452461	0.8281947	0.7154991	0.93013114	0.9136722	0.89494824	0.9266986	0.942447	0.92533755	0.7283728	0.85362566	0.9415979	0.8788817	0.92206234	0.94080895	0.8647761	0.896705	0.92059666	0.6485729	0.8229155	0.9261469	0.8574635	0.8863671	0.87479794	0.8463007	0.88798565	0.89540964	0.91694474	0.9183837	0.87910104	0.92281735	0.786265	0.90504634	0.9235285	0.8665542	0.90100545	0.9139142	0.9057921	0.84000003	0.8899263	0.88318753	0.8794481	0.874179	0.92054737	0.9118248	0.91509473	0.9285693	0.8673881	0.77480984	0.92350733	0.88287616	0.8931897	0.8355545	0.7436741	0.8571649	0.7473453	0.88552004	0.8229782	0.87661445	0.93219334	0.8996248	0.75431955	0.8732929	0.92220974	0.7571977	0.88738644	0.826133	0.8730763	0.90505075	0.94441426	0.9365408	0.85775983	0.8730871	0.91418725	0.8527363	0.85091203	0.8219204	0.8682262	0.76420224	0.76270944	0.7713324	0.93418616	0.88043326	0.82016724	0.8971055	0.9020163	0.90309995	0.86726725
muur/noun	0.8221185	0.84353393	0.894481	0.8981613	0.9059032	0.91141045	0.87283134	0.9107355	0.83169997	0.9038229	0.90403175	0.9362567	0.0	0.9045945	0.93527234	0.6611184	0.8609425	0.83741045	0.89083827	0.9090743	0.72174907	0.8436853	0.8895688	0.83008695	0.9389011	0.75701594	0.93173516	0.9235319	0.90848476	0.9137811	0.90832025	0.84255826	0.88593936	0.95341074	0.9462841	0.91563076	0.9435915	0.8982749	0.87341464	0.93505436	0.92856485	0.9291214	0.89474803	0.9259405	0.83432525	0.9188657	0.93858516	0.9429524	0.89221305	0.9305117	0.9314682	0.9101179	0.91507095	0.88046134	0.75205016	0.9438251	0.861518	0.918789	0.9169078	0.8153458	0.71436137	0.88933897	0.86571425	0.8929841	0.86992675	0.85235846	0.94429785	0.91161823	0.82308125	0.80708987	0.9212817	0.66945165	0.8806015	0.8890743	0.6810831	0.85861194	0.8892987	0.869467	0.5549787	0.7548981	0.7977967	0.92610705	0.8312453	0.9158952	0.93701214	0.8629253	0.904942	0.8430901	0.8172706	0.8998936	0.89115894	0.9429809	0.6212587	0.7847223	0.95506316	0.8694238	0.866244	0.9458427	0.9336354	0.8922592	0.821315	0.8209698	0.9775065	0.930828	0.9474278	0.8731635	0.96090746	0.8764982	0.9386131	0.9189018	0.85779357	0.8998208	0.9454937	0.8948665	0.7710608	0.8802532	0.8635478	0.92484695	0.857943	0.98552305	0.885484	0.8874609	0.9447139	0.8169458	0.8807057	0.9082695	0.9676346	0.93170893	0.8875783
bepaald/adj	0.83051085	0.7179901	0.81245786	0.87135684	0.70139515	0.89745903	0.70380276	0.79297656	0.90637016	0.8745233	0.9275759	0.8675415	0.9045945	0.0	0.9327237	0.90464896	0.8719657	0.8165437	0.8999916	0.858622	0.854609	0.8662392	0.89822483	0.8772963	0.8653499	0.93094265	0.85219485	0.7376993	0.8685475	0.8597245	0.8028039	0.77188015	0.811232	0.90111035	0.9051081	0.8205686	0.8879982	0.896525	0.7407409	0.90878975	0.73967284	0.8574688	0.85591185	0.7862466	0.86927885	0.8943375	0.7686887	0.86639917	0.89771754	0.8599442	0.814135	0.8439479	0.9011886	0.8185413	0.87251925	0.895872	0.7648988	0.8344272	0.8975234	0.8105978	0.8661281	0.8733053	0.7789198	0.70031697	0.80201095	0.78282464	0.7928928	0.85976106	0.9159498	0.89913815	0.7867069	0.887563	0.7225842	0.8830441	0.9089961	0.80267346	0.9198451	0.8975296	0.9115583	0.82794803	0.7579233	0.81854296	0.84827983	0.7037982	0.8157023	0.87991285	0.9432423	0.90673524	0.7296191	0.8654842	0.7523719	0.83540946	0.8421485	0.882159	0.9102631	0.8158391	0.75839084	0.728897	0.6623083	0.674471	0.90884703	0.9060158	0.8691565	0.90795547	0.7623154	0.8254078	0.93874115	0.8241384	0.7749909	0.89598984	0.8580008	0.9100315	0.8049361	0.89487994	0.82832515	0.8279407	0.6807182	0.8104421	0.8863969	0.9665031	0.9144358	0.86990726	0.9189282	0.87392205	0.77291036	0.76707286	0.8903926	0.82541394	0.88967854
gisteren/adv	0.8732605	0.77194977	0.84990364	0.9384822	0.90612686	0.8804205	0.89104104	0.9198877	0.86615366	0.88376963	0.93960065	0.78287685	0.93527234	0.9327237	0.0	0.908324	0.9259287	0.80979	0.8070123	0.94357246	0.92495245	0.9419043	0.93452686	0.8161292	0.8196368	0.87372875	0.7367959	0.8908781	0.8548575	0.87964475	0.85359514	0.85209584	0.93053913	0.8949995	0.6491824	0.8187648	0.85185015	0.9232449	0.91527	0.8453183	0.770233	0.9211712	0.9026572	0.865017	0.9159539	0.91381824	0.94063824	0.95206517	0.89965594	0.91708463	0.6625775	0.7612657	0.9365583	0.87465346	0.9113822	0.87876236	0.91453815	0.85609573	0.9154045	0.87710375	0.91537076	0.9166934	0.7517465	0.8991642	0.8690085	0.9353159	0.90017134	0.9359347	0.8236589	0.8676033	0.8171751	0.9386549	0.89510876	0.8399104	0.9317722	0.9228179	0.8973356	0.8982784	0.94510704	0.9539141	0.91133124	0.9152379	0.91842216	0.89041376	0.93778944	0.88000226	0.7891565	0.8859746	0.8765049	0.82694554	0.9107163	0.9540664	0.88965917	0.9328475	0.5975591	0.8274337	0.68790185	0.9216038	0.8875389	0.8974151	0.87805843	0.7683827	0.6879555	0.8655443	0.93333584	0.89789945	0.60092705	0.83337754	0.90397793	0.926953	0.9251571	0.8010111	0.8009665	0.7834501	0.9355145	0.9102853	0.9174331	0.75260985	0.790066	0.62211657	0.7818296	0.8659042	0.92693913	0.90069014	0.8377369	0.93704164	0.89674467	0.93731433	0.8989694
bar/noun	0.7695608	0.84354985	0.9358418	0.8834527	0.87752557	0.92460626	0.9151985	0.91356957	0.7809081	0.88184047	0.8534614	0.9173073	0.6611184	0.90464896	0.908324	0.0	0.816907	0.86754024	0.801221	0.89893425	0.7309971	0.86804974	0.9029893	0.8425244	0.8719974	0.86264956	0.91560274	0.87712806	0.88587034	0.92910224	0.82823086	0.82582045	0.8406949	0.9470786	0.89378065	0.9342263	0.9352067	0.90686446	0.8775121	0.86811423	0.9232111	0.9189169	0.8900634	0.8986909	0.81183773	0.93299925	0.90299326	0.9108099	0.87878287	0.91141164	0.9275843	0.9178612	0.914399	0.83404154	0.8486853	0.8745719	0.8299146	0.8803197	0.927921	0.9031428	0.81994927	0.8000743	0.84477735	0.88936806	0.84467494	0.8841331	0.9394135	0.878495	0.77845114	0.81504345	0.9000212	0.77966326	0.9215316	0.87669337	0.7730812	0.83874816	0.7526032	0.8556778	0.6746946	0.8056127	0.8227402	0.86284107	0.8085368	0.8717933	0.9198164	0.8925374	0.8571263	0.7770441	0.85217994	0.88204473	0.8454074	0.9245873	0.6958327	0.8117571	0.9381819	0.86692864	0.84508824	0.9401975	0.92360747	0.90686476	0.77740836	0.7982819	0.9636183	0.8080662	0.9069172	0.8948565	0.9359495	0.88575774	0.9233037	0.90563464	0.8881001	0.8346807	0.92708445	0.8945437	0.7985082	0.9044299	0.81847155	0.8915319	0.8413501	0.9555581	0.8431226	0.84601027	0.93824464	0.76706064	0.90237653	0.8731854	0.92701554	0.95565313	0.82887894
