	bijzonder/adj	gelaat/noun	la/noun	uitspanning/noun	opgebouwd/adj	benadering/noun	eenzijdig/adj	hoofd/noun	lied_DIM/noun	verzorger/noun	achterkant/noun	gelaat_trek/noun	lichaam_taal/noun	elleboog/noun	kast_DIM/noun	speelstijl/noun	bocht/noun	fysiek/noun	bak/noun	mengsel/noun	zeer/adv	look/noun	persoonlijkheid/noun	die/det	zo/adv	jongen/noun	figuur/noun	glas/noun	snuit/noun	wolkenkrabber/noun	model/noun	hartstochtelijk/adj	handschrift/noun	koets_werk/noun	constructie/noun	viool/noun	trek/noun	dan_pas_DIM/noun	trouwring/noun	kant_DIM/noun	choreografie/noun	ietwat/adv	en/vg	Zwitser/noun	steen/noun	symbool/noun	rock/noun	body/noun	lied/noun	verfilming/noun	lijn/noun	blik/noun	one-liners/noun	ze/pron	ritme/noun	veelal/adv	carrosserie/noun	iets/noun	thema/noun	landschap/noun	kap_DIM/noun	breakdance/noun	vaas/noun	manier/noun	uitgestoken/adj	film/noun	klank/noun	gebouw/noun	Jong/name	grafiek/noun	zo/adj	begeleiding/noun	taal/noun	karakter/noun	mooi/adj	nogal/adv	vijver/noun	gitaar/noun	kaak/noun	geluid/noun	volume/noun	beeld_merk/noun	gezicht/noun	des/adv	grooves/noun	ritmiek/noun	tafel/noun	heup/noun	te/adv	letter/noun	even/adv	tamelijk/adj	gebaar/noun	steeds/adv	tred/noun	beweging/noun	weg_net/noun	kassei/noun	kop/noun	compositie/noun	arrangement/noun	korrel/noun	even/adj	slurf/noun	schouder/noun	raam/noun	stekel/noun	eerder/adj	opgetrokken/adj	ronding/noun	aanvankelijk/adj	patroon/noun	uitwerking/noun	wat/adv	generaal/noun	heftigheid/noun	lichaam/noun	pixels/noun	veel/adj	vorm/noun	snavel/noun	minder/adj	dance/noun	decolleté/noun	muziek/noun	stijl/noun	woonkamer/noun	motoriek/noun	interview/noun	lekker/adj
bijzonder/adj	0.0	0.81565845	0.8538832	0.92613244	0.7284702	0.6877661	0.81149113	0.9269522	0.7337674	0.86800045	0.86647	0.8453245	0.77550894	0.9016849	0.8755324	0.71616673	0.86549485	0.8066978	0.88740057	0.78808475	0.34420836	0.7796968	0.63064134	0.7219398	0.5854292	0.8069626	0.7032214	0.84331036	0.8766641	0.86974984	0.78698504	0.794064	0.74954677	0.8159728	0.76342964	0.780279	0.79327095	0.8443835	0.91986656	0.7484949	0.6860932	0.60974854	0.66737276	0.8773144	0.88164055	0.81461465	0.7762041	0.847379	0.7673542	0.70550716	0.8498617	0.745196	0.81697094	0.80541265	0.74552363	0.70267373	0.855669	0.7602885	0.72213244	0.7169703	0.94057786	0.89292675	0.8126831	0.68389434	0.936657	0.6966513	0.6832125	0.8387218	0.87804115	0.79010797	0.60030687	0.80134773	0.78358334	0.6267555	0.6313871	0.58284867	0.85539556	0.81760246	0.87489647	0.7363245	0.8197075	0.9212288	0.78278404	0.5626981	0.8151379	0.7701091	0.89319366	0.8686336	0.6590939	0.86709976	0.5618131	0.54222196	0.7380633	0.69800174	0.8393116	0.795045	0.86973983	0.8730857	0.92090106	0.64837813	0.69693667	0.8557857	0.76042145	0.9397586	0.9006259	0.92907983	0.8956641	0.84624356	0.845088	0.85500944	0.75640833	0.7702153	0.71464515	0.6257093	0.9106936	0.86848265	0.8420125	0.91332257	0.6325128	0.73745537	0.9113805	0.6085363	0.8005454	0.86823815	0.7114346	0.64635575	0.87649506	0.78936374	0.8626809	0.7895297
gelaat/noun	0.81565845	0.0	0.8546335	0.8962278	0.8200962	0.8169197	0.85403246	0.7196036	0.836506	0.8310503	0.7567044	0.7225976	0.73345584	0.72701484	0.8375881	0.8530688	0.8623661	0.847677	0.8184816	0.7984587	0.777613	0.7685691	0.7285483	0.7786315	0.7818525	0.7781205	0.71737564	0.7372776	0.81896144	0.8157275	0.7581289	0.8265444	0.807288	0.82137835	0.8012289	0.8336297	0.7508327	0.8559081	0.8777083	0.8139403	0.8068013	0.67788625	0.69210804	0.85430384	0.76249695	0.7465011	0.82551247	0.8318871	0.8228868	0.8630856	0.82199633	0.60086757	0.89254904	0.7376392	0.7918966	0.7679762	0.8373712	0.8288139	0.838911	0.73003876	0.8158415	0.92856175	0.7704328	0.812547	0.80114913	0.8530053	0.73580706	0.84180427	0.9043678	0.82013035	0.772231	0.9005242	0.8406419	0.76130104	0.76613647	0.7589067	0.80895674	0.8079848	0.68835926	0.7515906	0.8442825	0.8895713	0.38416886	0.76888156	0.8494948	0.84095716	0.83236635	0.7245619	0.797863	0.7519865	0.7419873	0.7473327	0.6983683	0.8076231	0.8087027	0.7691461	0.92002153	0.8063171	0.77438784	0.7913278	0.85300034	0.7951633	0.75332266	0.8860664	0.70529974	0.7678783	0.8303117	0.889114	0.7520516	0.77928835	0.83769596	0.71697676	0.8424363	0.7247797	0.8737168	0.8862025	0.6610268	0.8621136	0.81281745	0.77755415	0.80673456	0.81215876	0.86604434	0.7642531	0.8268552	0.77162516	0.7840386	0.7738724	0.8952711	0.84081393
la/noun	0.8538832	0.8546335	0.0	0.9258591	0.83038056	0.85555	0.91912305	0.92255706	0.7129276	0.9222949	0.8652372	0.92658144	0.8647709	0.89697266	0.88803077	0.8788082	0.9130943	0.92554724	0.8714159	0.7881527	0.89054805	0.85159194	0.82485914	0.8569231	0.88444346	0.89934826	0.8069898	0.86665034	0.9449628	0.87503654	0.84446764	0.8201338	0.87616897	0.9284278	0.8825473	0.7824806	0.83337486	0.8531623	0.9512978	0.8279221	0.7500782	0.7788362	0.77172697	0.90033823	0.87887645	0.8424746	0.7021189	0.8208884	0.71473634	0.7531354	0.93375075	0.84915584	0.89607084	0.886396	0.7943744	0.81876373	0.9444196	0.9116735	0.8215106	0.82313335	0.92506874	0.86429775	0.85278577	0.8796252	0.9356914	0.71316946	0.7624821	0.9080764	0.89416957	0.85968137	0.8918228	0.915273	0.8630193	0.8166013	0.7558216	0.8363483	0.889197	0.785962	0.88780123	0.82786024	0.88554835	0.93141294	0.86310816	0.87619746	0.8368453	0.85487545	0.86064005	0.8722768	0.9138837	0.83941555	0.7973956	0.8000377	0.84203714	0.91395754	0.8934364	0.86535096	0.9621243	0.9012174	0.8959529	0.74156785	0.7569272	0.9151182	0.87542087	0.9520335	0.9222635	0.89896214	0.9400266	0.88704	0.88249207	0.9327342	0.9009391	0.84686965	0.86321414	0.8835982	0.90505326	0.9119367	0.8893098	0.9417008	0.92276186	0.8473019	0.91733617	0.9180502	0.7561183	0.86107796	0.7207909	0.7504941	0.8642884	0.89361954	0.8568453	0.8475143
uitspanning/noun	0.92613244	0.8962278	0.9258591	0.0	0.91949904	0.94097507	0.96259046	0.9460191	0.8942814	0.9382973	0.83585507	0.9345007	0.9491229	0.93768376	0.8669818	0.9275265	0.91770744	0.9431115	0.85902464	0.9124334	0.91597736	0.88926595	0.92300034	0.9084009	0.8884086	0.8940375	0.8979145	0.85199344	0.93105006	0.8631763	0.8713279	0.93775845	0.88927543	0.9295848	0.87558687	0.932086	0.9103845	0.9067637	0.93820965	0.9358069	0.9275395	0.8914903	0.8617047	0.94567275	0.8666124	0.93004054	0.92665815	0.9409538	0.9143988	0.90773916	0.9241184	0.90900576	0.94179505	0.89006436	0.9425102	0.8765596	0.8936857	0.92071885	0.94311154	0.86308163	0.9330151	0.9546373	0.8764944	0.93534887	0.9525822	0.917482	0.92631465	0.80967665	0.9680688	0.938461	0.9226128	0.9410183	0.9383801	0.91455394	0.84946704	0.89298546	0.8355179	0.91468924	0.9300057	0.91232556	0.9024228	0.93239754	0.89310044	0.9272998	0.9337462	0.9448995	0.8488711	0.95397615	0.9084581	0.9066671	0.885647	0.8852534	0.93134546	0.89930826	0.91629505	0.94211745	0.94857454	0.8935153	0.9097666	0.92262894	0.8867206	0.9135958	0.88544744	0.91829586	0.9372207	0.8452339	0.9400844	0.95493406	0.83729166	0.923582	0.9277658	0.91158944	0.95600873	0.88552195	0.95318997	0.9648919	0.917222	0.97292626	0.8859286	0.9464053	0.9529608	0.9144446	0.9196263	0.9303402	0.9005512	0.9027516	0.82890326	0.9506962	0.9531651	0.8515511
opgebouwd/adj	0.7284702	0.8200962	0.83038056	0.91949904	0.0	0.72218645	0.8038321	0.8888282	0.72312915	0.8771188	0.8007829	0.87373155	0.83543766	0.90244114	0.8184806	0.7821182	0.8519858	0.86080605	0.8345239	0.7778562	0.7330193	0.8359029	0.7378545	0.73488104	0.7859917	0.88200426	0.73399836	0.7870015	0.87975943	0.8154455	0.7652567	0.7876307	0.7798446	0.8389305	0.6707213	0.7725362	0.81858593	0.83478725	0.89987195	0.82449377	0.7009927	0.7087869	0.6429467	0.8532095	0.76406765	0.7659957	0.77328175	0.8196996	0.7506325	0.7436098	0.7988029	0.7967023	0.85977614	0.8507074	0.7064977	0.71705925	0.84649056	0.87338305	0.76495343	0.7052848	0.8969489	0.8703575	0.76254344	0.7420212	0.92411256	0.73109746	0.6894035	0.78563577	0.89677	0.7857659	0.8035326	0.824085	0.7949224	0.7021413	0.6923335	0.75637865	0.8115919	0.7688251	0.87951857	0.7424004	0.76872766	0.8825967	0.83594054	0.76930976	0.8161494	0.7804	0.85968506	0.8543095	0.8104908	0.7763111	0.7150464	0.68167686	0.7724276	0.7980266	0.7887765	0.7516894	0.8771919	0.84158003	0.8631294	0.63104224	0.7174485	0.8307597	0.82475007	0.90102404	0.8945743	0.8366357	0.88911134	0.8752308	0.747573	0.85486245	0.8290281	0.6614661	0.75079983	0.7568042	0.9010573	0.8941744	0.7963	0.87399906	0.79571754	0.71434295	0.88656944	0.8072479	0.8264272	0.8869703	0.7391471	0.6636332	0.825045	0.8255546	0.87547207	0.8556413
benadering/noun	0.6877661	0.8169197	0.85555	0.94097507	0.72218645	0.0	0.6829712	0.9133252	0.76995516	0.8547061	0.8825979	0.84456444	0.79106724	0.91295487	0.87428296	0.6674055	0.88363886	0.80482346	0.9161941	0.7895018	0.60762584	0.7530681	0.6482487	0.7178678	0.70869225	0.87300265	0.710716	0.89676654	0.8854079	0.88455945	0.670398	0.79146206	0.7994155	0.851694	0.70585847	0.80306625	0.7761103	0.85626143	0.9480376	0.75713897	0.7222906	0.68352795	0.6525241	0.85986435	0.90505755	0.7351176	0.75546306	0.8319456	0.7582575	0.8181646	0.79526776	0.74471134	0.87104815	0.8260824	0.71952814	0.6649593	0.86538804	0.7665002	0.627082	0.7098941	0.9527539	0.889226	0.85219383	0.5567235	0.91603106	0.7235178	0.65691316	0.88030124	0.8958763	0.7997463	0.79985285	0.71794397	0.65451586	0.5242032	0.7929576	0.6280503	0.8758988	0.8223498	0.8980877	0.706946	0.7900338	0.9266175	0.83635414	0.72072625	0.85067165	0.8011347	0.92834526	0.893773	0.75567	0.8206476	0.7151425	0.6051797	0.7059556	0.74115866	0.82708234	0.6972879	0.88953066	0.9170178	0.92884463	0.64086	0.71547276	0.866172	0.8493122	0.93980443	0.92149246	0.92930794	0.92482376	0.8245411	0.8740461	0.8552132	0.7719204	0.68783617	0.66983116	0.7036669	0.8934355	0.85729855	0.8277702	0.88822985	0.72200763	0.6254045	0.91300124	0.7536456	0.80738556	0.92024875	0.69583106	0.5361173	0.8969474	0.8197503	0.8580562	0.8560391
eenzijdig/adj	0.81149113	0.85403246	0.91912305	0.96259046	0.8038321	0.6829712	0.0	0.91479504	0.8899957	0.876685	0.90648544	0.9105113	0.8519136	0.90204054	0.9113672	0.85279924	0.90239173	0.8809549	0.92233634	0.8803004	0.7775399	0.87939614	0.8024397	0.69912297	0.8275926	0.9007844	0.83936465	0.93650866	0.930687	0.8924964	0.82099426	0.8152646	0.87392116	0.9211813	0.80397433	0.8961866	0.853403	0.9215892	0.9387585	0.8273733	0.8655836	0.7695501	0.7420031	0.83569396	0.91475594	0.77983665	0.8901174	0.89884824	0.86542773	0.89303064	0.84567404	0.8547337	0.9133798	0.83523154	0.86421525	0.7193444	0.91011006	0.91119754	0.79144424	0.84551364	0.9582235	0.9548677	0.915555	0.76719886	0.90163714	0.85715854	0.83914554	0.8941828	0.8796576	0.8648258	0.8787647	0.8375808	0.8145849	0.7745639	0.9079811	0.7426528	0.8949071	0.9123239	0.89493805	0.84542114	0.85548484	0.9403872	0.9021095	0.80333596	0.94110155	0.9068502	0.8975768	0.9028452	0.8148792	0.87232697	0.834796	0.7456081	0.79744947	0.7674425	0.863719	0.7776678	0.86392456	0.91826934	0.9280169	0.8248568	0.8632502	0.90682065	0.88160986	0.94267213	0.9280138	0.9399921	0.9291343	0.72515297	0.89492345	0.9358462	0.74352944	0.7936479	0.74581385	0.8515011	0.7917896	0.8857297	0.86897266	0.93259144	0.82548237	0.76684546	0.9395421	0.83556724	0.8745707	0.9263691	0.8721497	0.8250241	0.93094546	0.86613214	0.84388065	0.9333532
hoofd/noun	0.9269522	0.7196036	0.92255706	0.9460191	0.8888282	0.9133252	0.91479504	0.0	0.9025291	0.85741645	0.78290075	0.8891458	0.8760238	0.698967	0.8038986	0.9386786	0.847374	0.9323707	0.77493453	0.8480085	0.9298159	0.88518006	0.91269445	0.86123997	0.8799466	0.78395396	0.8631252	0.7276067	0.85200155	0.8334398	0.8731691	0.8991542	0.92713743	0.86101425	0.85081136	0.87810254	0.90294707	0.88541424	0.9133413	0.9098478	0.9054896	0.8360491	0.72550994	0.8858371	0.7008492	0.86255574	0.9156592	0.8737366	0.9067139	0.9483946	0.89668584	0.7367513	0.93793684	0.76941943	0.8798414	0.8611021	0.8789847	0.91749525	0.9311526	0.8577307	0.788606	0.9577503	0.7920647	0.93625796	0.7955712	0.9422789	0.8747256	0.86310494	0.889491	0.91084	0.90914387	0.89509493	0.9167458	0.93686444	0.8603945	0.87559646	0.83650684	0.81368876	0.71492046	0.8456145	0.875293	0.9355389	0.64475155	0.8872993	0.90077627	0.9407262	0.7682979	0.6745857	0.8916503	0.80793196	0.8290069	0.8738694	0.8455432	0.8865425	0.8662206	0.8569604	0.95938724	0.82357264	0.6249864	0.9108008	0.92837995	0.8603592	0.79674906	0.83108854	0.6077729	0.71276605	0.82688785	0.944424	0.8085621	0.8663225	0.8954918	0.8205339	0.9232248	0.8508265	0.86096245	0.95630413	0.74228156	0.9454709	0.9124465	0.8791683	0.8036166	0.9149908	0.93308663	0.8291708	0.9239217	0.91765815	0.79437774	0.9196057	0.9485812	0.8249105
lied_DIM/noun	0.7337674	0.836506	0.7129276	0.8942814	0.72312915	0.76995516	0.8899957	0.9025291	0.0	0.87633616	0.8671473	0.8680984	0.77263594	0.9005147	0.8632788	0.7596142	0.8963991	0.8882252	0.86668533	0.78897226	0.77384514	0.7902134	0.7421152	0.7801137	0.71472776	0.79858077	0.7157493	0.85591745	0.8809918	0.8978908	0.77503264	0.7487637	0.7605105	0.88358885	0.84591013	0.59215933	0.8180876	0.70548433	0.94044924	0.7795757	0.601351	0.6719989	0.6810523	0.90839964	0.88417995	0.81509674	0.54880434	0.8190688	0.33011281	0.6977485	0.9011565	0.7918437	0.7422434	0.76749694	0.60357255	0.739506	0.8917081	0.7921664	0.6857685	0.77446985	0.91971076	0.8087686	0.82023615	0.74799526	0.9105739	0.54831827	0.5217414	0.90325856	0.8917721	0.8352409	0.7983424	0.8338338	0.70808744	0.7309494	0.64178526	0.73188686	0.88493925	0.532339	0.8681503	0.6119969	0.82611847	0.9024942	0.7899621	0.7979892	0.6964331	0.71468294	0.8896165	0.8653182	0.83589274	0.78291845	0.6990975	0.6894293	0.7320565	0.84573704	0.85438776	0.80176353	0.9361685	0.8773646	0.8815701	0.45636564	0.569031	0.8904606	0.7883402	0.9307429	0.8880795	0.9177587	0.9194846	0.8840969	0.8357464	0.86061025	0.8659215	0.7361334	0.822764	0.75092834	0.92309284	0.88056225	0.85773516	0.8990232	0.8340677	0.78536075	0.89079905	0.83908516	0.6885942	0.8316634	0.39236426	0.57251716	0.85679024	0.8281141	0.76021373	0.7716564
verzorger/noun	0.86800045	0.8310503	0.9222949	0.9382973	0.8771188	0.8547061	0.876685	0.85741645	0.87633616	0.0	0.8731713	0.9124102	0.8598091	0.8626698	0.86277634	0.89103496	0.9001602	0.84986055	0.85174656	0.848148	0.8548545	0.87886024	0.8554361	0.80686104	0.83231586	0.756821	0.87561697	0.87208676	0.87037814	0.9091379	0.86780095	0.84872985	0.8979659	0.9058409	0.86594635	0.8967405	0.84969175	0.89251137	0.9120981	0.9020501	0.8880468	0.8151932	0.71490526	0.8384526	0.8443316	0.8344922	0.8931692	0.89331865	0.85298645	0.9130616	0.8952168	0.830446	0.94166726	0.6807112	0.8501341	0.77592754	0.9092986	0.87534785	0.8800515	0.8696689	0.9007149	0.9505495	0.89080036	0.84519815	0.905107	0.9167316	0.8575671	0.9002232	0.88858	0.9058193	0.8817835	0.7684436	0.8701266	0.8760086	0.88075876	0.831955	0.8396406	0.8642816	0.8438054	0.84225714	0.8902527	0.94828093	0.83552086	0.8667511	0.90498686	0.91600895	0.87029785	0.8477161	0.8501119	0.8854537	0.8399631	0.8586805	0.8225046	0.8156917	0.8926389	0.865982	0.90357876	0.87829614	0.86755997	0.8924895	0.86051846	0.8803985	0.82115126	0.8769212	0.8479976	0.8755354	0.93568844	0.8774358	0.88098943	0.9275814	0.8400137	0.8420224	0.8806466	0.8305384	0.8386611	0.93958974	0.79035807	0.93880665	0.8395034	0.8741256	0.8699658	0.8579446	0.9206734	0.89628375	0.8915064	0.88384557	0.84581363	0.8896362	0.8860454	0.8555471
achterkant/noun	0.86647	0.7567044	0.8652372	0.83585507	0.8007829	0.8825979	0.90648544	0.78290075	0.8671473	0.8731713	0.0	0.8420511	0.86564314	0.78120255	0.74265474	0.8830431	0.7368264	0.923962	0.75898653	0.82590806	0.8623327	0.81810915	0.8205309	0.80562085	0.84989643	0.8328552	0.8067499	0.69341195	0.8196888	0.7154382	0.78519624	0.8831001	0.7835455	0.7516452	0.7262409	0.8443287	0.84909886	0.88779736	0.84937745	0.8475382	0.85260725	0.7670204	0.6694685	0.88410366	0.67759395	0.78342706	0.85630035	0.83124375	0.8755415	0.8941234	0.80048126	0.75892186	0.919945	0.7568882	0.84237504	0.79154164	0.7877859	0.89672285	0.87456566	0.7222128	0.8468591	0.93970704	0.73292357	0.8634238	0.8612851	0.8779143	0.811502	0.62330866	0.9214732	0.7902566	0.87872255	0.91168445	0.8922617	0.8368904	0.7300255	0.8303771	0.7243562	0.79980654	0.7969029	0.7915457	0.7983903	0.8767738	0.7300497	0.84070253	0.8878095	0.8897067	0.7768383	0.7668576	0.85273683	0.68279916	0.74211764	0.7982446	0.8319613	0.86051106	0.7866566	0.82554936	0.89550847	0.746629	0.78044254	0.80223304	0.8422845	0.8439282	0.77593976	0.83269763	0.7717136	0.52772343	0.8618242	0.9285182	0.683449	0.82003254	0.8751787	0.73919195	0.885686	0.81606466	0.939323	0.93469226	0.77686906	0.90362686	0.8771483	0.8436136	0.84000427	0.8566873	0.9058026	0.81195515	0.8725829	0.78163725	0.5915581	0.9048462	0.91845137	0.80198973
gelaat_trek/noun	0.8453245	0.7225976	0.92658144	0.9345007	0.87373155	0.84456444	0.9105113	0.8891458	0.8680984	0.9124102	0.8420511	0.0	0.8122524	0.88905317	0.90422314	0.83418685	0.91911966	0.8728761	0.9499741	0.8827381	0.83855754	0.8219831	0.76461446	0.8448892	0.8207102	0.8513005	0.7858198	0.86533463	0.8465078	0.894845	0.804801	0.87592685	0.7965336	0.84608436	0.8721722	0.87831855	0.78103805	0.8896591	0.91598064	0.8151492	0.86170346	0.77520514	0.81264704	0.9512637	0.8949756	0.8434939	0.89082104	0.85806984	0.8590626	0.91469896	0.8418056	0.8093767	0.90381	0.8551035	0.8281215	0.8079627	0.8766964	0.8790313	0.8739783	0.8024858	0.8916132	0.93382037	0.83784074	0.8572976	0.9106806	0.85916877	0.78255105	0.91547996	0.94783384	0.8652625	0.86210847	0.9255347	0.83828866	0.79519147	0.82922256	0.81511086	0.90341485	0.8675819	0.83792233	0.8238727	0.8785282	0.8975036	0.70351845	0.86440647	0.8776871	0.84682596	0.9211079	0.8507712	0.84768	0.83016384	0.8599688	0.8200227	0.8026473	0.85542274	0.888403	0.84772784	0.92365205	0.93378687	0.9033046	0.8191745	0.8687201	0.8583099	0.8824179	0.9284194	0.86661154	0.88322824	0.876048	0.9187049	0.83914155	0.82127905	0.9085366	0.7364234	0.88058245	0.8048104	0.9274669	0.92031807	0.8079877	0.89913493	0.86019015	0.83982044	0.861956	0.89142483	0.89108044	0.8011578	0.8402145	0.7855556	0.884637	0.8109318	0.91612554	0.8957358
lichaam_taal/noun	0.77550894	0.73345584	0.8647709	0.9491229	0.83543766	0.79106724	0.8519136	0.8760238	0.77263594	0.8598091	0.86564314	0.8122524	0.0	0.8836977	0.87810814	0.78893006	0.8969337	0.82624346	0.90554637	0.86262345	0.7728007	0.8163943	0.7051617	0.75799215	0.7801006	0.85180783	0.7892349	0.8806228	0.85934955	0.9073629	0.8186582	0.81717145	0.81908184	0.88280475	0.86807054	0.8435005	0.8437335	0.82171106	0.9122937	0.8336611	0.7577553	0.7458255	0.7540759	0.9170234	0.90744823	0.81995124	0.82172745	0.821251	0.7775638	0.850685	0.87468153	0.7408689	0.89538276	0.75855744	0.74187744	0.79294807	0.8567516	0.8191261	0.81252503	0.81706053	0.9283833	0.889915	0.8463838	0.77812374	0.8887748	0.7878072	0.7096565	0.9277228	0.9035122	0.8318316	0.8282951	0.8562705	0.7298572	0.74295104	0.80350566	0.7566742	0.9219152	0.8311014	0.8340623	0.72651577	0.86383635	0.91951704	0.7522459	0.78945315	0.8397938	0.82464767	0.8935603	0.83346784	0.8227478	0.80832016	0.7715228	0.76204276	0.6767199	0.8154151	0.8589503	0.7527865	0.92496663	0.87566435	0.8981117	0.75872743	0.8256286	0.8902167	0.8129742	0.92206615	0.8610011	0.90907824	0.92045325	0.89011526	0.8538636	0.8420342	0.84642583	0.77228194	0.8179339	0.76727325	0.90819955	0.8673271	0.78638494	0.8971708	0.7973714	0.7939226	0.8792021	0.8318139	0.837687	0.82818276	0.7438185	0.72629464	0.88276744	0.73284364	0.84446025	0.8428819
elleboog/noun	0.9016849	0.72701484	0.89697266	0.93768376	0.90244114	0.91295487	0.90204054	0.698967	0.9005147	0.8626698	0.78120255	0.88905317	0.8836977	0.0	0.86015594	0.919319	0.76754606	0.8509902	0.8300228	0.88276994	0.8780404	0.89680046	0.89225286	0.8449398	0.8485255	0.8163615	0.90476173	0.7790676	0.8393798	0.86314666	0.89554477	0.89826167	0.9111516	0.8233631	0.86380357	0.8803335	0.8642131	0.8998769	0.88684565	0.89688694	0.89687335	0.82457507	0.77007747	0.86355764	0.7713919	0.8994549	0.9097771	0.8748049	0.9206286	0.92371476	0.897382	0.8083596	0.9317566	0.77255774	0.842406	0.8643492	0.8579042	0.88737	0.93200856	0.88594985	0.83076113	0.9563297	0.83819747	0.8978511	0.7953605	0.9431272	0.8809063	0.8885712	0.85989594	0.93341184	0.8546204	0.91952133	0.9255017	0.91006196	0.89694095	0.84370303	0.87594175	0.8142161	0.63168144	0.8723786	0.8858016	0.946217	0.72800016	0.8616986	0.9083957	0.91328895	0.83482766	0.5071586	0.84375006	0.8677464	0.84073716	0.8495512	0.82541275	0.8407745	0.8387896	0.8480065	0.9351643	0.8024993	0.7824262	0.9088782	0.9175633	0.8492988	0.786735	0.854601	0.5228609	0.78216743	0.85210705	0.90839505	0.80711913	0.83167404	0.8711754	0.8454384	0.9098359	0.81714505	0.92253244	0.9205806	0.7489189	0.95995307	0.8520273	0.9082083	0.8120136	0.8730984	0.91633695	0.84688646	0.9217329	0.9026778	0.8375825	0.8750785	0.9494138	0.8314932
kast_DIM/noun	0.8755324	0.8375881	0.88803077	0.8669818	0.8184806	0.87428296	0.9113672	0.8038986	0.8632788	0.86277634	0.74265474	0.90422314	0.87810814	0.86015594	0.0	0.88819826	0.87066025	0.92230415	0.702801	0.8265173	0.8773817	0.82583493	0.86185664	0.80120325	0.87904954	0.8723719	0.855304	0.6944599	0.8779985	0.8077952	0.7805385	0.9011098	0.8346113	0.7907865	0.7650715	0.8471417	0.8834432	0.87088186	0.854993	0.8810199	0.8795059	0.8299023	0.7097682	0.8986939	0.7519792	0.8626943	0.88052803	0.8274119	0.8980043	0.919789	0.8822548	0.7761797	0.92408013	0.78017527	0.85755223	0.79395443	0.79642373	0.8762401	0.8850014	0.8138839	0.8237161	0.93539923	0.6916319	0.86258185	0.91531634	0.86650014	0.8400068	0.7519994	0.93033546	0.8328538	0.8785732	0.9016938	0.90560174	0.8751832	0.81177473	0.85521686	0.7935334	0.8115541	0.8332699	0.7669077	0.80165064	0.8947569	0.8079899	0.8782827	0.8996237	0.90903413	0.7251823	0.8469677	0.87340647	0.77954525	0.83808273	0.8318544	0.8598928	0.8631071	0.8371749	0.864303	0.8910293	0.8461356	0.8276303	0.81922907	0.8545393	0.84982896	0.81628734	0.86041313	0.8482215	0.64877105	0.87305903	0.91489995	0.7938706	0.869928	0.88990086	0.75151604	0.88708586	0.8402705	0.93855125	0.93998736	0.80291647	0.8565842	0.8641525	0.82788205	0.86123323	0.8655978	0.8839764	0.88005865	0.848487	0.84977025	0.65167546	0.9005116	0.9247445	0.8154304
speelstijl/noun	0.71616673	0.8530688	0.8788082	0.9275265	0.7821182	0.6674055	0.85279924	0.9386786	0.7596142	0.89103496	0.8830431	0.83418685	0.78893006	0.919319	0.88819826	0.0	0.8874102	0.8050739	0.9003241	0.82514787	0.71082616	0.77963436	0.70166385	0.7703086	0.72872615	0.8535957	0.7839621	0.89814913	0.8806427	0.892291	0.771905	0.81540453	0.8049377	0.8541553	0.79733914	0.8032847	0.8208113	0.8095432	0.95108604	0.83611786	0.74451184	0.70830727	0.75333214	0.8569795	0.90970683	0.85137665	0.771467	0.8490629	0.79841346	0.8142911	0.8237241	0.8278351	0.8502544	0.8254399	0.7002646	0.8020364	0.8601974	0.79690796	0.79426914	0.80304664	0.9433319	0.89214325	0.8706186	0.7022965	0.9406811	0.76014304	0.6989378	0.9085119	0.8986117	0.8566067	0.78951967	0.8456549	0.761021	0.66461396	0.8087217	0.72713953	0.9190905	0.79158026	0.8996091	0.7409067	0.85463136	0.9251396	0.8347721	0.7594755	0.8071192	0.77709556	0.9312105	0.8823477	0.7823065	0.8723626	0.7401891	0.72242117	0.8050016	0.8069539	0.83580625	0.8063571	0.9088981	0.9027381	0.920648	0.7133715	0.7404554	0.8792348	0.8432156	0.9369819	0.92464423	0.9403196	0.9115754	0.897659	0.8853123	0.86544293	0.8243153	0.76659155	0.78311956	0.72718775	0.92723715	0.87191826	0.8622125	0.9087374	0.7404659	0.76354057	0.9125128	0.7843931	0.8098941	0.885757	0.7223278	0.5786667	0.9053008	0.79306066	0.90148	0.86462414
