	middaguur/noun	boter/noun	vet/noun	kastanje/noun	hoe/adj	nog/adv	pasta/noun	min/adj	verschrikkelijk/adj	stoom/adj	behoorlijk/adj	drift/noun	dossier/noun	adem/noun	traan/noun	passage/noun	voorwerp/noun	brij/noun	verlangen/noun	album/noun	wind/noun	smelt/adj	lucht/noun	water/noun	drukkend/adj	die/det	nieuw_feit/noun	grill/noun	koffie/noun	middag/noun	zo/adv	glas/noun	as/noun	slotminuut/noun	zomer_dag/noun	kwestie/noun	vakantie/noun	genoeg/adv	erg/adj	gas/noun	zon/noun	klimaat/noun	mineraalwater/noun	chocolademelk/noun	grond/noun	kus/noun	stoom/noun	hang_ijzer/noun	ze/pron	kool/noun	gloeiend/adj	niet/adv	spotje/noun	latin/noun	verslag/noun	bad/noun	vlam/adj	thee/noun	hap/noun	het/det	zo/adj	gesteente/noun	atmosfeer/noun	mix/noun	ontzettend/adj	strijkijzer/noun	olijfolie/noun	trend/noun	stand_DIM/noun	zomer/noun	peper/noun	omstandigheid/noun	bord/noun	te/adv	soep/noun	kachel/noun	plaat/noun	herfst/noun	brandend/adj	auto/noun	vlek/noun	pan/noun	motor/noun	weer/noun	kop/noun	melk/noun	fusie_ploeg/noun	olie/noun	abnormaal/adj	dag/noun	bron/noun	koekepan/noun	woensdag_middag/noun	vuur/noun	kom/noun	matig/adj	marathon/noun	strand/noun	sector/noun	mes/noun	zomermaand/noun	wat/adv	rem/noun	beetje/noun	patat/noun	oven/noun	buis/noun	warm/adj	brok/noun	onderwerp/noun	aardappel/noun
middaguur/noun	0.0	0.89993626	0.87998635	0.90593684	0.9187171	0.8612182	0.8857514	0.8799536	0.8820351	0.92065674	0.84871805	0.9224083	0.9146216	0.8895343	0.88349324	0.8993336	0.8705394	0.8937806	0.9060059	0.9179164	0.83036613	0.9050999	0.82175267	0.8160336	0.83446467	0.8628143	0.92968583	0.911742	0.850386	0.5601209	0.8912661	0.84127235	0.8616961	0.92149794	0.8707712	0.9350732	0.89074755	0.91733044	0.9086225	0.83663493	0.7940693	0.89118546	0.91187835	0.88612545	0.8548281	0.90403104	0.8483171	0.93325233	0.8303191	0.8518232	0.8478296	0.9165132	0.9072499	0.9546299	0.90990406	0.83778	0.8853242	0.8535532	0.8434815	0.83641374	0.8986596	0.91170585	0.83639055	0.93345714	0.9094514	0.9183891	0.90399003	0.86461407	0.89287144	0.8039719	0.92123395	0.90617764	0.85875195	0.8622276	0.8552288	0.8407258	0.91846216	0.829152	0.8046412	0.8071071	0.8875414	0.8459179	0.84451777	0.83107865	0.86929226	0.8791245	0.8973605	0.82585305	0.8615663	0.7213031	0.9248858	0.8921711	0.7330055	0.8271177	0.86076283	0.87379634	0.9065262	0.8142586	0.8940209	0.8875401	0.8084415	0.85187095	0.8385664	0.88770235	0.8718087	0.83743644	0.84000427	0.85098255	0.883885	0.93678147	0.89545125
boter/noun	0.89993626	0.0	0.4658863	0.65242696	0.92730814	0.89687085	0.38948715	0.8827174	0.92553717	0.8616251	0.85142446	0.9143451	0.92980415	0.881604	0.8572056	0.9135924	0.8741282	0.6995114	0.9238342	0.9219769	0.84175766	0.76558626	0.7664034	0.5669515	0.90356416	0.88105816	0.94719654	0.60222995	0.5344543	0.83171856	0.88113487	0.60421515	0.8190637	0.9432408	0.87852263	0.93043125	0.9414905	0.8987801	0.90405244	0.7983271	0.81967187	0.90393794	0.7479383	0.66721535	0.82639927	0.8436166	0.7696007	0.9378737	0.8224069	0.4780311	0.7179823	0.9356527	0.9021278	0.89593506	0.96112055	0.7729332	0.9147104	0.5143527	0.6787522	0.89999366	0.9091433	0.8380199	0.8640792	0.82808435	0.89565945	0.881194	0.2662294	0.9414235	0.88101816	0.90898865	0.27226	0.9438323	0.6196555	0.8471394	0.3822738	0.83495873	0.8517425	0.87703586	0.82258624	0.91643703	0.774055	0.3805105	0.87380207	0.8773033	0.7635358	0.37307858	0.9276545	0.5147718	0.8915479	0.8599192	0.938463	0.4545433	0.9199584	0.71522754	0.4567542	0.8080734	0.9597346	0.8499256	0.91978365	0.78831685	0.8908403	0.81605244	0.8985668	0.8026489	0.60489786	0.5030304	0.810664	0.6364869	0.7535591	0.9416279	0.35311806
vet/noun	0.87998635	0.4658863	0.0	0.73780286	0.8583268	0.8802824	0.5367575	0.8159901	0.8798459	0.8748381	0.81337345	0.86713773	0.87163836	0.8429542	0.8331811	0.85265154	0.7761413	0.7258376	0.8650873	0.88655585	0.8423042	0.79380506	0.72658	0.55198747	0.8815724	0.7912608	0.93216693	0.7126153	0.63533723	0.8634524	0.8251026	0.65614593	0.7859695	0.92652845	0.8767391	0.88298887	0.925344	0.8607349	0.86956394	0.65755576	0.7858719	0.85762024	0.7561989	0.7586907	0.77544194	0.8212216	0.7480947	0.90821016	0.78064847	0.5381603	0.7164686	0.87708527	0.8629343	0.91128194	0.9328308	0.7493961	0.9115078	0.6233078	0.6931076	0.8530095	0.8750538	0.76510644	0.7481385	0.8191498	0.84534246	0.8706189	0.4962362	0.8888857	0.8548994	0.9037841	0.52216387	0.8768011	0.70980185	0.80395085	0.56065714	0.7732354	0.81880516	0.863641	0.77078795	0.86487985	0.7253149	0.55427235	0.8056808	0.85494256	0.75192684	0.42605525	0.9264378	0.4782464	0.79194224	0.8677507	0.85093516	0.648814	0.9009478	0.7406634	0.6005685	0.8185606	0.9205594	0.83976346	0.8698488	0.7629192	0.8645488	0.80767643	0.8425339	0.79704404	0.6523404	0.58687025	0.7524164	0.6836939	0.71966374	0.90085363	0.48652637
kastanje/noun	0.90593684	0.65242696	0.73780286	0.0	0.915749	0.8912462	0.6906468	0.9087737	0.90712607	0.8924921	0.8913749	0.8917392	0.9286888	0.8651567	0.87938946	0.89458084	0.87388307	0.7764797	0.89954525	0.91123915	0.8612986	0.8349595	0.81022	0.72678053	0.8960085	0.8635765	0.922445	0.7755828	0.75450695	0.86826515	0.8880657	0.74037707	0.8411577	0.9545623	0.85975134	0.9435052	0.9244978	0.9093455	0.91000015	0.86171967	0.8144472	0.9066476	0.86023057	0.81555146	0.8284595	0.841092	0.87455606	0.9076276	0.8353023	0.66169214	0.823385	0.93155485	0.9028785	0.8999324	0.9551532	0.8309071	0.8858104	0.71568084	0.78629595	0.87349355	0.90628153	0.86412096	0.86984324	0.8777785	0.8962494	0.88659847	0.66884345	0.9485833	0.8694745	0.88209516	0.66581583	0.9512269	0.7693792	0.88986456	0.7044144	0.86299634	0.8840417	0.8118652	0.8258986	0.9016034	0.8149677	0.69570386	0.91372424	0.8803296	0.8338027	0.71189034	0.9159417	0.75528467	0.9213014	0.89261204	0.9338608	0.7525235	0.8986709	0.83958805	0.70653754	0.86296153	0.94938415	0.8069805	0.9453999	0.86783314	0.8972603	0.8536186	0.93475455	0.8751222	0.7485422	0.75574815	0.8524606	0.7826259	0.83639944	0.91993976	0.6346879
hoe/adj	0.9187171	0.92730814	0.8583268	0.915749	0.0	0.74672276	0.86607206	0.6906632	0.6833767	0.91843796	0.74017066	0.79609054	0.83364207	0.828974	0.8206094	0.753273	0.8055364	0.84177107	0.7286372	0.88224053	0.90538657	0.89917856	0.89340144	0.8855202	0.8947736	0.7054911	0.89556384	0.9125402	0.9156036	0.89041823	0.46042025	0.90061593	0.9103382	0.92109823	0.8410026	0.78571945	0.8800333	0.6149422	0.6119269	0.90360415	0.8764822	0.8010544	0.92407364	0.9237577	0.9099407	0.84831965	0.8862132	0.8810658	0.62219584	0.8956689	0.88350624	0.7173704	0.82659507	0.9293835	0.8431744	0.8671719	0.89828855	0.89678156	0.86182773	0.839973	0.5978287	0.85059696	0.809189	0.8092096	0.6479452	0.9084504	0.9196339	0.8224682	0.8860687	0.90543747	0.9231008	0.73856556	0.90748674	0.6997559	0.8759359	0.8971601	0.8480496	0.8872222	0.8632227	0.933954	0.8073441	0.9182255	0.8986146	0.8596999	0.8978827	0.8911533	0.90488577	0.91385216	0.8023319	0.88797945	0.81919193	0.94019747	0.90272045	0.9108087	0.89549595	0.8671521	0.939122	0.89371264	0.88076687	0.9205061	0.884315	0.6931691	0.87059397	0.7209003	0.88110214	0.9107041	0.8631028	0.87412566	0.82128	0.7507739	0.8855728
nog/adv	0.8612182	0.89687085	0.8802824	0.8912462	0.74672276	0.0	0.881781	0.82442224	0.83566755	0.92297816	0.77979785	0.8992472	0.8056568	0.825579	0.8988732	0.8678397	0.8781203	0.90866774	0.85273874	0.8814906	0.88760096	0.9108646	0.90176046	0.8823649	0.89723593	0.77415335	0.90781194	0.91391814	0.8631036	0.829112	0.7625136	0.89874	0.8886734	0.84526676	0.89729846	0.8493687	0.83595	0.7659939	0.8180906	0.90059614	0.8687451	0.87916183	0.92473996	0.8907438	0.8944605	0.87832725	0.8776939	0.8966643	0.7290368	0.8831365	0.89431256	0.68497896	0.9050447	0.924097	0.90833116	0.8834506	0.9282827	0.8841017	0.8658424	0.85036457	0.8564126	0.8999577	0.88683563	0.90325963	0.7788621	0.9344861	0.8994677	0.8594743	0.8999883	0.8150206	0.8943145	0.83374536	0.882596	0.7836112	0.8824974	0.8651136	0.87821215	0.82247466	0.88180625	0.9152884	0.8723779	0.9113619	0.8714707	0.8133142	0.8797325	0.89016646	0.7590334	0.9046627	0.8444282	0.7745267	0.88968503	0.9173182	0.8606821	0.8973403	0.89382404	0.85708	0.8534591	0.8914546	0.89439654	0.9227437	0.8452032	0.7373196	0.8824085	0.7932782	0.89437926	0.86504114	0.87963	0.8928069	0.86924076	0.88049835	0.8937934
pasta/noun	0.8857514	0.38948715	0.5367575	0.6906468	0.86607206	0.881781	0.0	0.8460498	0.87647265	0.80109763	0.81099653	0.88774973	0.91276234	0.8840294	0.86238456	0.86717236	0.8289856	0.6948224	0.89012897	0.8781082	0.8421079	0.80121684	0.76171446	0.6140733	0.89261746	0.83175766	0.94029266	0.60789824	0.4877361	0.7955604	0.8188783	0.570452	0.8245261	0.9420981	0.8296864	0.91031253	0.8946093	0.8608541	0.8341036	0.80631644	0.7870643	0.8546417	0.7008201	0.6155375	0.84360266	0.82495856	0.79192185	0.9297213	0.7764524	0.5032318	0.7425293	0.8973898	0.8672767	0.85555595	0.9301041	0.7460481	0.88449514	0.46469778	0.61238384	0.8663586	0.859396	0.8154485	0.8181093	0.76708746	0.8331529	0.85707694	0.34885818	0.8932995	0.7991007	0.8602106	0.39779335	0.89979005	0.60543585	0.8048425	0.34392172	0.80001247	0.80975574	0.8409419	0.82168776	0.9013632	0.789183	0.47490734	0.85663563	0.8269744	0.7787849	0.44021642	0.9220702	0.5939142	0.8797505	0.8242266	0.91812515	0.62403524	0.8984351	0.7618307	0.53305626	0.79725724	0.93316185	0.8147478	0.9042981	0.8194807	0.8526697	0.76913387	0.90041184	0.77707535	0.5509277	0.5659754	0.78284305	0.56981814	0.7474184	0.8779712	0.38133925
min/adj	0.8799536	0.8827174	0.8159901	0.9087737	0.6906632	0.82442224	0.8460498	0.0	0.7752396	0.9062921	0.5886487	0.8613738	0.8834237	0.8625953	0.87677956	0.75359124	0.8521438	0.8652019	0.81489927	0.84763885	0.8502926	0.90936536	0.87385356	0.86055416	0.8405986	0.7789109	0.86302626	0.89223063	0.8499848	0.8589914	0.5336569	0.8731218	0.8812978	0.89206135	0.8755518	0.8238853	0.847764	0.5825797	0.46059746	0.8213081	0.846132	0.7053015	0.89000064	0.9184546	0.8813875	0.8641298	0.8435578	0.9119291	0.7844341	0.81697285	0.8887421	0.6792536	0.8244689	0.8799109	0.85972404	0.86363375	0.9080026	0.84648556	0.81752956	0.8485955	0.6036087	0.8617989	0.7718111	0.7512016	0.650226	0.9208063	0.87359095	0.77895194	0.8739607	0.8900966	0.90192735	0.76041317	0.9074959	0.550562	0.8674918	0.87331426	0.8177572	0.86306	0.8853112	0.8950734	0.8572408	0.8936147	0.8069615	0.7970252	0.8861909	0.8339857	0.88142407	0.8164458	0.7755091	0.86737955	0.84707975	0.90705746	0.9057306	0.91128576	0.87969387	0.68286216	0.91730255	0.88290113	0.7233988	0.9246577	0.82285845	0.59246475	0.8155275	0.7306724	0.8770314	0.87754816	0.860905	0.807595	0.82063764	0.7545244	0.837821
verschrikkelijk/adj	0.8820351	0.92553717	0.8798459	0.90712607	0.6833767	0.83566755	0.87647265	0.7752396	0.0	0.89025223	0.6494199	0.8014717	0.92814654	0.80452466	0.75116676	0.8060543	0.8724999	0.8427758	0.7390884	0.90482724	0.80768853	0.85724926	0.84403676	0.86408275	0.8399409	0.7154051	0.9192115	0.93258536	0.87776244	0.8404545	0.6398662	0.8802979	0.86722326	0.9028582	0.8485726	0.864946	0.8510245	0.76367664	0.5846106	0.883239	0.8483262	0.81322515	0.9282309	0.90652287	0.894569	0.82877845	0.8610742	0.928161	0.6339022	0.8826175	0.8340974	0.7722259	0.8610616	0.9034028	0.86342037	0.8475435	0.83533037	0.8751243	0.86764336	0.8191908	0.6396316	0.89991844	0.82863235	0.82468295	0.49734044	0.908159	0.9218153	0.89789844	0.873133	0.86177254	0.93444	0.7941226	0.91151583	0.7037394	0.86897576	0.8559824	0.8710061	0.84413445	0.8190788	0.8994426	0.83921504	0.8854088	0.8737573	0.7988767	0.8496359	0.89192337	0.89230776	0.89870524	0.77888197	0.8131201	0.86709845	0.93886274	0.86657554	0.8877257	0.8730801	0.8480902	0.89802915	0.8282537	0.91405356	0.8780122	0.8562453	0.7051685	0.8588022	0.59931	0.83434224	0.90212095	0.8599466	0.8358436	0.7992928	0.8608835	0.89053357
stoom/adj	0.92065674	0.8616251	0.8748381	0.8924921	0.91843796	0.92297816	0.80109763	0.9062921	0.89025223	0.0	0.83616614	0.8881607	0.9331097	0.8526281	0.89323807	0.8492616	0.895484	0.8482621	0.8850789	0.82048947	0.85720396	0.88313794	0.86505634	0.8507517	0.9006476	0.86547035	0.9340819	0.8582566	0.8121308	0.87118787	0.89266104	0.82795846	0.8421401	0.9228931	0.8706472	0.9292947	0.89728785	0.899904	0.8971858	0.9011986	0.83335036	0.9150553	0.90372646	0.81173754	0.92170185	0.85555035	0.7940781	0.9283088	0.8580797	0.8440952	0.8170016	0.93924606	0.88715166	0.73549485	0.903484	0.8419534	0.8735807	0.78603137	0.84334964	0.8866049	0.8930907	0.899586	0.87315696	0.7355868	0.90170515	0.9026079	0.8423612	0.9289154	0.8346255	0.8477715	0.8581387	0.93367815	0.85040176	0.91481227	0.7810683	0.84913254	0.77460325	0.89783895	0.8385343	0.9185108	0.9003081	0.8279713	0.8733811	0.85414135	0.8847727	0.8710766	0.92115396	0.89566934	0.9358264	0.8854214	0.9372433	0.89841735	0.8767208	0.848479	0.8502793	0.8877801	0.90576124	0.84486663	0.9563839	0.9267297	0.841889	0.8585355	0.9054488	0.86788785	0.8287962	0.8617062	0.8586519	0.76052827	0.821986	0.873585	0.8271427
behoorlijk/adj	0.84871805	0.85142446	0.81337345	0.8913749	0.74017066	0.77979785	0.81099653	0.5886487	0.6494199	0.83616614	0.0	0.8374441	0.8713672	0.80957204	0.835153	0.7886086	0.86422276	0.84761626	0.8108448	0.8301114	0.7803844	0.86832064	0.81838083	0.8249961	0.83752966	0.7244262	0.9141252	0.9057871	0.8277229	0.82225096	0.6430048	0.82858247	0.85294026	0.8682319	0.8807322	0.8223839	0.8712994	0.667271	0.52636313	0.8288433	0.81445694	0.75900245	0.9026501	0.88178635	0.86335564	0.8508502	0.83961016	0.91775864	0.7309339	0.8325282	0.85313356	0.76761574	0.8589685	0.88147175	0.8805234	0.81610733	0.86672944	0.82372445	0.7828363	0.7991816	0.59171927	0.8826088	0.76370573	0.75836736	0.573603	0.9129435	0.85884094	0.82940936	0.8559269	0.8411548	0.86036426	0.7770902	0.85410434	0.57970285	0.8138241	0.86869174	0.81406546	0.82697594	0.8519886	0.86202097	0.82776403	0.83954906	0.765726	0.74852955	0.8163222	0.83884287	0.7972337	0.84047717	0.7638254	0.83506435	0.89152277	0.9026953	0.8732256	0.893114	0.831141	0.6508628	0.8586277	0.85780805	0.77266467	0.8880873	0.79265535	0.4959824	0.7823297	0.5519509	0.8496585	0.8661536	0.80679	0.7883533	0.7756571	0.8306364	0.82454944
drift/noun	0.9224083	0.9143451	0.86713773	0.8917392	0.79609054	0.8992472	0.88774973	0.8613738	0.8014717	0.8881607	0.8374441	0.0	0.91889846	0.83220255	0.80583084	0.8036015	0.84352803	0.8849263	0.62386584	0.8819465	0.84907085	0.87172127	0.84953475	0.8368396	0.8630478	0.76417536	0.9035374	0.9633542	0.9264876	0.9117994	0.8340074	0.88665664	0.8704958	0.9281165	0.90899014	0.86045414	0.9024282	0.8863933	0.8655901	0.8881159	0.86804295	0.8005233	0.9195252	0.93963844	0.8874148	0.8423273	0.85625994	0.91857475	0.81907225	0.8775979	0.84899527	0.8682811	0.8800912	0.9011446	0.88960624	0.8627533	0.8761709	0.8920455	0.877183	0.83710843	0.8483492	0.8492503	0.7776424	0.80363464	0.83608544	0.926122	0.9034379	0.8578628	0.86792886	0.89611435	0.92795295	0.86791456	0.90982777	0.87414134	0.8902266	0.8890271	0.8803134	0.8590592	0.81315935	0.90301454	0.8344439	0.9110546	0.8686892	0.8695978	0.8744851	0.88997763	0.9182697	0.87341595	0.8636424	0.90494907	0.8422104	0.9373521	0.9016477	0.87259984	0.8864726	0.8649266	0.9111308	0.8538631	0.90284735	0.8887638	0.883621	0.8546324	0.85418534	0.8485378	0.90737325	0.91480625	0.850486	0.8719626	0.7998165	0.83937776	0.8848317
dossier/noun	0.9146216	0.92980415	0.87163836	0.9286888	0.83364207	0.8056568	0.91276234	0.8834237	0.92814654	0.9331097	0.8713672	0.91889846	0.0	0.9086822	0.9333736	0.78545487	0.81437653	0.9018297	0.89835024	0.8704945	0.95201784	0.9544297	0.927444	0.9171285	0.9424157	0.77918136	0.85689676	0.9178001	0.940424	0.91019994	0.85285753	0.93399096	0.9068964	0.946412	0.94202983	0.6520653	0.91835207	0.87934566	0.8921267	0.8993085	0.9441723	0.8674056	0.92008895	0.94120383	0.8506426	0.89755905	0.9300782	0.7951089	0.8293823	0.9094479	0.93749225	0.85112506	0.8953512	0.9617772	0.7202402	0.89629537	0.9270824	0.93529207	0.9097734	0.8399	0.89787716	0.90920806	0.8713043	0.89364123	0.9124839	0.9237229	0.9402702	0.8847761	0.8970169	0.8753377	0.9387669	0.8292401	0.892375	0.8656459	0.9158635	0.920394	0.8775676	0.87127024	0.90743595	0.92269856	0.8975007	0.9061347	0.92033786	0.928752	0.9505264	0.9114479	0.91333765	0.9187507	0.8713977	0.87791574	0.7883158	0.94978654	0.8656766	0.9203934	0.9081365	0.9332628	0.93731177	0.94117385	0.83228207	0.9270957	0.8926648	0.89085054	0.87035877	0.9282582	0.94482183	0.8696624	0.8749466	0.9533125	0.88551986	0.7174492	0.9114562
adem/noun	0.8895343	0.881604	0.8429542	0.8651567	0.828974	0.825579	0.8840294	0.8625953	0.80452466	0.8526281	0.80957204	0.83220255	0.9086822	0.0	0.7678566	0.81721836	0.8618393	0.83736193	0.80095315	0.8745679	0.8005125	0.85636497	0.75394654	0.8092611	0.84926	0.8373957	0.9199631	0.8759921	0.8561322	0.8475696	0.81371343	0.84061086	0.84084153	0.9072641	0.85314524	0.88384664	0.8717892	0.8480438	0.8438604	0.81827295	0.81377053	0.844992	0.91845876	0.88727397	0.87369764	0.8078625	0.7884011	0.8835505	0.7575285	0.85360515	0.8069831	0.8749673	0.8820518	0.88504976	0.8905514	0.81232077	0.87979263	0.8286491	0.8260472	0.86433357	0.8289882	0.91006285	0.80700773	0.8322207	0.79751563	0.9167734	0.88427705	0.8965546	0.8580817	0.8351616	0.90055597	0.8967071	0.86941075	0.81676906	0.84149796	0.85019684	0.83769757	0.82874084	0.77404326	0.90898156	0.81014276	0.8514943	0.85380113	0.8306357	0.8278918	0.8785087	0.90778077	0.8814703	0.8476422	0.84845585	0.87841374	0.9044789	0.88554716	0.84413445	0.8597789	0.85973436	0.9032283	0.85623544	0.90302336	0.8420063	0.8364638	0.78051794	0.86217475	0.7850661	0.8548036	0.8574268	0.828213	0.79329836	0.81671596	0.86535645	0.8520916
traan/noun	0.88349324	0.8572056	0.8331811	0.87938946	0.8206094	0.8988732	0.86238456	0.87677956	0.75116676	0.89323807	0.835153	0.80583084	0.9333736	0.7678566	0.0	0.80727154	0.85351044	0.84263384	0.7349432	0.8727894	0.84775317	0.87111825	0.79524195	0.77371514	0.8659171	0.8281159	0.92893016	0.91895646	0.82266283	0.84527963	0.825518	0.7674946	0.85724247	0.90910786	0.8784101	0.9130475	0.91173476	0.88337284	0.8604233	0.8805033	0.7939358	0.89723706	0.9173603	0.89106715	0.87123585	0.70032036	0.8477762	0.91990536	0.7137992	0.86478907	0.8004979	0.8775237	0.86568546	0.923994	0.87642866	0.77985114	0.83138275	0.799282	0.8538412	0.8638199	0.84676987	0.8944174	0.8426416	0.86903423	0.77502847	0.9301075	0.8503168	0.9156064	0.8682494	0.88609594	0.86129594	0.91134083	0.8474213	0.85273594	0.83267415	0.8514253	0.82416594	0.8554179	0.78887856	0.9092297	0.78678703	0.8461921	0.9100977	0.8730064	0.8155065	0.8379459	0.9233005	0.8566492	0.8841524	0.85733205	0.8939629	0.8901421	0.8667826	0.85694826	0.8119148	0.8810022	0.8894507	0.8659028	0.948287	0.84548	0.88845176	0.811684	0.8923899	0.7769939	0.8677176	0.87299395	0.7788532	0.78756344	0.7688433	0.88332576	0.8557565
passage/noun	0.8993336	0.9135924	0.85265154	0.89458084	0.753273	0.8678397	0.86717236	0.75359124	0.8060543	0.8492616	0.7886086	0.8036015	0.78545487	0.81721836	0.80727154	0.0	0.75067043	0.8430167	0.70320934	0.70978296	0.8672004	0.862374	0.8536306	0.8887562	0.88685	0.7456461	0.8239032	0.9339624	0.9293156	0.8681945	0.7122759	0.8650039	0.87271845	0.9239703	0.8545117	0.7968245	0.9047285	0.76046175	0.7301353	0.88616747	0.83944446	0.8077878	0.93388736	0.94551355	0.89319575	0.788591	0.87237406	0.87926245	0.8012922	0.88633466	0.8656424	0.8429761	0.8057122	0.8677978	0.68044645	0.86859655	0.798102	0.8864082	0.8761516	0.797835	0.762812	0.8559561	0.7620729	0.73024356	0.77573645	0.9352491	0.88885087	0.8356385	0.83312595	0.8710004	0.9071472	0.81675786	0.8704366	0.7818074	0.8802615	0.87200373	0.69834167	0.8302841	0.8541257	0.9131331	0.8053008	0.90155977	0.894849	0.84515214	0.8726354	0.9002832	0.93509144	0.9079453	0.8556888	0.8782537	0.77110636	0.9328653	0.89377904	0.89728874	0.87053704	0.83795106	0.89631265	0.8622578	0.87563336	0.9056594	0.8552809	0.75200284	0.84190965	0.8217539	0.9152384	0.8924859	0.83505523	0.82875216	0.80191493	0.6619854	0.8721841
voorwerp/noun	0.8705394	0.8741282	0.7761413	0.87388307	0.8055364	0.8781203	0.8289856	0.8521438	0.8724999	0.895484	0.86422276	0.84352803	0.81437653	0.8618393	0.85351044	0.75067043	0.0	0.8341715	0.77071476	0.78327847	0.8905483	0.8571416	0.8127524	0.7803229	0.91190934	0.7567087	0.88237566	0.88356614	0.84805506	0.88914585	0.81214553	0.67566895	0.8030027	0.94094604	0.88170236	0.8505055	0.9052608	0.8494415	0.84914315	0.8110237	0.82028574	0.8666371	0.8481865	0.89217234	0.74119544	0.78701806	0.84993577	0.8909184	0.75382596	0.8049926	0.774982	0.88012165	0.8148049	0.89708984	0.8577055	0.76843005	0.8521303	0.80991113	0.84903467	0.7934044	0.8332393	0.7527412	0.7864499	0.76533616	0.84426045	0.7859916	0.85892814	0.86383	0.81628764	0.9069509	0.8755781	0.8332523	0.7442425	0.8612422	0.8355428	0.75418735	0.70745295	0.8653031	0.704774	0.71547824	0.7122251	0.813449	0.7998189	0.88960564	0.83231264	0.8099375	0.92346656	0.786911	0.84354687	0.9117194	0.7773842	0.90761316	0.84481764	0.8307122	0.8072929	0.89888155	0.9172067	0.7808199	0.8810973	0.7102817	0.8553025	0.84459853	0.8584165	0.8805341	0.86366564	0.7946562	0.7132765	0.825662	0.7633156	0.71773595	0.81968963
brij/noun	0.8937806	0.6995114	0.7258376	0.7764797	0.84177107	0.90866774	0.6948224	0.8652019	0.8427758	0.8482621	0.84761626	0.8849263	0.9018297	0.83736193	0.84263384	0.8430167	0.8341715	0.0	0.87216336	0.9074938	0.84037954	0.7947713	0.78478736	0.6672139	0.8849154	0.8111196	0.89537686	0.7966613	0.80333596	0.86716396	0.82546407	0.7506281	0.82422286	0.95582217	0.8412281	0.8926556	0.9339604	0.86703014	0.8669524	0.8336903	0.81516755	0.87357116	0.8789229	0.8377277	0.83237463	0.8321234	0.79203767	0.9067554	0.82650316	0.7084303	0.7463776	0.9012819	0.8704128	0.85711116	0.9040455	0.80019283	0.8833586	0.75472134	0.7822934	0.8746692	0.8322756	0.7989533	0.8246865	0.80390203	0.8578905	0.89900994	0.700267	0.9249546	0.8465129	0.88346595	0.7011237	0.88032746	0.78177035	0.81869286	0.69310236	0.8424475	0.82809436	0.871381	0.83216095	0.91019833	0.7330925	0.6665665	0.89338976	0.8540529	0.8343183	0.7454631	0.9150596	0.7566537	0.87641597	0.88983786	0.87854856	0.7657542	0.9205249	0.80371463	0.7412463	0.86691177	0.9497465	0.8256997	0.92913926	0.8598808	0.88959605	0.8127204	0.899438	0.8119811	0.76274455	0.7695024	0.78494	0.7381922	0.7755665	0.864442	0.6982964
verlangen/noun	0.9060059	0.9238342	0.8650873	0.89954525	0.7286372	0.85273874	0.89012897	0.81489927	0.7390884	0.8850789	0.8108448	0.62386584	0.89835024	0.80095315	0.7349432	0.70320934	0.77071476	0.87216336	0.0	0.8435653	0.8481082	0.8406842	0.8480891	0.85397303	0.8514867	0.6610985	0.90982383	0.92981005	0.8994165	0.88595426	0.74970853	0.86390513	0.8697665	0.9480862	0.879126	0.78218055	0.8932074	0.81810147	0.82114995	0.8812584	0.80205077	0.75972205	0.9348835	0.94105655	0.88253975	0.7532946	0.8572804	0.8865027	0.754994	0.87517947	0.81598556	0.83447784	0.85368264	0.883892	0.85775113	0.823943	0.8385793	0.8661661	0.87841004	0.83238417	0.77874815	0.8826357	0.7405985	0.74150896	0.77920365	0.8992551	0.9125839	0.8138686	0.8722029	0.9043475	0.91670173	0.82096326	0.90033096	0.8272762	0.8903357	0.8537023	0.8372208	0.84215635	0.76574045	0.91588706	0.7926788	0.9007	0.86425215	0.8742569	0.8777746	0.88695073	0.9263443	0.898129	0.85045564	0.9024467	0.77521324	0.9536371	0.88363945	0.8639964	0.87767947	0.8799933	0.9136426	0.8565496	0.8810987	0.9034772	0.88439476	0.8039382	0.86310846	0.75908244	0.8999679	0.89033985	0.8365965	0.81455064	0.76952326	0.7414467	0.8753822
