	schielijk/adj	Arafat/name	regel/noun	mogelijk/adj	inmiddels/adv	na/prep	stem/noun	dit/det	dan/adv	beslissing/noun	afgelopen/adj	rechtbank/noun	regering/noun	ijlings/adv	stelling/noun	ontslag/noun	gisteren/adv	beschuldiging/noun	hoewel/comp	of/vg	Bill/name	alles/noun	stellingname/noun	Bush/name	wetswijziging/noun	veiligheidsmaatregel/noun	desnoods/adv	noch/vg	mening/noun	getuigenis/noun	woord/noun	ook/adv	schoon_vader/noun	passage/noun	om/comp	Leterme/name	altijd/adv	al/adv	bezwaar/noun	overigens/adv	verbod/noun	staking/noun	boycot/noun	EADS/name	Lagos/name	echter/adv	vervolgens/adv	wegens/prep	die/det	uitspraak/noun	vonnis/noun	zij/pron	nu/adv	Hof/name	zondag_avond/noun	daarna/pp	Europees/name	bestuur_accoord/noun	Blatter/name	brief/noun	Fortuyn/name	weekeinde/noun	veroordeling/noun	definitief/adj	publiekelijk/adj	plots/adj	hof/noun	snel/adj	daarna/adv	uitdrukkelijk/adj	overname/noun	maar/vg	bevel/noun	woordvoerder/noun	uitslag/noun	oordeel/noun	mededeling/noun	Volkscongres/name	doodvonnis/noun	braaf/adj	om/prep	laat/adj	woensdag/noun	in_vrijheid_stelling/noun	jaar_cijfer/noun	ze/pron	nooit/adv	niet/adv	nadat/comp	regeling/noun	decreet/noun	maandag/noun	weer/adv	Ray/name	vergissing/noun	daarmee/pp	toekenning/noun	vandaag/adv	maatregel/noun	wet/noun	half/adj	omdat/comp	uitgeweken/adj	verhaal/noun	dus/adv	het/det	min/adv	bewering/noun	verdachte/noun	afspraak/noun	Hooggerechtshof/name	intussen/adv	probatie_uitstel/noun	Groen/name	duur_voort/adj	Europese/name	afschaffing/noun	door/prep	besluit/noun	Roe/name	Wahid/name	Lodewijk/name	onder/adv	getuige/noun	al/comp	inderdaad/adv	dat/det	zaterdag/noun	steeds/adv	kamer/noun	minister/noun	formeel/adj	verklaring/noun	bekentenis/noun	aantijging/noun	toen/comp	belofte/noun	geleden/adj	federatie/noun	hij/pron	eerste/num	nieuws/noun	scheidsrechter/noun	NIOD/name	aankoop/noun	capitulatie/noun	dinsdag/noun	dag/noun	bron/noun	plan/noun	schorsing/noun	benoeming/noun	stap/adv	invoering/noun	refs/noun	week/noun	maal/noun	standpunt/noun	zolang/comp	Dierckxsens/name	eventueel/adj	arrest/noun	A./name	patent/noun	richtlijn/noun	onmiddellijk/adj	amnestie_wet/noun	bond/noun	deels/adv	overtuiging/noun	haastig/adj	fatwa/noun	waarschuwing/noun
schielijk/adj	0.0	0.78731585	0.98446155	0.93348694	0.84766966	0.7908347	0.93104154	0.9093509	0.825309	0.9262115	0.8090825	0.75986195	0.81871367	0.7023003	0.8359111	0.73987764	0.7871198	0.8871483	0.90203464	0.9555231	0.90579	0.87548214	0.89468765	0.7489667	0.8566912	0.84522504	0.8742082	0.92923194	0.8762596	0.9133256	0.8384672	0.8339013	0.879064	0.9382954	0.73731226	0.8057071	0.85602283	0.7959181	0.92155296	0.8681487	0.94611335	0.75677025	0.8639516	0.8976681	0.9141765	0.8626651	0.77634823	0.867593	0.7474961	0.8902004	0.8900086	0.772978	0.86378765	0.85412705	0.78094494	0.80979514	0.9001255	0.87761796	0.8362268	0.8819549	0.6632284	0.843412	0.8366848	0.8416678	0.68674314	0.6399208	0.80059886	0.8073373	0.83038783	0.78084886	0.8784635	0.89503765	0.8200241	0.9191066	0.8578144	0.94356316	0.83569133	0.82294947	0.8429352	0.8071836	0.85283655	0.7433044	0.7949026	0.86769044	0.83737576	0.68005574	0.7907753	0.8469637	0.7536039	0.94754475	0.973255	0.7733196	0.71713114	0.92602456	0.8701644	0.8931087	0.9286736	0.831221	0.88647604	0.9847011	0.7791978	0.8457552	0.7851809	0.9052622	0.8935422	0.81120133	0.90167093	0.86271167	0.8895806	0.92597866	0.77072227	0.88679284	0.9311018	0.8820759	0.79713523	0.8748138	0.9516444	0.89385843	0.8869131	1.0	0.71380305	0.8992477	0.9372243	0.900037	0.8905693	0.93210834	0.8483745	0.8110062	0.824102	0.9704781	0.73654175	0.7821752	0.92966866	0.79202604	0.83519226	0.7372441	0.8701507	0.7426727	0.956796	0.59104013	0.85274976	0.70633554	0.8663981	0.8308516	0.941809	0.84713656	0.73262364	0.68049586	0.9117095	0.9439944	0.77453434	0.85406303	0.87257195	0.9560959	0.85250294	0.693454	0.85949886	0.87584317	0.909037	0.9367299	0.882028	0.90542	0.90379137	0.8966315	0.96056825	0.6882635	0.88387644	0.8200565	0.9264649	0.91439384	0.766981	0.86377645	0.8797608
Arafat/name	0.78731585	0.0	0.8537332	0.7582651	0.8174084	0.765213	0.81488425	0.75882465	0.9332926	0.714466	0.82312393	0.69154525	0.3785869	0.79237247	0.8028217	0.5365615	0.5868496	0.60202944	0.6358919	0.8033741	0.53691435	0.8610718	0.8134907	0.29532957	0.6554884	0.7529114	0.68590933	0.5574486	0.79742205	0.7800335	0.80718476	0.9318117	0.8537084	0.76415044	0.62021077	0.7481004	0.8791694	0.8134697	0.6361575	0.60973555	0.6699932	0.699039	0.55795324	0.8134528	0.8596225	0.5301454	0.81449044	0.6581706	0.70056427	0.7146504	0.7430965	0.6098356	0.9214972	0.7531278	0.8202933	0.8804418	0.7929385	0.83718514	0.7329718	0.7099929	0.7795048	0.72323513	0.661215	0.69640315	0.5581124	0.8306304	0.66490257	0.83986074	0.86325985	0.5396234	0.7956949	0.8478626	0.52208054	0.65414757	0.79448605	0.7776327	0.61941075	0.765617	0.5972049	0.8458331	0.8381111	0.8675879	0.84789896	0.8433857	0.81867015	0.77292037	0.72013813	0.7414859	0.57913125	0.7969676	0.68114376	0.8400351	0.87737775	0.902764	0.6013165	0.6156454	0.7810999	0.7668166	0.622125	0.7693259	0.94515014	0.6539906	0.88207686	0.8881503	0.9004152	0.7751033	0.6953609	0.4980445	0.6940951	0.84600127	0.5609206	0.7692265	0.8549944	0.7789277	0.791106	0.7292442	0.73744833	0.7161162	0.5753559	0.954774	0.5942091	0.901397	0.9053463	0.7670281	0.87160844	0.7645894	0.72513974	0.9048676	0.7418804	0.96433854	0.4799291	0.4504329	0.5838752	0.73596585	0.57782686	0.7609666	0.6565205	0.8637742	0.62909544	0.62417233	0.8365068	0.78432745	0.8138027	0.73092	0.861544	0.80129266	0.80764246	0.87118614	0.6874231	0.7562513	0.80514693	0.52788156	0.9847396	0.82686603	0.7797955	0.81108993	0.7297071	0.614162	0.6358252	0.95741904	0.65922	0.8033845	0.83334446	0.8864337	0.81866986	0.64735526	0.8402982	0.7274726	0.79343516	0.7467641	0.6891683	0.6720552	0.57780707
regel/noun	0.98446155	0.8537332	0.0	0.6988684	0.8594393	0.8054295	0.912008	0.82897395	0.903095	0.65059316	0.97769153	0.91956913	0.6768519	0.85843027	0.86259407	0.83599985	0.8193402	0.83749	0.6257436	0.84016794	0.95913494	0.8222855	0.8345919	0.8661331	0.63562757	0.6974106	0.662324	0.8175849	0.7581079	0.8830873	0.9166924	0.87282383	0.9030375	0.9078289	0.764665	0.9488882	0.7264616	0.9137315	0.5927503	0.71089065	0.49755883	0.8145616	0.71933645	0.92558056	0.9855878	0.66854626	0.8731582	0.83609784	0.66126734	0.79835594	0.86429715	0.72808045	0.8690821	0.74376494	0.94135654	0.9750575	0.75871766	0.7744952	0.8831452	0.8979287	0.92715347	0.96740973	0.77363384	0.73411804	0.88487494	0.91013986	0.8254307	0.86642015	0.8955097	0.5791584	0.7825811	0.8144901	0.82289076	0.86786175	0.9247751	0.837656	0.83356	0.76928043	0.79133075	0.788789	0.7599006	0.9369314	0.8951498	0.58886635	0.9607362	0.8609046	0.79908615	0.6617285	0.83991957	0.40142715	0.56197035	0.91986936	0.9104339	0.9861121	0.8309854	0.7815126	0.8227595	0.87182724	0.5819306	0.2558152	0.8955016	0.6675694	0.99331313	0.9460955	0.83267283	0.8020986	0.883802	0.83714217	0.78930795	0.45397657	0.78036016	0.890741	0.9771383	0.9068777	0.83421046	0.6821177	0.49438453	0.70750594	0.5619575	0.96864384	0.8171482	0.95710474	0.69094586	0.8716129	0.7746165	0.7210717	0.77336836	0.9761475	0.73479223	0.8235015	0.7602988	0.6169653	0.8323172	0.849989	0.798993	0.9437978	0.7493038	0.96080387	0.6808109	0.8745203	0.93612415	0.9418732	0.8549354	0.904951	0.923775	0.8114338	0.9339023	0.95323133	0.8719824	0.77622604	0.90162563	0.77919483	0.9643692	0.41623163	0.85133934	0.9504591	0.95162684	0.7529973	0.55269986	0.9654448	0.7253741	0.8336292	0.90690565	0.7011504	0.3567481	0.7150488	0.8488486	0.6848326	0.8534756	0.82238215	0.83711696	0.78151596	0.786505
mogelijk/adj	0.93348694	0.7582651	0.6988684	0.0	0.65347505	0.6201199	0.90677226	0.7958339	0.8232311	0.7496828	0.9358863	0.7506721	0.5944571	0.9072299	0.8510278	0.7245071	0.7191267	0.76507276	0.76571214	0.7935104	0.86885226	0.7480539	0.9044308	0.82351065	0.5291387	0.74360454	0.6708406	0.8344599	0.85736	0.6781898	0.9334924	0.88583636	0.71797186	0.8502944	0.5511906	0.9115459	0.9022223	0.6980989	0.5913715	0.66961133	0.60168934	0.82560205	0.70437175	0.7980576	0.97482157	0.5061962	0.813428	0.6841899	0.70452255	0.8588782	0.87039155	0.71349776	0.8137141	0.8130168	0.89392155	0.7434068	0.74204314	0.91448176	0.8656392	0.90954435	0.90095043	0.87327605	0.7595145	0.6189604	0.7095258	0.69078034	0.7055552	0.65338045	0.73116964	0.65224785	0.7790946	0.7992641	0.8864195	0.86012256	0.96585494	0.82339674	0.8086448	0.7695236	0.84804726	0.91172594	0.804816	0.9070624	0.9198806	0.6614192	0.9157881	0.8730011	0.9029161	0.82070243	0.74069047	0.60266846	0.7346808	0.89261115	0.8172984	0.9871811	0.76248544	0.81620044	0.7763922	0.8165066	0.55230093	0.5968442	0.939481	0.60223746	0.9782582	0.85390985	0.67983764	0.8685159	0.8306812	0.86586577	0.7374989	0.7819023	0.7686917	0.77457607	0.9059039	0.8687229	0.7597654	0.7307124	0.60047996	0.5860675	0.60169524	0.94680446	0.78969157	0.8718536	0.59736484	0.6557247	0.921113	0.6984826	0.774591	0.98763543	0.83398616	0.9132511	0.67273104	0.5469637	0.73780835	0.7591469	0.82729644	0.9104675	0.9009646	0.9385019	0.8290026	0.8539829	0.9239175	0.8159367	0.85540664	0.91644883	0.7701608	0.91808736	0.8997945	0.9379006	0.81839734	0.69734526	0.8086076	0.6894181	0.92847335	0.4922747	0.8404812	0.8930788	0.9199723	0.8852047	0.50626737	0.9491612	0.38915563	0.8001548	0.80086774	0.7513457	0.64685977	0.6657444	0.9526827	0.74390197	0.781494	0.79331124	0.560359	0.86586195	0.7047543
inmiddels/adv	0.84766966	0.8174084	0.8594393	0.65347505	0.0	0.7477975	0.86853164	0.84312487	0.7567097	0.8459	0.85722935	0.77175796	0.6748808	0.85851794	0.62689644	0.7598847	0.6696911	0.59968686	0.6748276	0.925485	0.8488978	0.92890316	0.86366665	0.7597946	0.73783267	0.9042529	0.7536246	0.79074967	0.74152625	0.6328561	0.7221931	0.788689	0.8702112	0.7866785	0.68042713	0.8537607	0.73802125	0.79382426	0.70577395	0.5343194	0.7756438	0.8689799	0.8307006	0.9257062	0.92186916	0.59700686	0.5313395	0.7046683	0.7074586	0.7111242	0.8685192	0.5774207	0.66682315	0.92219865	0.7626655	0.6134746	0.7893091	0.9014977	0.7506679	0.69825286	0.79718405	0.7533251	0.7496852	0.8454862	0.6686424	0.7643265	0.7701929	0.6829711	0.7005407	0.74509144	0.86510336	0.83449036	0.8085609	0.70199984	0.8334592	0.72997713	0.6126193	0.8778777	0.77239305	0.9121115	0.86792314	0.75928086	0.8394485	0.77915287	0.96774244	0.78043556	0.68670666	0.8322062	0.5762208	0.83594424	0.7912054	0.8145095	0.8376746	0.901848	0.8792034	0.7163219	0.75625044	0.8041805	0.78960377	0.7909214	0.86226285	0.5558157	0.96316886	0.85254663	0.73711586	0.82090306	0.78895926	0.7312151	0.6891047	0.8608229	0.8960947	0.37065095	0.9315798	0.78182197	0.76731706	0.8581818	0.8236664	0.6906471	0.74514365	0.94859564	0.837802	0.9479471	0.73159194	0.66559017	0.7995863	0.7840559	0.84427917	0.9663158	0.71012676	0.91697603	0.65818155	0.65244764	0.65502214	0.63642573	0.54708695	0.7000135	0.7629453	0.7678432	0.84912634	0.6162009	0.89357036	0.81873906	0.8895437	0.76749796	0.90623343	0.8878387	0.86405814	0.8837236	0.7207342	0.73178804	0.8348864	0.7772974	0.94194955	0.75855577	0.87501067	0.7796278	0.77425	0.80737084	0.7106861	0.8316636	0.7267488	0.8891157	0.7728853	0.80018115	0.6665815	0.6492461	0.9211767	0.7531519	0.7950516	0.8114979	0.77222604	0.96064866	0.7317922
na/prep	0.7908347	0.765213	0.8054295	0.6201199	0.7477975	0.0	0.8707276	0.76964146	0.88649297	0.7364086	0.7132907	0.6306608	0.6973772	0.81827736	0.8342323	0.6207544	0.6378174	0.7822289	0.79645634	0.766446	0.8709686	0.97146344	0.91875744	0.70592785	0.7834472	0.691108	0.7231412	0.7905514	0.9157653	0.7633024	0.8866474	0.9593956	0.93818885	0.7846071	0.84000504	0.7492999	0.9268988	0.7527281	0.67469215	0.7427908	0.7671276	0.71355414	0.79913354	0.838784	0.8638195	0.7282632	0.78075266	0.50272846	0.7403096	0.71905184	0.74543643	0.83511096	0.8551552	0.7366404	0.8018148	0.6387569	0.76793396	0.9199259	0.83019096	0.7419257	0.72558415	0.8410439	0.6866462	0.4859174	0.68983626	0.64185995	0.6107217	0.80330557	0.73846114	0.757124	0.8255781	0.8715933	0.82948375	0.81536984	0.8314239	0.8694773	0.73288596	0.8149142	0.7376884	0.9852928	0.76346934	0.60345125	0.73057616	0.6305723	0.76997113	0.8865081	0.8987269	0.96474206	0.47804558	0.7202983	0.69515234	0.71213955	0.74821186	0.9226742	0.8742212	0.8038409	0.817407	0.6748966	0.73451704	0.7528582	0.6923993	0.7142675	0.9414321	0.89602894	0.8148393	0.8273059	0.86643773	0.8613269	0.6514901	0.83591646	0.69473684	0.77167034	0.7961981	0.805408	0.89799434	0.77551144	0.7185861	0.52975875	0.7212937	0.86488885	0.7664793	0.9109765	0.6356672	0.83002186	0.97543925	0.89383996	0.91890436	0.8897604	0.93047404	0.7941917	0.69355017	0.6175794	0.7824895	0.72755945	0.857885	0.7457838	0.86232525	0.6402295	0.8285705	0.72103703	0.7183831	0.6058605	0.8259454	0.8834117	0.85264015	0.8360152	0.7500441	0.6408766	0.864044	0.8000238	0.67594	0.7251785	0.97509515	0.8044616	0.9085349	0.6763712	0.7903728	0.90139425	0.71938646	0.7210487	0.4339261	0.7108381	0.78026366	0.85586506	0.8133522	0.4538434	0.9097392	0.6983594	0.83989716	0.8841706	0.7103402	0.68877804	0.6916583
stem/noun	0.93104154	0.81488425	0.912008	0.90677226	0.86853164	0.8707276	0.0	0.97602946	0.9272035	0.6864134	0.8311784	0.92661864	0.74275506	0.83781064	0.7757951	0.7635113	0.6210482	0.712479	0.7135367	0.84121376	0.82759535	0.8850633	0.7323369	0.6613052	0.90378845	0.7521917	0.770463	0.8054629	0.7085582	0.85470444	0.6838206	0.9487983	0.9833365	0.9467614	0.87288773	0.93963766	0.911043	0.95566475	0.69330424	0.8071202	0.7578004	0.839784	0.8978861	0.9140297	0.74988043	0.7745293	0.8192835	0.8260148	0.89926946	0.6696451	0.85406744	0.8629912	0.89213175	0.8207105	0.6876153	0.9464428	0.87764144	0.89001137	0.6903708	0.7453094	0.74508137	0.6002511	0.89068735	0.834489	0.6977446	0.8436583	0.8694518	0.9308975	0.83190143	0.7736572	0.9629322	0.89082795	0.791614	0.7810963	0.60247654	0.77043563	0.7863348	0.78592	0.8716036	0.84913445	0.94744986	0.92564064	0.75196016	0.98143214	0.98408353	0.8760992	0.92634314	0.91066873	0.6690902	0.92588866	0.7674849	0.74677396	0.88968694	0.8826237	0.8471252	0.7721683	0.8778305	0.6781366	0.83677	0.8248955	0.9616616	0.81445134	0.9400023	0.94140273	0.9018312	0.7890184	0.8679323	0.7730342	0.9610631	0.9351233	0.79372656	0.7475139	0.99124336	0.7162738	0.88478094	0.92143214	0.8421913	0.742048	0.70692116	0.80602586	0.8058237	0.9806873	0.93875897	0.91741973	0.8872172	0.83299285	0.9125124	0.88189626	0.83134365	0.8567363	0.88184285	0.8132549	0.8302727	0.95994663	0.6704476	0.73980296	0.7834101	0.8900053	0.7988492	0.861076	0.86984956	0.85234034	0.8100203	0.97645813	0.91142535	0.88412064	0.8483987	0.87759745	0.9683159	0.71361554	0.9454208	0.66647774	0.9699651	0.917335	0.75523525	0.82954055	0.9268413	0.7603348	0.8097916	0.9789837	0.88643605	0.86409885	0.9598205	0.8587383	0.8331866	0.90270007	0.66447604	0.7429793	0.9378398	0.82191455	0.9705029	0.968246	0.8554346
dit/det	0.9093509	0.75882465	0.82897395	0.7958339	0.84312487	0.76964146	0.97602946	0.0	0.8789848	0.853115	0.6148521	0.732399	0.6846274	0.78722245	0.86834514	0.83661205	0.73810214	0.8717803	0.7561158	0.9544192	0.9329324	0.8457642	0.8404542	0.71254086	0.70967996	0.8800051	0.7974597	0.8793335	0.8271814	0.83291316	0.9038373	0.8604634	0.91899985	0.6918375	0.6760032	0.86473507	0.7939447	0.80169976	0.7720322	0.683661	0.717438	0.8433288	0.80697817	0.8769546	0.8831592	0.669899	0.8766633	0.85574883	0.8735003	0.79942435	0.7538383	0.75749904	0.8288327	0.69642293	0.886562	0.8837863	0.74578846	0.8502858	0.83571136	0.91581595	0.8201303	0.8693032	0.8088738	0.58903265	0.7719933	0.87384844	0.6520524	0.78228474	0.8170283	0.68194306	0.83795226	0.85066175	0.8828044	0.9148329	0.8443663	0.7833533	0.8401073	0.73617756	0.82303023	0.9332791	0.90744394	0.82475686	0.90454	0.9446679	0.9257736	0.8891717	0.8671113	0.8331722	0.73656934	0.82200223	0.80704385	0.8922744	0.8467755	0.9682256	0.8500533	0.69390786	0.8175355	0.80589175	0.8132905	0.77299404	0.95866454	0.7701227	0.8615568	0.8868154	0.76594806	0.44965726	0.8288478	0.86760396	0.86796653	0.87339973	0.6647539	0.84073305	0.8472934	0.82721174	0.8105989	0.74226975	0.7813959	0.83736134	0.7584438	0.7682827	0.7978076	0.96665835	0.8712147	0.86532044	0.8496444	0.8264321	0.48680568	0.9751355	0.7951244	0.82855725	0.73632634	0.7422567	0.8767443	0.9310347	0.90645534	0.8850471	0.9038255	0.9415906	0.8103893	0.84264004	0.74557865	0.8136383	0.9214509	0.8252236	0.8900059	0.892785	0.8816763	0.8510649	0.8145991	0.83579564	0.8870944	0.75659704	0.9449018	0.7548325	0.9118334	0.827241	0.719736	0.7577047	0.6697483	0.9681532	0.7670109	0.73170996	0.9496656	0.8655846	0.84425646	0.81651884	0.96659976	0.83143604	0.81972194	0.8619207	0.68191826	0.7743155	0.827358
dan/adv	0.825309	0.9332926	0.903095	0.8232311	0.7567097	0.88649297	0.9272035	0.8789848	0.0	0.8195089	0.97534096	0.94770324	0.9518337	0.88540065	0.8620662	0.77353024	0.93536663	0.93000233	0.79849255	0.85198414	0.9895154	0.5952856	0.92467874	0.98019594	0.87272376	0.91721886	0.9329529	0.9782314	0.82581234	0.9787453	0.86900306	0.7110903	0.8888466	0.9420669	0.7854771	0.9459428	0.58671665	0.83500177	0.9083043	0.7804022	0.88208336	0.87322414	0.9147479	0.98648244	0.99734694	0.74965155	0.6904451	0.9659078	0.82262766	0.9009282	0.9211929	0.85252	0.2734052	0.9536216	0.8718858	0.554314	0.9611108	0.92163026	0.9309254	0.9382859	0.93209875	0.9117023	0.89570045	0.9582844	0.9355104	0.6659577	0.9579203	0.67291266	0.56061804	0.9350148	0.87675476	0.49163586	0.8078339	0.9199156	0.9239663	0.87640333	0.9035971	0.9614438	0.9297898	0.7483182	0.93405664	0.7922357	0.9598826	0.8658653	0.9331793	0.65509546	0.826157	0.7341113	0.8366659	0.85882956	0.9436289	0.9110462	0.6692291	0.9913806	0.84387964	0.8669764	0.88447267	0.88825816	0.8260051	0.941984	0.92911834	0.7089629	0.9748549	0.8510314	0.52295196	0.9683616	0.8933481	0.905366	0.9484496	0.8796974	0.94911987	0.78119266	0.8914219	0.969029	0.8600358	0.9618291	0.9080252	0.9274184	0.887348	0.9909933	0.9746874	0.9958402	0.95080155	0.89610094	0.51473325	0.8320085	0.7134446	0.9873755	0.6516694	0.95633197	0.98200613	0.95015633	0.8747995	0.8375096	0.94120646	0.67603743	0.8584739	0.8708601	0.93750215	0.77532864	0.9623716	0.78895193	0.9017374	0.94593865	0.85006404	0.8828254	0.9695536	0.8632441	0.9700962	0.8519664	0.85806775	0.9079386	0.9202081	0.88917446	0.82672966	0.8713503	0.9378826	0.88057905	0.81942815	0.97681606	0.94359905	0.9465234	0.99754524	0.9553709	0.9266243	0.8955875	0.9299714	0.92963475	0.924934	0.8909228	0.8110773	0.9396711	0.89831305
beslissing/noun	0.9262115	0.714466	0.65059316	0.7496828	0.8459	0.7364086	0.6864134	0.853115	0.8195089	0.0	0.8815531	0.7467869	0.62834704	0.82502437	0.73399115	0.6070056	0.4675811	0.66183245	0.6219741	0.8386637	0.8901398	0.8125038	0.6194818	0.6780133	0.6164498	0.68487823	0.64624125	0.694891	0.6444143	0.75226134	0.85748816	0.86555266	0.8595742	0.83543694	0.7683193	0.78856874	0.8329849	0.8801731	0.47549582	0.7347442	0.49106127	0.63195777	0.73620695	0.8010085	0.9293821	0.49049044	0.7309356	0.6426786	0.85596913	0.39874786	0.49854523	0.8007134	0.70296067	0.65475786	0.8244665	0.7854623	0.67252195	0.7615844	0.66036844	0.7013037	0.8729112	0.7684384	0.5218932	0.65919244	0.76089126	0.83819735	0.64636815	0.84236604	0.679104	0.6216176	0.6742481	0.77316606	0.58007455	0.6702669	0.61815023	0.33537048	0.6722944	0.7688049	0.6135967	0.8659876	0.8120527	0.8567861	0.64663464	0.70364213	0.75346076	0.83942795	0.8472197	0.80051863	0.51980925	0.5160916	0.6352204	0.654343	0.78604215	0.9788181	0.6383871	0.60981935	0.67659605	0.5899085	0.53323483	0.63253236	0.8890213	0.6552454	0.913938	0.9553002	0.84668726	0.587518	0.83444166	0.70141536	0.7718668	0.659969	0.60761464	0.68465483	0.87846833	0.7758912	0.9024165	0.68025017	0.634213	0.49062717	0.26334804	0.72889304	0.67605233	0.86829203	0.8562747	0.7653487	0.801006	0.72893596	0.8332973	0.837203	0.81078595	0.63502824	0.7153008	0.6616261	0.5895748	0.7916765	0.6994596	0.7122148	0.6825807	0.83379936	0.5940672	0.8252347	0.8280609	0.78893983	0.637871	0.8368241	0.61171746	0.74249655	0.7165389	0.85548437	0.78922766	0.5047626	0.6675267	0.43781644	0.9296024	0.70018315	0.6406059	0.7306623	0.913236	0.5188668	0.61832225	0.91286916	0.68498456	0.5127044	0.8022459	0.7831783	0.5950366	0.64792824	0.701429	0.5941467	0.83192235	0.8339362	0.8788552	0.92862517	0.6586983
afgelopen/adj	0.8090825	0.82312393	0.97769153	0.9358863	0.85722935	0.7132907	0.8311784	0.6148521	0.97534096	0.8815531	0.0	0.8259624	0.82042027	0.8410256	0.9416436	0.7084416	0.80345184	0.82236016	0.8647412	0.9716777	0.84381443	0.9810782	0.9600033	0.7713365	0.9500753	0.841978	0.8808171	0.91693145	0.9096226	0.9512776	0.85635585	0.9687591	0.9743604	0.93504995	0.9425926	0.88666177	0.9715758	0.7124665	0.9277457	0.8615968	0.9093077	0.5599538	0.85059506	0.9288782	0.7186178	0.8865802	0.9135064	0.85057384	0.93854314	0.8353384	0.8750716	0.8730089	0.94057685	0.92137384	0.72650754	0.87478906	0.91541445	0.95574266	0.7745091	0.7608658	0.89899856	0.7689095	0.9392677	0.8592416	0.8237946	0.8996962	0.8962606	0.9414328	0.93319356	0.91316754	0.94328845	0.9786312	0.8397291	0.8394946	0.59944224	0.88163	0.78914094	0.71499544	0.891644	0.97466195	0.5755173	0.57570547	0.44997776	0.94403255	0.6260402	0.90038687	0.9486637	0.97143805	0.5000671	0.97913283	0.91488624	0.47003615	0.759261	0.9622819	0.9398201	0.9112582	0.9629446	0.59375846	0.91620034	0.9623814	0.80772966	0.9028911	0.80353117	0.9587996	0.9515337	0.8403465	0.91799486	0.8959954	0.8557453	0.91661185	0.8211046	0.8709715	0.9973314	0.89640033	0.93849295	0.90938073	0.9812021	0.8690738	0.77211	0.96982646	0.73348117	0.9836165	0.98278934	0.87301725	0.938921	0.9423555	0.97425646	0.511811	0.9329917	0.9764122	0.8486865	0.8555153	0.86985534	0.90775335	0.85044587	0.7855314	0.84656274	0.5824057	0.94185215	0.824005	0.5421195	0.65040076	0.77760446	0.8471446	0.98532605	0.9004849	0.4734553	0.6900852	0.8811977	0.90190583	0.8608517	0.8400587	0.9821079	0.9594607	0.9131312	0.59563285	0.634622	0.8994753	0.91787964	0.9356862	0.9452924	0.93661374	0.9439968	0.97186613	0.929892	0.9376976	0.8053761	0.80925816	0.96240073	0.9384937	0.8706826	0.9798762	0.8458022
rechtbank/noun	0.75986195	0.69154525	0.91956913	0.7506721	0.77175796	0.6306608	0.92661864	0.732399	0.94770324	0.7467869	0.8259624	0.0	0.70910275	0.80801725	0.8237693	0.7092947	0.5258514	0.58674216	0.73275816	0.88321686	0.86554426	0.9842275	0.7178895	0.6691407	0.7079994	0.733747	0.71504223	0.820862	0.83041877	0.6195411	0.92970353	0.97632825	0.8004606	0.71057284	0.7710092	0.7215345	0.94820994	0.8417025	0.70272887	0.7355521	0.69056773	0.68996936	0.7556071	0.8261757	0.8230655	0.5835551	0.855266	0.46622163	0.764257	0.5264802	0.35978264	0.70585597	0.9390956	0.40344423	0.86280215	0.8778637	0.57360876	0.92926204	0.69026124	0.77212304	0.8362372	0.8750697	0.36896068	0.53149474	0.6287558	0.8369564	0.21091354	0.88003683	0.88381636	0.6652972	0.8487396	0.9385967	0.6531043	0.7713715	0.81039345	0.65702	0.76950645	0.74822164	0.53352094	0.9245946	0.797985	0.83614767	0.6457951	0.5987583	0.7171697	0.8424369	0.87988806	0.9125763	0.5710956	0.8854996	0.8271471	0.6280563	0.8848465	0.8845625	0.8584174	0.60314506	0.81048536	0.66666365	0.85501224	0.78715974	0.9018973	0.65348256	0.92114586	0.9189997	0.9454684	0.6169125	0.9467827	0.71630955	0.3901016	0.93115044	0.30207682	0.7955934	0.57748115	0.9193641	0.8606887	0.6352061	0.82444614	0.6576314	0.73236614	0.6849067	0.70623124	0.8394362	0.68554217	0.5771992	0.95185536	0.9054468	0.81548387	0.7686368	0.9209824	0.70329577	0.7273217	0.53124994	0.6069932	0.55900824	0.7358606	0.82298124	0.9174931	0.908375	0.8131003	0.69528586	0.8073214	0.8535699	0.7810954	0.7968232	0.8546005	0.92842245	0.5823785	0.8059269	0.80756503	0.89532864	0.73738915	0.7504858	0.9704666	0.8271713	0.7952065	0.7082387	0.8433012	0.8239129	0.70128345	0.81857216	0.57468456	0.42709208	0.63752025	0.877846	0.8415414	0.52424324	0.7341439	0.7440039	0.73589784	0.8594477	0.63523346	0.6216424	0.6719496
